Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
2	4895	Upper rhombic lip	1	URL_311	0.711338100102145
314	215	Cerebellar inhibitory	0.986046511627907	CBI_307	0.530232558139535
315	360	Cerebellar inhibitory	1	CBI_306	0.763888888888889
310	207	Thalamic excitatory	0.995169082125604	Thex_446	0.690821256038647
311	193	Thalamic excitatory	0.989637305699482	Thex_446	0.849740932642487
312	379	Thalamic excitatory	1	Thex_446	0.905013192612137
309	438	Thalamic excitatory	1	Thex_451	0.552511415525114
307	187	Thalamic excitatory	1	Thex_454	0.807486631016043
308	342	Thalamic excitatory	1	Thex_451	0.269005847953216
303	242	Thalamic excitatory	1	Thex_452	0.756198347107438
304	538	Thalamic excitatory	1	Thex_454	0.420074349442379
282	254	Thalamic excitatory	1	Thex_460	1
283	236	Thalamic excitatory	0.974576271186441	Thex_459	0.292372881355932
284	372	Thalamic excitatory	1	Thex_458	0.650537634408602
31	281	Medium spiny neuron	1	MSN_216	0.654804270462633
28	969	Medium spiny neuron	0.99484004127967	MSN_214	0.471620227038184
32	497	Medium spiny neuron	1	MSN_213	0.45271629778672
33	289	Medium spiny neuron	1	MSN_213	0.944636678200692
27	161	Medium spiny neuron	1	MSN_210	0.863354037267081
15	440	Medium spiny neuron	1	MSN_207	0.795454545454545
35	1002	Medium spiny neuron	1	MSN_209	0.414171656686627
40	705	Medium spiny neuron	1	MSN_207	0.597163120567376
42	314	Medium spiny neuron	0.996815286624204	MSN_211	0.894904458598726
43	310	Medium spiny neuron	1	MSN_212	0.787096774193548
269	155	Eccentric medium spiny neuron	1	EMSN_228	0.793548387096774
270	339	Eccentric medium spiny neuron	0.997050147492625	EMSN_226	0.569321533923304
271	305	Eccentric medium spiny neuron	0.678688524590164	EMSN_230	0.259016393442623
272	238	Eccentric medium spiny neuron	1	EMSN_232	0.399159663865546
273	230	Eccentric medium spiny neuron	1	EMSN_234	0.465217391304348
257	262	Eccentric medium spiny neuron	0.614503816793893	MSN_221	0.366412213740458
268	256	Eccentric medium spiny neuron	1	EMSN_224	0.40234375
274	224	Medium spiny neuron	1	MSN_219	0.995535714285714
278	309	Medium spiny neuron	0.944983818770227	MSN_217	0.530744336569579
279	255	Medium spiny neuron	0.996078431372549	MSN_218	0.533333333333333
112	788	Hippocampal dentate gyrus	1	DG_204	0.431472081218274
565	259	Hippocampal dentate gyrus	1	DG_200	0.864864864864865
144	261	Hippocampal dentate gyrus	1	DG_200	0.954022988505747
149	1429	Hippocampal dentate gyrus	1	DG_201	0.48075577326802
254	267	Miscellaneous	0.906367041198502	L5ET_117	0.438202247191011
255	279	Hippocampal CA1-3	1	CA13_119	0.956989247311828
158	1361	Hippocampal CA1-3	1	CA13_180	0.407788390889052
159	373	Hippocampal CA1-3	0.997319034852547	CA13_186	0.485254691689008
156	299	Hippocampal CA1-3	0.976588628762542	CA13_179	0.40133779264214
160	580	Hippocampal CA1-3	1	CA13_183	0.332758620689655
154	259	Hippocampal CA4	0.996138996138996	CA4_195	0.277992277992278
155	158	Hippocampal CA4	1	CA4_197	0.316455696202532
247	314	Deep-layer corticothalamic and 6b	0.996815286624204	DLCT6b_105	0.461783439490446
248	300	Deep-layer corticothalamic and 6b	1	DLCT6b_106	0.763333333333333
105	268	Deep-layer corticothalamic and 6b	0.992537313432836	DLCT6b_98	0.417910447761194
246	418	Deep-layer corticothalamic and 6b	0.997607655502392	DLCT6b_101	0.248803827751196
249	167	Deep-layer corticothalamic and 6b	0.892215568862275	DLCT6b_112	0.62874251497006
251	529	Deep-layer corticothalamic and 6b	1	DLCT6b_110	0.468809073724008
104	196	Deep-layer corticothalamic and 6b	0.98469387755102	DLCT6b_108	0.387755102040816
253	621	Deep-layer corticothalamic and 6b	1	DLCT6b_109	0.516908212560386
110	203	Deep-layer corticothalamic and 6b	0.995073891625616	DLCT6b_84	0.931034482758621
107	253	Deep-layer near-projecting	0.992094861660079	DLNP_88	0.233201581027668
108	487	Deep-layer near-projecting	1	DLNP_94	0.170431211498973
170	454	Deep-layer intratelencephalic	1	DLIT_150	0.715859030837004
169	475	Deep-layer intratelencephalic	1	DLIT_151	0.690526315789474
172	418	Deep-layer intratelencephalic	1	DLIT_151	0.610047846889952
95	339	Deep-layer intratelencephalic	0.985250737463127	DLIT_137	0.938053097345133
96	304	Deep-layer intratelencephalic	0.970394736842105	DLIT_137	0.953947368421053
79	348	Deep-layer intratelencephalic	0.994252873563218	DLIT_142	0.548850574712644
231	749	Deep-layer intratelencephalic	0.97196261682243	DLIT_143	0.361815754339119
78	1316	Deep-layer intratelencephalic	0.998480243161094	DLIT_144	0.601823708206687
81	707	Deep-layer intratelencephalic	0.998585572842999	DLIT_141	0.492220650636492
84	741	Deep-layer intratelencephalic	0.998650472334683	DLIT_139	0.82051282051282
86	244	Deep-layer intratelencephalic	1	DLIT_139	0.922131147540984
103	263	Upper-layer intratelencephalic	0.973384030418251	ULIT_138	0.85171102661597
100	1834	Upper-layer intratelencephalic	0.996728462377317	ULIT_138	0.979825517993457
98	206	Upper-layer intratelencephalic	0.966019417475728	ULIT_138	0.927184466019418
88	641	Upper-layer intratelencephalic	0.990639625585023	ULIT_135	0.939157566302652
