Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
55	283	Cerebellum neurons	0.957597173144876	CBGRC	0.950530035335689
84	439	Cerebellum neurons	1	CBINH1	0.883826879271071
89	313	Cerebellum neurons	0.87220447284345	CBINH1	0.693290734824281
289	120	Glutamatergic neuroblasts	1	OBNBL2	0.966666666666667
67	463	Olfactory inhibitory neurons	0.958963282937365	OBDOP1	0.714902807775378
68	1060	Olfactory inhibitory neurons	0.990566037735849	OBNBL5	0.788679245283019
81	399	Olfactory inhibitory neurons	0.992481203007519	OBINH4	0.992481203007519
57	858	Olfactory inhibitory neurons	0.923076923076923	OBINH2	0.688811188811189
75	6307	Cerebellum neurons	0.60488346281909	CBGRC	0.588710956080545
56	260	Di- and mesencephalon excitatory neurons	0.653846153846154	CR	0.634615384615385
33	2445	Non-glutamatergic neuroblasts	0.987321063394683	OBNBL3	0.851124744376278
74	286	Cerebellum neurons	0.734265734265734	CBNBL2	0.601398601398601
1	222	Non-glutamatergic neuroblasts	0.783783783783784	DGNBL2	0.779279279279279
51	1284	Non-glutamatergic neuroblasts	0.975077881619938	DGNBL2	0.88785046728972
114	204	Dentate gyrus granule neurons	0.75	DGGRC1	0.593137254901961
111	3267	Dentate gyrus granule neurons	0.981022344658708	DGGRC2	0.884909703091521
112	895	Dentate gyrus granule neurons	0.940782122905028	DGGRC1	0.497206703910615
19	239	Telencephalon projecting inhibitory neurons	0.799163179916318	MSN6	0.619246861924686
64	311	Telencephalon projecting inhibitory neurons	0.816720257234727	MSN6	0.778135048231511
26	335	Telencephalon projecting inhibitory neurons	0.997014925373134	MSN5	0.961194029850746
27	2490	Telencephalon projecting inhibitory neurons	0.992771084337349	MSN4	0.613654618473896
28	2302	Telencephalon projecting inhibitory neurons	0.998262380538662	MSN3	0.520417028670721
109	762	Telencephalon projecting excitatory neurons	0.981627296587926	TEGLU4	0.219160104986877
91	183	Telencephalon projecting excitatory neurons	1	TEGLU24	0.934426229508197
174	340	Telencephalon projecting excitatory neurons	1	TEGLU8	0.994117647058824
122	147	Telencephalon projecting excitatory neurons	0.993197278911565	TEGLU1	0.938775510204082
127	214	Telencephalon projecting excitatory neurons	0.985981308411215	TEGLU1	0.948598130841122
153	299	Telencephalon projecting excitatory neurons	0.993311036789298	TEGLU2	0.765886287625418
152	510	Telencephalon projecting excitatory neurons	1	TEGLU3	0.994117647058824
123	395	Telencephalon projecting excitatory neurons	1	TEGLU3	0.881012658227848
155	1731	Telencephalon projecting excitatory neurons	1	TEGLU3	0.989601386481802
172	283	Telencephalon projecting excitatory neurons	0.996466431095406	TEGLU12	0.989399293286219
158	155	Telencephalon projecting excitatory neurons	1	TEGLU15	0.929032258064516
