Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
266	185	Photoreceptors	0.989189189189189	Photo3	0.464864864864865
99	314	Excitatory telencephalon	1	TeExc1	0.987261146496815
324	237	Immune	0.620253164556962	Micro1	0.590717299578059
125	313	Habenular neurons	1	DeExc2	0.514376996805112
126	251	Habenular neurons	0.920318725099602	DeExc2	0.47808764940239
189	351	Habenular neurons	0.994301994301994	DeChol3	0.888888888888889
190	180	Habenular neurons	1	DeChol3	0.983333333333333
191	455	Habenular neurons	0.995604395604396	DeChol3	0.69010989010989
194	338	Habenular neurons	0.997041420118343	DeChol3	0.911242603550296
193	233	Habenular neurons	1	DeChol3	0.832618025751073
195	144	Habenular neurons	1	DeChol3	1
95	500	Meningeal fibroblasts	0.238	Fibro1	0.222
97	122	Meningeal fibroblasts	0.459016393442623	Fibro2	0.459016393442623
124	104	Spinal cord/Rhombencephalon neurons	0.990384615384615	ReInh2	0.682692307692308
173	470	Astrocytes	0.193617021276596	DeChol3	0.0574468085106383
131	383	Inhibitory telencephalon	1	TeInh7	0.433420365535248
130	195	Inhibitory telencephalon	1	TeInh8	0.666666666666667
128	332	Inhibitory telencephalon	0.981927710843373	TeInh8	0.858433734939759
129	398	Inhibitory telencephalon	1	TeDopa1	0.565326633165829
292	398	Inhibitory telencephalon	0.994974874371859	TeInh8	0.71608040201005
144	138	Excitatory telencephalon	1	TeExc2	0.985507246376812
138	126	Inhibitory mesencephalon	1	Meinh4	0.555555555555556
139	221	Inhibitory mesencephalon	0.990950226244344	MeInh3	0.520361990950226
140	188	Inhibitory mesencephalon	0.99468085106383	MeInh3	0.941489361702128
167	116	Inhibitory mesencephalon	0.991379310344828	MeInh9	0.637931034482759
154	144	Inhibitory mesencephalon	0.881944444444444	MeInh6	0.527777777777778
172	454	Inhibitory mesencephalon	0.993392070484581	MeInh5	0.352422907488987
156	335	Inhibitory mesencephalon	0.991044776119403	MeInh7	0.435820895522388
171	284	Inhibitory mesencephalon	0.922535211267606	MeInh7	0.577464788732394
169	236	Inhibitory mesencephalon	0.978813559322034	MeInh1	0.313559322033898
170	154	Inhibitory mesencephalon	1	MeInh7	0.311688311688312
147	306	Spinal cord/Rhombencephalon neurons	0.777777777777778	ReInh6	0.366013071895425
178	434	Excitatory telencephalon	0.382488479262673	TeExc2	0.311059907834101
149	266	Inhibitory telencephalon	0.973684210526316	TeInh5	0.402255639097744
150	260	Inhibitory telencephalon	0.9	TeInh3	0.207692307692308
151	580	Inhibitory telencephalon	0.553448275862069	TeInh4	0.106896551724138
155	347	Inhibitory mesencephalon	0.435158501440922	MeInh8	0.230547550432277
283	1172	Inhibitory mesencephalon	0.437713310580205	MeNeb1	0.0622866894197952
142	188	Peptidergic	0.558510638297872	DePep1	0.48936170212766
163	121	Excitatory dien-/mesencephalon	0.71900826446281	DeExc5	0.661157024793388
141	477	Excitatory dien-/mesencephalon	0.918238993710692	MeExc5	0.30398322851153
165	426	Inhibitory mesencephalon	0.457746478873239	MeExc1	0.312206572769953
164	196	Inhibitory mesencephalon	0.739795918367347	DeNeb5	0.372448979591837
158	241	Excitatory dien-/mesencephalon	0.788381742738589	MeExc6	0.261410788381743
166	622	Excitatory dien-/mesencephalon	0.70096463022508	MeExc6	0.210610932475884
136	130	Excitatory telencephalon	1	TeExc7	0.384615384615385
134	442	Excitatory telencephalon	0.970588235294118	TeExc7	0.760180995475113
135	253	Excitatory telencephalon	1	TeExc5	0.505928853754941
145	235	Excitatory telencephalon	0.957446808510638	TeExc3	0.714893617021277
132	389	Excitatory telencephalon	0.994858611825193	TeExc4	0.840616966580977
146	223	Excitatory telencephalon	0.834080717488789	TeExc4	0.286995515695067
290	728	Excitatory telencephalon	0.348901098901099	DeChol3	0.153846153846154
281	210	Monoaminergic	0.642857142857143	DeNeb1	0.361904761904762
176	207	Monoaminergic	0.93719806763285	DeMono1	0.352657004830918
175	440	Monoaminergic	0.75	MeDopa1	0.275
177	231	Monoaminergic	0.935064935064935	DeMono3	0.380952380952381
182	154	Peptidergic	0.733766233766234	DePep4	0.311688311688312
181	226	Peptidergic	0.68141592920354	DePep4	0.163716814159292
185	238	Peptidergic	0.970588235294118	DePep4	0.285714285714286
187	199	Peptidergic	0.638190954773869	DePep6	0.21608040201005
180	249	Peptidergic	0.823293172690763	DePep2	0.253012048192771
186	262	Peptidergic	0.82824427480916	DePep8	0.255725190839695
197	113	Choroid plexus epithelium	1	Chor3	0.752212389380531
214	222	Choroid plexus epithelium	0.851351351351351	Chor4	0.671171171171171
215	318	Choroid plexus epithelium	0.927672955974843	Chor1	0.613207547169811
308	569	Astrocytes	1	MRAstro1	0.973637961335677
309	333	Astrocytes	0.936936936936937	MRAstro1	0.882882882882883
216	208	Ependymal	0.990384615384615	DePigm1	0.682692307692308
217	118	Ependymal	0.983050847457627	DePigm2	0.974576271186441
222	336	Ependymal	0.99702380952381	DeHypen1	0.991071428571429
219	577	Ependymal	1	DeHypen1	1
221	450	Ependymal	1	DeHypen1	0.997777777777778
223	112	Ependymal	1	ReEpen1	1
252	196	Astrocytes	0.994897959183674	DeAstro1	0.801020408163265
261	668	Astrocytes	1	DMAstro1	0.640718562874252
238	193	Astrocytes	0.528497409326425	DeEpen1	0.186528497409326
263	265	Astrocytes	0.6	PeAstro2	0.237735849056604
258	308	Astrocytes	0.886363636363636	ReAstro1	0.243506493506494
253	303	Astrocytes	0.996699669966997	PeAstro2	0.881188118811881
254	1340	Astrocytes	0.985074626865672	PeAstro1	0.848507462686567
240	201	Astrocytes	0.985074626865672	PeAstro2	0.676616915422886
256	382	Astrocytes	0.921465968586387	PeAstro2	0.727748691099476
259	869	Astrocytes	0.965477560414269	MRAstro2	0.828538550057537
224	191	Astrocytes	0.994764397905759	PeAstroepen1	0.994764397905759
231	361	Astrocytes	0.991689750692521	DeAstroepen2	0.628808864265928
