Cluster	Cell number	Major labelling of reference	%Major labelling of reference	subtype labelling of reference	%subtype labelling of reference
298	244	EG-CB	0.860655737704918	EG-CB	0.860655737704918
291	322	CBGABA	0.984472049689441	CBGABA2	0.981366459627329
295	247	NEUR	0.607287449392713	NEUR	0.607287449392713
296	3449	CBGLUT	0.936213395187011	CBGLUT4	0.418092200637866
297	466	CBGLUT	0.997854077253219	CBGLUT2	0.939914163090129
27	188	DIGLUT	0.569148936170213	DIGLUT40	0.23936170212766
28	207	DICHOL	0.966183574879227	DICHOL3	0.966183574879227
24	307	DIGLUT	0.990228013029316	DIGLUT43	0.938110749185668
467	390	DICHOL	0.566666666666667	DICHOL2	0.558974358974359
463	1100	DIGLUT	0.530909090909091	NEUR	0.379090909090909
25	211	DICHOL	0.919431279620853	DICHOL1	0.815165876777251
26	227	DICHOL	0.876651982378855	DICHOL1	0.872246696035242
180	740	TEGABA	0.372972972972973	NEUR	0.260810810810811
117	553	TEGLUT	0.650994575045208	TEGLUT26	0.4249547920434
119	830	TEGLUT	0.691566265060241	TEGLUT7	0.237349397590361
96	226	TEGLUT	0.942477876106195	TEGLUT5	0.446902654867257
126	337	TEGLUT	0.955489614243323	TEGLUT12	0.620178041543027
485	1962	NEUR	0.648827726809378	NEUR	0.648827726809378
127	445	TEGLUT	0.986516853932584	TEGLUT19	0.330337078651685
138	889	TEGLUT	0.893138357705287	TEGLUT17	0.286839145106862
122	389	TEGLUT	0.838046272493573	TEGLUT11	0.311053984575835
140	273	TEGLUT	0.80952380952381	TEGLUT13	0.564102564102564
139	438	TEGLUT	0.942922374429224	TEGLUT22	0.80365296803653
124	356	TEGLUT	0.853932584269663	TEGLUT23	0.275280898876405
125	345	TEGLUT	0.953623188405797	TEGLUT25	0.423188405797101
118	232	TEGLUT	0.801724137931034	TEGLUT1	0.698275862068966
121	429	TEGLUT	0.96969696969697	TEGLUT2	0.501165501165501
120	227	TEGLUT	0.757709251101322	TEGLUT5	0.370044052863436
143	290	TEGLUT	0.982758620689655	TEGLUT8	0.917241379310345
503	7624	NEUR	0.85191500524659	NEUR	0.85191500524659
144	449	TEGLUT	0.926503340757238	TEGLUT10	0.407572383073497
142	304	TEGLUT	0.9375	TEGLUT9	0.523026315789474
145	530	TEGLUT	0.618867924528302	TEGLUT9	0.286792452830189
178	347	TEGABA	0.752161383285303	TEGABA13	0.204610951008646
179	355	TEGABA	0.687323943661972	TEGABA6	0.32112676056338
258	320	NEUR	0.484375	NEUR	0.484375
192	349	NEUR	0.862464183381089	NEUR	0.862464183381089
184	290	DIGLUT	0.762068965517241	DIGLUT22	0.341379310344828
186	464	NEUR	0.678879310344828	NEUR	0.678879310344828
185	636	DIGLUT	0.455974842767296	NEUR	0.45125786163522
182	2842	NEUR	0.662913441238564	NEUR	0.662913441238564
193	3088	NEUR	0.697215025906736	NEUR	0.697215025906736
194	208	DIGABA	0.860576923076923	DIGABA2	0.625
61	291	DIGABA	0.436426116838488	DIGABA3	0.274914089347079
204	338	TEGABA	0.863905325443787	TEGABA7	0.417159763313609
30	384	TEGABA	0.8828125	TEGABA6	0.354166666666667
206	217	TEGABA	0.972350230414747	TEGABA12	0.944700460829493
56	325	TEGABA	0.981538461538462	TEGABA12	0.483076923076923
205	276	TEGABA	0.927536231884058	TEGABA5	0.384057971014493
504	294	NEUR	0.700680272108844	NEUR	0.700680272108844
58	157	TEGABA	1	TEGABA14	0.777070063694268
57	280	TEGABA	0.960714285714286	TEGABA9	0.575
202	451	TEGABA	0.926829268292683	TEGABA9	0.323725055432373
497	824	NEUR	0.743932038834951	NEUR	0.743932038834951
285	286	NEUR	0.713286713286713	NEUR	0.713286713286713
288	1039	NEUR	0.472569778633301	NEUR	0.472569778633301
198	304	MEGABA	0.973684210526316	MEGABA8	0.315789473684211
200	207	MEGABA	0.980676328502415	MEGABA11	0.584541062801932
201	406	MEGABA	0.96551724137931	MEGABA10	0.495073891625616
