Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
55	283	Cerebellum neurons	0.958	CBGRC	0.951	Rhombencephalon glutamatergic neurons	ReExc_Cerebellum granule neurons_55
84	439	Cerebellum neurons	1.000	CBINH1	0.884	Rhombencephalon GABAergic neurons	ReInh_84
89	313	Cerebellum neurons	0.872	CBINH1	0.693	Rhombencephalon GABAergic neurons	ReInh_89
289	120	Glutamatergic neuroblasts	1.000	OBNBL2	0.967	Neuroblasts	NB_289
67	463	Olfactory inhibitory neurons	0.959	OBDOP1	0.715	Telencephalon GABAergic neurons	TeInh_LGE_67
68	1060	Olfactory inhibitory neurons	0.991	OBNBL5	0.789	Telencephalon GABAergic neurons	TeInh_LGE_68
81	399	Olfactory inhibitory neurons	0.992	OBINH4	0.992	Telencephalon GABAergic neurons	TeInh_LGE_81
57	858	Olfactory inhibitory neurons	0.923	OBINH2	0.689	Telencephalon GABAergic neurons	TeInh_LGE_57
75	6307	Cerebellum neurons	0.605	CBGRC	0.589	Rhombencephalon glutamatergic neurons	ReExc_Cerebellum granule neurons_75
56	260	Di- and mesencephalon excitatory neurons	0.654	CR	0.635	Mixture	Mixture_56
33	2445	Non-glutamatergic neuroblasts	0.987	OBNBL3	0.851	Neuroblasts	NB_33
74	286	Cerebellum neurons	0.734	CBNBL2	0.601	Neuroblasts	NB_74
1	222	Non-glutamatergic neuroblasts	0.784	DGNBL2	0.779	Neuroblasts	NB_1
51	1284	Non-glutamatergic neuroblasts	0.975	DGNBL2	0.888	Neuroblasts	NB_51
114	204	Dentate gyrus granule neurons	0.750	DGGRC1	0.593	Telencephalon glutamatergic neurons	TeExc_114
111	3267	Dentate gyrus granule neurons	0.981	DGGRC2	0.885	Telencephalon glutamatergic neurons	TeExc_111
112	895	Dentate gyrus granule neurons	0.941	DGGRC1	0.497	Telencephalon glutamatergic neurons	TeExc_112
19	239	Telencephalon projecting inhibitory neurons	0.799	MSN6	0.619	Telencephalon GABAergic neurons	TeInh_19
64	311	Telencephalon projecting inhibitory neurons	0.817	MSN6	0.778	Telencephalon GABAergic neurons	TeInh_64
26	335	Telencephalon projecting inhibitory neurons	0.997	MSN5	0.961	Telencephalon GABAergic neurons	TeInh_26
27	2490	Telencephalon projecting inhibitory neurons	0.993	MSN4	0.614	Telencephalon GABAergic neurons	TeInh_27
28	2302	Telencephalon projecting inhibitory neurons	0.998	MSN3	0.520	Telencephalon GABAergic neurons	TeInh_28
109	762	Telencephalon projecting excitatory neurons	0.982	TEGLU4	0.219	Telencephalon glutamatergic neurons	TeExc_109
91	183	Telencephalon projecting excitatory neurons	1.000	TEGLU24	0.934	Telencephalon glutamatergic neurons	TeExc_Hippocampus_91
174	340	Telencephalon projecting excitatory neurons	1.000	TEGLU8	0.994	Telencephalon glutamatergic neurons	TeExc_174
122	147	Telencephalon projecting excitatory neurons	0.993	TEGLU1	0.939	Telencephalon glutamatergic neurons	TeExc_122
127	214	Telencephalon projecting excitatory neurons	0.986	TEGLU1	0.949	Telencephalon glutamatergic neurons	TeExc_127
153	299	Telencephalon projecting excitatory neurons	0.993	TEGLU2	0.766	Telencephalon glutamatergic neurons	TeExc_Amygdala_153
152	510	Telencephalon projecting excitatory neurons	1.000	TEGLU3	0.994	Telencephalon glutamatergic neurons	TeExc_152
123	395	Telencephalon projecting excitatory neurons	1.000	TEGLU3	0.881	Telencephalon glutamatergic neurons	TeExc_123
155	1731	Telencephalon projecting excitatory neurons	1.000	TEGLU3	0.990	Telencephalon glutamatergic neurons	TeExc_155
172	283	Telencephalon projecting excitatory neurons	0.996	TEGLU12	0.989	Telencephalon glutamatergic neurons	TeExc_172
158	155	Telencephalon projecting excitatory neurons	1.000	TEGLU15	0.929	Telencephalon glutamatergic neurons	TeExc_158
125	504	Telencephalon projecting excitatory neurons	0.968	TEGLU6	0.917	Telencephalon glutamatergic neurons	TeExc_125
159	147	Telencephalon projecting excitatory neurons	1.000	TEGLU13	0.769	Telencephalon glutamatergic neurons	TeExc_159
160	140	Telencephalon projecting excitatory neurons	0.986	TEGLU5	0.771	Telencephalon glutamatergic neurons	TeExc_160
169	491	Telencephalon projecting excitatory neurons	1.000	TEGLU4	0.967	Telencephalon glutamatergic neurons	TeExc_169
117	956	Telencephalon projecting excitatory neurons	0.953	TEGLU22	0.333	Telencephalon glutamatergic neurons	TeExc_Amygdala_117
163	597	Telencephalon projecting excitatory neurons	1.000	TEGLU22	0.777	Telencephalon glutamatergic neurons	TeExc_Amygdala_163
165	666	Telencephalon projecting excitatory neurons	0.995	TEGLU17	0.760	Telencephalon glutamatergic neurons	TeExc_165
167	685	Telencephalon projecting excitatory neurons	0.996	TEGLU18	0.777	Telencephalon glutamatergic neurons	TeExc_167
124	1326	Telencephalon projecting excitatory neurons	0.998	TEGLU8	0.954	Telencephalon glutamatergic neurons	TeExc_124
191	1031	Telencephalon projecting excitatory neurons	0.998	TEGLU8	0.837	Telencephalon glutamatergic neurons	TeExc_191
173	364	Telencephalon projecting excitatory neurons	1.000	TEGLU8	0.948	Telencephalon glutamatergic neurons	TeExc_173
177	2246	Telencephalon projecting excitatory neurons	0.999	TEGLU7	0.934	Telencephalon glutamatergic neurons	TeExc_177
171	115	Telencephalon projecting excitatory neurons	1.000	TEGLU21	0.583	Telencephalon glutamatergic neurons	TeExc_Hippocampus_171
170	866	Telencephalon projecting excitatory neurons	1.000	TEGLU10	0.806	Telencephalon glutamatergic neurons	TeExc_170
186	1115	Telencephalon projecting excitatory neurons	0.997	TEGLU11	0.926	Telencephalon glutamatergic neurons	TeExc_186
189	230	Telencephalon projecting excitatory neurons	0.996	TEGLU11	0.922	Telencephalon glutamatergic neurons	TeExc_189
162	162	Telencephalon projecting excitatory neurons	1.000	TEGLU22	0.975	Telencephalon glutamatergic neurons	TeExc_Amygdala_162
118	1767	Telencephalon projecting excitatory neurons	1.000	TEGLU24	0.988	Telencephalon glutamatergic neurons	TeExc_Hippocampus_118
200	335	Telencephalon projecting excitatory neurons	1.000	TEGLU23	0.940	Telencephalon glutamatergic neurons	TeExc_Hippocampus_200
309	135	Di- and mesencephalon excitatory neurons	1.000	DECHO2	1.000	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_309
311	148	Peptidergic neurons	1.000	HYPEP5	0.709	Peptidergic neurons	DePep_311
310	240	Peptidergic neurons	0.913	DEINH8	0.217	Diencephalon GABAergic neurons	DeInh_310
60	253	Peptidergic neurons	0.988	DEINH7	0.577	Diencephalon GABAergic neurons	DeInh_60
338	169	Di- and mesencephalon excitatory neurons	0.343	DEGLU3	0.083	Mixture	Mixture_338
87	297	Di- and mesencephalon excitatory neurons	0.397	DEGLU3	0.064	Mixture	Mixture_87
88	183	Telencephalon inhibitory interneurons	0.705	TEINH17	0.514	Telencephalon GABAergic neurons	TeInh_88
86	289	Telencephalon inhibitory interneurons	0.986	TEINH15	0.471	Telencephalon GABAergic neurons	TeInh_CGE_86
316	220	Telencephalon inhibitory interneurons	1.000	TEINH16	0.582	Telencephalon GABAergic neurons	TeInh_MGE_316
263	1252	Telencephalon inhibitory interneurons	0.998	TEINH15	0.653	Telencephalon GABAergic neurons	TeInh_CGE_263
264	348	Telencephalon inhibitory interneurons	1.000	TEINH16	0.983	Telencephalon GABAergic neurons	TeInh_MGE_264
313	174	Telencephalon inhibitory interneurons	1.000	TEINH9	0.552	Telencephalon GABAergic neurons	TeInh_CGE_313
213	212	Telencephalon inhibitory interneurons	1.000	TEINH10	0.571	Telencephalon GABAergic neurons	TeInh_CGE_213
