Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
266	185	Photoreceptors	0.989	Photo3	0.465	Photoreceptor cells	Photo_266
99	314	Excitatory telencephalon	1.000	TeExc1	0.987	Telencephalon glutamatergic neurons	TeExc_99
324	237	Immune	0.620	Micro1	0.591	Microglia	Microglia_324
125	313	Habenular neurons	1.000	DeExc2	0.514	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_125
126	251	Habenular neurons	0.920	DeExc2	0.478	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_126
189	351	Habenular neurons	0.994	DeChol3	0.889	Diencephalon glutamatergic neurons	DeChol_Habenular neurons_189
190	180	Habenular neurons	1.000	DeChol3	0.983	Diencephalon glutamatergic neurons	DeChol_Habenular neurons_190
191	455	Habenular neurons	0.996	DeChol3	0.690	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_191
194	338	Habenular neurons	0.997	DeChol3	0.911	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_194
193	233	Habenular neurons	1.000	DeChol3	0.833	Diencephalon glutamatergic neurons	DeChol_Habenular neurons_193
195	144	Habenular neurons	1.000	DeChol3	1.000	Diencephalon glutamatergic neurons	DeChol_Habenular neurons_195
95	500	Meningeal fibroblasts	0.238	Fibro1	0.222	Mixture	Mixture_95
97	122	Meningeal fibroblasts	0.459	Fibro2	0.459	Mixture	Mixture_97
124	104	Spinal cord/Rhombencephalon neurons	0.990	ReInh2	0.683	Rhombencephalon GABAergic neurons	ReInh_124
173	470	Astrocytes	0.194	DeChol3	0.057	Mixture	Mixture_173
131	383	Inhibitory telencephalon	1.000	TeInh7	0.433	Telencephalon GABAergic neurons	TeInh_LGE_131
130	195	Inhibitory telencephalon	1.000	TeInh8	0.667	Telencephalon GABAergic neurons	TeInh_LGE_130
128	332	Inhibitory telencephalon	0.982	TeInh8	0.858	Telencephalon GABAergic neurons	TeInh_LGE_128
129	398	Inhibitory telencephalon	1.000	TeDopa1	0.565	Telencephalon GABAergic neurons	TeDopa_LGE_129
292	398	Inhibitory telencephalon	0.995	TeInh8	0.716	Telencephalon GABAergic neurons	TeInh_LGE_292
144	138	Excitatory telencephalon	1.000	TeExc2	0.986	Telencephalon glutamatergic neurons	TeExc_144
138	126	Inhibitory mesencephalon	1.000	Meinh4	0.556	Mesencephalon GABAergic neurons	MeInh_Optic Tectum_138
139	221	Inhibitory mesencephalon	0.991	MeInh3	0.520	Mesencephalon GABAergic neurons	MeInh_Optic Tectum_139
140	188	Inhibitory mesencephalon	0.995	MeInh3	0.941	Mesencephalon GABAergic neurons	MeInh_Optic Tectum_140
167	116	Inhibitory mesencephalon	0.991	MeInh9	0.638	Mesencephalon GABAergic neurons	MeInh_167
