Cluster	Cell number	Major labelling of reference	ratio of Major labelling of reference	subtype labelling of reference	ratio of subtype labelling of reference	Refined family	Refined subtype
298	244	EG-CB	0.861	EG-CB	0.861	Astrocytes	Ast_298
291	322	CBGABA	0.984	CBGABA2	0.981	Rhombencephalon GABAergic neurons	ReInh_291
295	247	NEUR	0.607	NEUR	0.607	Rhombencephalon glutamatergic neurons	ReExc_295
296	3449	CBGLUT	0.936	CBGLUT4	0.418	Rhombencephalon glutamatergic neurons	ReExc_Cerebellum granule cells_296
297	466	CBGLUT	0.998	CBGLUT2	0.940	Rhombencephalon glutamatergic neurons	ReExc_Cerebellum granule cells_297
27	188	DIGLUT	0.569	DIGLUT40	0.239	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_27
28	207	DICHOL	0.966	DICHOL3	0.966	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_28
24	307	DIGLUT	0.990	DIGLUT43	0.938	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_24
467	390	DICHOL	0.567	DICHOL2	0.559	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_467
463	1100	DIGLUT	0.531	NEUR	0.379	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_463
25	211	DICHOL	0.919	DICHOL1	0.815	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_25
26	227	DICHOL	0.877	DICHOL1	0.872	Diencephalon glutamatergic neurons	DeExc_Habenular neurons_26
180	740	TEGABA	0.373	NEUR	0.261	Telencephalon glutamatergic neurons	TeExc_180
117	553	TEGLUT	0.651	TEGLUT26	0.425	Telencephalon glutamatergic neurons	TeExc_117
119	830	TEGLUT	0.692	TEGLUT7	0.237	Telencephalon glutamatergic neurons	TeExc_119
96	226	TEGLUT	0.942	TEGLUT5	0.447	Telencephalon glutamatergic neurons	TeExc_96
126	337	TEGLUT	0.955	TEGLUT12	0.620	Telencephalon glutamatergic neurons	TeExc_126
485	1962	NEUR	0.649	NEUR	0.649	Telencephalon glutamatergic neurons	TeExc_485
127	445	TEGLUT	0.987	TEGLUT19	0.330	Telencephalon glutamatergic neurons	TeExc_127
138	889	TEGLUT	0.893	TEGLUT17	0.287	Telencephalon glutamatergic neurons	TeExc_138
122	389	TEGLUT	0.838	TEGLUT11	0.311	Telencephalon glutamatergic neurons	TeExc_122
140	273	TEGLUT	0.810	TEGLUT13	0.564	Telencephalon glutamatergic neurons	TeExc_140
139	438	TEGLUT	0.943	TEGLUT22	0.804	Telencephalon glutamatergic neurons	TeExc_139
124	356	TEGLUT	0.854	TEGLUT23	0.275	Telencephalon glutamatergic neurons	TeExc_124
125	345	TEGLUT	0.954	TEGLUT25	0.423	Telencephalon glutamatergic neurons	TeExc_125
118	232	TEGLUT	0.802	TEGLUT1	0.698	Telencephalon glutamatergic neurons	TeExc_118
121	429	TEGLUT	0.970	TEGLUT2	0.501	Telencephalon glutamatergic neurons	TeExc_121
120	227	TEGLUT	0.758	TEGLUT5	0.370	Telencephalon glutamatergic neurons	TeExc_120
143	290	TEGLUT	0.983	TEGLUT8	0.917	Telencephalon glutamatergic neurons	TeExc_143
503	7624	NEUR	0.852	NEUR	0.852	Telencephalon glutamatergic neurons	TeExc_503
144	449	TEGLUT	0.927	TEGLUT10	0.408	Telencephalon glutamatergic neurons	TeExc_144
142	304	TEGLUT	0.938	TEGLUT9	0.523	Telencephalon glutamatergic neurons	TeExc_142
145	530	TEGLUT	0.619	TEGLUT9	0.287	Telencephalon glutamatergic neurons	TeExc_145
178	347	TEGABA	0.752	TEGABA13	0.205	Telencephalon GABAergic neurons	TeInh_MGE_178
179	355	TEGABA	0.687	TEGABA6	0.321	Telencephalon GABAergic neurons	TeInh_MGE_179
258	320	NEUR	0.484	NEUR	0.484	Mixture	Mixture_258
192	349	NEUR	0.862	NEUR	0.862	Mixture	Mixture_192
184	290	DIGLUT	0.762	DIGLUT22	0.341	Diencephalon glutamatergic neurons	DeExc_Thalamus_184
186	464	NEUR	0.679	NEUR	0.679	Diencephalon glutamatergic neurons	DeExc_186
185	636	DIGLUT	0.456	NEUR	0.451	Diencephalon glutamatergic neurons	DeExc_185
182	2842	NEUR	0.663	NEUR	0.663	Mixture	Mixture_182
193	3088	NEUR	0.697	NEUR	0.697	Mixture	Mixture_193
194	208	DIGABA	0.861	DIGABA2	0.625	Diencephalon GABAergic neurons	DeInh_Hypothalamus_194
61	291	DIGABA	0.436	DIGABA3	0.275	Diencephalon GABAergic neurons	DeInh_61
204	338	TEGABA	0.864	TEGABA7	0.417	Telencephalon GABAergic neurons	TeInh_MGE_204
30	384	TEGABA	0.883	TEGABA6	0.354	Telencephalon GABAergic neurons	TeInh_MGE_30
206	217	TEGABA	0.972	TEGABA12	0.945	Telencephalon GABAergic neurons	TeInh_MGE_206
