cluster	total	n_paralogs	n_paralog_pairs	paralogs%	families_divided_by_paralogs%
acinar cell	157	61	54	0.388535031847134	0.885245901639344
alveolar adventitial fibroblast	1020	344	274	0.337254901960784	0.796511627906977
alveolar type 1 fibroblast cell	454	161	136	0.354625550660793	0.84472049689441
bronchial goblet cell	122	57	51	0.467213114754098	0.894736842105263
bronchus fibroblast of lung	135	45	39	0.333333333333333	0.866666666666667
capillary endothelial cell	449	172	134	0.383073496659243	0.779069767441861
ciliated columnar cell of tracheobronchial tree	1681	445	383	0.264723378941106	0.860674157303371
club cell	338	147	123	0.43491124260355	0.836734693877551
endothelial cell of lymphatic vessel	138	52	46	0.376811594202899	0.884615384615385
epithelial cell of alveolus of lung	30	15	15	0.5	1
epithelial cell of lower respiratory tract	92	34	31	0.369565217391304	0.911764705882353
lung pericyte	198	61	58	0.308080808080808	0.950819672131147
multi-ciliated epithelial cell	928	258	219	0.27801724137931	0.848837209302326
myofibroblast cell	212	68	66	0.320754716981132	0.970588235294118
nasal mucosa goblet cell	489	188	164	0.384458077709611	0.872340425531915
pulmonary alveolar type 1 cell	197	61	58	0.309644670050761	0.950819672131147
pulmonary alveolar type 2 cell	1116	308	274	0.275985663082437	0.88961038961039
pulmonary artery endothelial cell	307	132	108	0.429967426710098	0.818181818181818
respiratory basal cell	1519	418	363	0.275181040157999	0.868421052631579
respiratory hillock cell	1259	371	309	0.294678316123908	0.83288409703504
serous secreting cell	110	40	38	0.363636363636364	0.95
smooth muscle cell	173	61	54	0.352601156069364	0.885245901639344
tracheobronchial goblet cell	37	19	18	0.513513513513513	0.947368421052632
tracheobronchial serous cell	56	22	17	0.392857142857143	0.772727272727273
tracheobronchial smooth muscle cell	210	67	61	0.319047619047619	0.91044776119403
vein endothelial cell	328	132	109	0.402439024390244	0.825757575757576
