cluster	total	n_ohnologs	n_ohnolog_pairs	ohnologs%	families_divided_by_ohnologs%
acinar cell	157	50	48	0.318471337579618	0.96
alveolar adventitial fibroblast	1020	399	327	0.391176470588235	0.819548872180451
alveolar type 1 fibroblast cell	454	202	176	0.444933920704846	0.871287128712871
bronchial goblet cell	122	25	25	0.204918032786885	1
bronchus fibroblast of lung	135	49	43	0.362962962962963	0.877551020408163
capillary endothelial cell	449	174	145	0.387527839643653	0.833333333333333
ciliated columnar cell of tracheobronchial tree	1681	403	355	0.239738251041047	0.880893300248139
club cell	338	92	87	0.272189349112426	0.945652173913043
endothelial cell of lymphatic vessel	138	54	52	0.391304347826087	0.962962962962963
epithelial cell of alveolus of lung	30	7	7	0.233333333333333	1
epithelial cell of lower respiratory tract	92	28	26	0.304347826086957	0.928571428571429
lung pericyte	198	91	90	0.45959595959596	0.989010989010989
multi-ciliated epithelial cell	928	198	182	0.213362068965517	0.919191919191919
myofibroblast cell	212	88	78	0.415094339622642	0.886363636363636
nasal mucosa goblet cell	489	162	152	0.331288343558282	0.938271604938272
pulmonary alveolar type 1 cell	197	89	83	0.451776649746193	0.932584269662921
pulmonary alveolar type 2 cell	1116	344	305	0.308243727598566	0.886627906976744
pulmonary artery endothelial cell	307	107	98	0.348534201954397	0.91588785046729
respiratory basal cell	1519	412	355	0.271231073074391	0.861650485436893
respiratory hillock cell	1259	317	289	0.251787132644956	0.911671924290221
serous secreting cell	110	25	25	0.227272727272727	1
smooth muscle cell	173	64	63	0.369942196531792	0.984375
tracheobronchial goblet cell	37	7	7	0.189189189189189	1
tracheobronchial serous cell	56	11	11	0.196428571428571	1
tracheobronchial smooth muscle cell	210	88	81	0.419047619047619	0.920454545454545
vein endothelial cell	328	113	103	0.344512195121951	0.911504424778761
