cluster	total	n_paralogs	n_paralog_pairs	paralogs%	families_divided_by_paralogs%
acinar cell	157	107	98	0.681528662420382	0.91588785046729
alveolar adventitial fibroblast	1020	742	589	0.727450980392157	0.793800539083558
alveolar type 1 fibroblast cell	454	364	308	0.801762114537445	0.846153846153846
bronchial goblet cell	122	81	75	0.663934426229508	0.925925925925926
bronchus fibroblast of lung	135	96	83	0.711111111111111	0.864583333333333
capillary endothelial cell	449	358	291	0.797327394209354	0.812849162011173
ciliated columnar cell of tracheobronchial tree	1681	831	724	0.494348602022606	0.871239470517449
club cell	338	234	206	0.692307692307692	0.88034188034188
endothelial cell of lymphatic vessel	138	110	103	0.797101449275362	0.936363636363636
epithelial cell of alveolus of lung	30	22	22	0.733333333333333	1
epithelial cell of lower respiratory tract	92	66	62	0.717391304347826	0.939393939393939
lung pericyte	198	157	150	0.792929292929293	0.955414012738854
multi-ciliated epithelial cell	928	447	393	0.481681034482759	0.879194630872483
myofibroblast cell	212	159	144	0.75	0.905660377358491
nasal mucosa goblet cell	489	346	309	0.707566462167689	0.893063583815029
pulmonary alveolar type 1 cell	197	154	143	0.781725888324873	0.928571428571429
pulmonary alveolar type 2 cell	1116	659	581	0.590501792114695	0.881638846737481
pulmonary artery endothelial cell	307	247	213	0.804560260586319	0.862348178137652
respiratory basal cell	1519	820	696	0.53982883475971	0.848780487804878
respiratory hillock cell	1259	692	591	0.549642573471009	0.854046242774566
serous secreting cell	110	63	61	0.572727272727273	0.968253968253968
smooth muscle cell	173	125	118	0.722543352601156	0.944
tracheobronchial goblet cell	37	28	27	0.756756756756757	0.964285714285714
tracheobronchial serous cell	56	32	27	0.571428571428571	0.84375
tracheobronchial smooth muscle cell	210	164	145	0.780952380952381	0.884146341463415
vein endothelial cell	328	253	216	0.771341463414634	0.853754940711462
