source,target,value
mm_C25-10: GABA-2,bf_0,0.11584328556942489
mm_C25-10: GABA-2,bf_1,0.11501115560883027
mm_C25-11: GABA-1,bf_0,0.18061559304123004
mm_C25-11: GABA-1,bf_1,0.24521014851830714
mm_C25-11: GABA-1,bf_16,0.14178940341473523
mm_C25-11: GABA-1,bf_9,0.10923490229532132
mm_C25-12: GABA-3,bf_0,0.12263911209680242
mm_C25-12: GABA-3,bf_1,0.10819195473804111
mm_C25-12: GABA-3,bf_9,0.13455318739700337
mm_C25-13: GABA-4,bf_0,0.12133402012154237
mm_C25-13: GABA-4,bf_1,0.11736266997075184
mm_C25-13: GABA-4,bf_2,0.12403320015164147
mm_C25-13: GABA-4,bf_9,0.1332929889157675
mm_C25-14: GABA-5,bf_0,0.11891272516801181
mm_C25-14: GABA-5,bf_1,0.16719273254053035
mm_C25-15: GABA-6,bf_0,0.2219879205288106
mm_C25-15: GABA-6,bf_1,0.1027101119109414
mm_C25-15: GABA-6,bf_2,0.11250259587272855
mm_C25-15: GABA-6,bf_9,0.11275410898465017
mm_C25-17: Ependymal-like,bf_12,0.1980482582883547
mm_C25-17: Ependymal-like,bf_5,0.11640933832732772
mm_C25-17: Ependymal-like,bf_8,0.15718055672358225
mm_C25-18: Astrocytes,bf_12,0.3203248578526035
mm_C25-18: Astrocytes,bf_4,0.3072200748859667
mm_C25-19: Oligodendrocytes,bf_18,0.41561146467313687
mm_C25-19: Oligodendrocytes,bf_20,0.12052099397532993
mm_C25-19: Oligodendrocytes,bf_22,0.2457259155831149
mm_C25-1: GLU-1,bf_0,0.14042816289405743
mm_C25-1: GLU-1,bf_1,0.19242423123898061
mm_C25-1: GLU-1,bf_10,0.1002471043064519
mm_C25-1: GLU-1,bf_9,0.19813835731860846
mm_C25-20: OPC,bf_6,0.11717338469865586
mm_C25-21: Immune,bf_19,0.18850405357354832
mm_C25-21: Immune,bf_3,0.4603470068658684
mm_C25-21: Immune,bf_6,0.22429440989904306
mm_C25-23: ParsTuber,bf_17,0.36744676205481247
mm_C25-23: ParsTuber,bf_2,0.2136705653194783
