Homo sapiens,Anolis carolinensis,Felis catus,Gallus gallus,Pan troglodytes,Bos taurus,Canis lupus familiaris,Gorilla gorilla gorilla,Equus caballus,Macaca mulatta,Callithrix jacchus,Mus musculus,Papio anubis,Monodelphis domestica,Pongo abelii,Sus scrofa,Oryctolagus cuniculus,Rattus norvegicus,Ovis aries,Meleagris gallopavo,Chlorocebus sabaeus,Taeniopygia guttata,Lepisosteus oculatus,Gasterosteus aculeatus,Oryzias latipes,Tetraodon nigroviridis,Danio rerio
0,,,,,,,,,,,,,,,,,,,,,,,,,,
312,0,,,,,,,,,,,,,,,,,,,,,,,,,
96,312,0,,,,,,,,,,,,,,,,,,,,,,,,
312,280,312,0,,,,,,,,,,,,,,,,,,,,,,,
6.65,312,96,312,0,,,,,,,,,,,,,,,,,,,,,,
96,312,78,312,96,0,,,,,,,,,,,,,,,,,,,,,
96,312,54,312,96,78,0,,,,,,,,,,,,,,,,,,,,
9.06,312,96,312,9.06,96,96,0,,,,,,,,,,,,,,,,,,,
96,312,77,312,96,78,77,96,0,,,,,,,,,,,,,,,,,,
29.44,312,96,312,29.44,96,96,29.44,96,0,,,,,,,,,,,,,,,,,
43.2,312,96,312,43.2,96,96,43.2,96,43.2,0,,,,,,,,,,,,,,,,
90,312,96,312,90,96,96,90,96,90,90,0,,,,,,,,,,,,,,,
29.44,312,96,312,29.44,96,96,29.44,96,12.4,43.2,90,0,,,,,,,,,,,,,,
159,312,159,312,159,159,159,159,159,159,159,159,159,0,,,,,,,,,,,,,
15.76,312,96,312,15.76,96,96,15.76,96,28.1,43.2,90,29.44,159,0,,,,,,,,,,,,
96,312,78,312,96,62,78,96,78,96,96,96,96,159,96,0,,,,,,,,,,,
90,312,96,312,90,96,96,90,96,90,90,82,90,159,90,96,0,,,,,,,,,,
90,312,96,312,90,96,96,90,96,90,90,20.9,90,159,90,94,82,0,,,,,,,,,
96,312,78,312,96,24.6,78,96,78,96,96,94,96,159,96,62,96,96,0,,,,,,,,
312,280,312,37,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,0,,,,,,,
29.44,312,96,312,29.44,96,96,29.44,96,13.7,43.2,90,13.7,159,29.44,96,90,90,96,312,0,,,,,,
312,280,312,98,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,98,312,0,,,,,
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,0,,,,
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,315,0,,,
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,315,128,0,,
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,315,110,128,0,
435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,315,229.9,229.9,229.9,0
