clusterName,markerGene,score
Astrocytes,ENSG00000124440,0.8174320687559684
Astrocytes,ENSG00000111783,0.8174320687559684
Choroid plexus epithelial cells,ENSG00000162761,0.866442542787286
Choroid plexus epithelial cells,ENSG00000115112,0.866442542787286
Diencephalon GABAergic neurons,ENSG00000107485,0.7084077743489795
Diencephalon GABAergic neurons,ENSG00000165588,0.7084077743489795
Diencephalon glutamatergic neurons,ENSG00000168779,0.683171728109465
Ependymal cells,ENSG00000129654,0.6418918918918919
Ependymal cells,ENSG00000004838,0.6418918918918919
Fibroblasts,ENSG00000112837,0.7249898744430944
Mesencephalon GABAergic neurons,ENSG00000197587,0.1833213515456506
Mesencephalon glutamatergic neurons,ENSG00000008197,0.3710015731515469
Mesencephalon glutamatergic neurons,ENSG00000143355,0.3710015731515469
Microglia,ENSG00000095585,0.8844293371682573
Oligodendrocyte precursor cells,ENSG00000205927,0.6333582169137251
Oligodendrocyte precursor cells,ENSG00000184221,0.6333582169137251
Oligodendrocytes,ENSG00000148826,0.8994408787896887
Rhombencephalon GABAergic neurons,ENSG00000180828,0.6445396145610278
Rhombencephalon GABAergic neurons,ENSG00000008196,0.6445396145610278
Rhombencephalon glutamatergic neurons,ENSG00000125492,0.5024647887323944
Splatter,ENSG00000008196,0.21581636543887744
Telencephalon GABAergic neurons,ENSG00000144355,0.6388237800980183
Telencephalon glutamatergic neurons,ENSG00000164600,0.7379476584022039
Vascular cells,ENSG00000157554,0.6561155500921942
