clusterName,onTarget
Astrocytes,0.4161635364626418
Choroid plexus epithelial cells,0.8336659028141389
Diencephalon GABAergic neurons,0.26714680112980066
Diencephalon glutamatergic neurons,0.6754636738053973
Ependymal cells,0.7395564768867303
Fibroblasts,0.8026974414784137
Mesencephalon GABAergic neurons,0.6730307016708251
Mesencephalon glutamatergic neurons,0.6382785612678417
Microglia,0.7225381167328584
Oligodendrocyte precursor cells,0.687174468703867
Oligodendrocytes,0.8345443220462843
Rhombencephalon GABAergic neurons,0.7364136849831561
Rhombencephalon glutamatergic neurons,0.6910658550155304
Splatter,0.11229969829781289
Telencephalon GABAergic neurons,0.6341332600591395
Telencephalon glutamatergic neurons,0.6985795173520919
Vascular cells,0.9115719215417193
