clusterName,markerGene,onTarget_per_gene,onTarget
Astrocytes,ENSG00000124440,0.4582367549109461,0.4161635364626418
Astrocytes,ENSG00000111783,0.3740903180143375,0.4161635364626418
Choroid plexus epithelial cells,ENSG00000162761,0.8492819947318895,0.8336659028141389
Choroid plexus epithelial cells,ENSG00000115112,0.8180498108963884,0.8336659028141389
Diencephalon GABAergic neurons,ENSG00000107485,0.29812036200525954,0.26714680112980066
Diencephalon GABAergic neurons,ENSG00000165588,0.2361732402543418,0.26714680112980066
Diencephalon glutamatergic neurons,ENSG00000168779,0.6754636738053973,0.6754636738053973
Ependymal cells,ENSG00000129654,0.7417576562809687,0.7395564768867303
Ependymal cells,ENSG00000004838,0.737355297492492,0.7395564768867303
Fibroblasts,ENSG00000112837,0.8026974414784137,0.8026974414784137
Mesencephalon GABAergic neurons,ENSG00000197587,0.6730307016708251,0.6730307016708251
Mesencephalon glutamatergic neurons,ENSG00000008197,0.781003704708869,0.6382785612678417
Mesencephalon glutamatergic neurons,ENSG00000143355,0.49555341782681417,0.6382785612678417
Microglia,ENSG00000095585,0.7225381167328584,0.7225381167328584
Oligodendrocyte precursor cells,ENSG00000205927,0.7565834317795757,0.687174468703867
Oligodendrocyte precursor cells,ENSG00000184221,0.6177655056281584,0.687174468703867
Oligodendrocytes,ENSG00000148826,0.8345443220462843,0.8345443220462843
Rhombencephalon GABAergic neurons,ENSG00000180828,0.7742237768200287,0.7364136849831561
Rhombencephalon GABAergic neurons,ENSG00000008196,0.6986035931462834,0.7364136849831561
Rhombencephalon glutamatergic neurons,ENSG00000125492,0.6910658550155304,0.6910658550155304
Splatter,ENSG00000008196,0.11229969829781289,0.11229969829781289
Telencephalon GABAergic neurons,ENSG00000144355,0.6341332600591395,0.6341332600591395
Telencephalon glutamatergic neurons,ENSG00000164600,0.6985795173520919,0.6985795173520919
Vascular cells,ENSG00000157554,0.9115719215417193,0.9115719215417193
