clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Astrocytes,18903,0.8174320687559684,0.9734312002481134,0.4981219912183251,180840,257,9487,9416,2,"['ENSG00000124440', 'ENSG00000111783']","['ENSG00000124440', 'ENSG00000170370', 'ENSG00000115738', 'ENSG00000111783', 'ENSG00000197360', 'ENSG00000172201', 'ENSG00000056487', 'ENSG00000153885', 'ENSG00000114315', 'ENSG00000100968', 'ENSG00000117318', 'ENSG00000007372', 'ENSG00000172458', 'ENSG00000125398', 'ENSG00000111907', 'ENSG00000116132', 'ENSG00000181449', 'ENSG00000166925', 'ENSG00000184486', 'ENSG00000113916', 'ENSG00000198963', 'ENSG00000087903', 'ENSG00000205927', 'ENSG00000152284', 'ENSG00000170345', 'ENSG00000137693', 'ENSG00000107249', 'ENSG00000110693', 'ENSG00000184221', 'ENSG00000185650']",0.4161635364626418
Choroid plexus epithelial cells,864,0.866442542787286,0.9418604651162791,0.65625,199101,35,297,567,2,"['ENSG00000162761', 'ENSG00000115112']","['ENSG00000101076', 'ENSG00000162761', 'ENSG00000115112', 'ENSG00000165383', 'ENSG00000043039', 'ENSG00000163132', 'ENSG00000129654', 'ENSG00000111907', 'ENSG00000101096', 'ENSG00000116016', 'ENSG00000104369', 'ENSG00000165588', 'ENSG00000119042', 'ENSG00000198517', 'ENSG00000087903', 'ENSG00000184949', 'ENSG00000137693', 'ENSG00000182158', 'ENSG00000122591', 'ENSG00000141384', 'ENSG00000183833', 'ENSG00000187098', 'ENSG00000109819', 'ENSG00000102547', 'ENSG00000039560', 'ENSG00000107249', 'ENSG00000150907', 'ENSG00000134215', 'ENSG00000148200', 'ENSG00000144645']",0.8336659028141389
Diencephalon GABAergic neurons,6383,0.7084077743489795,0.8659827928524156,0.40999530001566664,193212,405,3766,2617,2,"['ENSG00000107485', 'ENSG00000165588']","['ENSG00000197587', 'ENSG00000168875', 'ENSG00000107485', 'ENSG00000016082', 'ENSG00000165588', 'ENSG00000006377', 'ENSG00000164853', 'ENSG00000115844', 'ENSG00000204335', 'ENSG00000144355', 'ENSG00000135111', 'ENSG00000198963', 'ENSG00000105880', 'ENSG00000144460', 'ENSG00000183570', 'ENSG00000162367', 'ENSG00000134323', 'ENSG00000189420', 'ENSG00000136352', 'ENSG00000089116', 'ENSG00000132170', 'ENSG00000120693', 'ENSG00000185551', 'ENSG00000188848', 'ENSG00000106852', 'ENSG00000176887', 'ENSG00000181418', 'ENSG00000217236', 'ENSG00000124766', 'ENSG00000173404']",0.26714680112980066
Diencephalon glutamatergic neurons,4037,0.683171728109465,0.682063882063882,0.6876393361406985,194669,1294,1261,2776,1,['ENSG00000168779'],"['ENSG00000159166', 'ENSG00000168779', 'ENSG00000183734', 'ENSG00000168505', 'ENSG00000164093', 'ENSG00000143355', 'ENSG00000060566', 'ENSG00000171956', 'ENSG00000112246', 'ENSG00000136327', 'ENSG00000136352', 'ENSG00000217236', 'ENSG00000177551', 'ENSG00000117707', 'ENSG00000119547', 'ENSG00000176399', 'ENSG00000168348', 'ENSG00000029153', 'ENSG00000102445', 'ENSG00000187772', 'ENSG00000176160', 'ENSG00000266094', 'ENSG00000187147', 'ENSG00000184828', 'ENSG00000074966', 'ENSG00000166268', 'ENSG00000124664', 'ENSG00000167705', 'ENSG00000164442', 'ENSG00000283154']",0.6754636738053973
Ependymal cells,652,0.6418918918918919,0.9178743961352657,0.29141104294478526,199331,17,462,190,2,"['ENSG00000129654', 'ENSG00000004838']","['ENSG00000165891', 'ENSG00000129654', 'ENSG00000004838', 'ENSG00000118513', 'ENSG00000078900', 'ENSG00000119508', 'ENSG00000157429', 'ENSG00000073282', 'ENSG00000125398', 'ENSG00000184949', 'ENSG00000164675', 'ENSG00000087903', 'ENSG00000135363', 'ENSG00000111783', 'ENSG00000178053', 'ENSG00000150051', 'ENSG00000183833', 'ENSG00000101096', 'ENSG00000161040', 'ENSG00000110693', 'ENSG00000150667', 'ENSG00000137693', 'ENSG00000107249', 'ENSG00000185650', 'ENSG00000184828', 'ENSG00000198039', 'ENSG00000130382', 'ENSG00000001460', 'ENSG00000143321', 'ENSG00000146592']",0.7395564768867303
Fibroblasts,1162,0.7249898744430944,0.7584745762711864,0.6161790017211703,198610,228,446,716,1,['ENSG00000112837'],"['ENSG00000112837', 'ENSG00000020633', 'ENSG00000092607', 'ENSG00000161405', 'ENSG00000176692', 'ENSG00000251493', 'ENSG00000054598', 'ENSG00000137273', 'ENSG00000177374', 'ENSG00000052850', 'ENSG00000185811', 'ENSG00000073282', 'ENSG00000127528', 'ENSG00000116132', 'ENSG00000151702', 'ENSG00000134954', 'ENSG00000121068', 'ENSG00000165424', 'ENSG00000187147', 'ENSG00000159216', 'ENSG00000164330', 'ENSG00000067066', 'ENSG00000152977', 'ENSG00000175745', 'ENSG00000185697', 'ENSG00000137693', 'ENSG00000043355', 'ENSG00000117318', 'ENSG00000185551', 'ENSG00000196781']",0.8026974414784137
Mesencephalon GABAergic neurons,271,0.1833213515456506,0.18214285714285713,0.1881918819188192,199500,229,220,51,1,['ENSG00000197587'],"['ENSG00000197587', 'ENSG00000168875', 'ENSG00000107485', 'ENSG00000105672', 'ENSG00000186197', 'ENSG00000165588', 'ENSG00000164853', 'ENSG00000176887', 'ENSG00000124766', 'ENSG00000162367', 'ENSG00000173404', 'ENSG00000204335', 'ENSG00000179348', 'ENSG00000198963', 'ENSG00000189420', 'ENSG00000134323', 'ENSG00000089116', 'ENSG00000135747', 'ENSG00000144460', 'ENSG00000139352', 'ENSG00000185551', 'ENSG00000183570', 'ENSG00000273706', 'ENSG00000120693', 'ENSG00000178150', 'ENSG00000164611', 'ENSG00000170370', 'ENSG00000134138', 'ENSG00000177508', 'ENSG00000124191']",0.6730307016708251
Mesencephalon glutamatergic neurons,2366,0.3710015731515469,0.7817679558011049,0.11961115807269654,197555,79,2083,283,2,"['ENSG00000008197', 'ENSG00000143355']","['ENSG00000152192', 'ENSG00000008197', 'ENSG00000151615', 'ENSG00000185960', 'ENSG00000136944', 'ENSG00000143355', 'ENSG00000221818', 'ENSG00000108001', 'ENSG00000164093', 'ENSG00000125492', 'ENSG00000168779', 'ENSG00000008196', 'ENSG00000143032', 'ENSG00000169856', 'ENSG00000162761', 'ENSG00000112246', 'ENSG00000196109', 'ENSG00000177551', 'ENSG00000146285', 'ENSG00000106689', 'ENSG00000160224', 'ENSG00000176842', 'ENSG00000170561', 'ENSG00000125931', 'ENSG00000239672', 'ENSG00000166823', 'ENSG00000164330', 'ENSG00000172201', 'ENSG00000197385', 'ENSG00000170549']",0.6382785612678417
Microglia,9669,0.8844293371682573,0.9469484882418813,0.6996587030716723,189952,379,2904,6765,1,['ENSG00000095585'],"['ENSG00000105967', 'ENSG00000140968', 'ENSG00000155307', 'ENSG00000122122', 'ENSG00000185811', 'ENSG00000095585', 'ENSG00000104903', 'ENSG00000245848', 'ENSG00000159216', 'ENSG00000162367', 'ENSG00000127084', 'ENSG00000102445', 'ENSG00000151702', 'ENSG00000178573', 'ENSG00000066336', 'ENSG00000140548', 'ENSG00000154330', 'ENSG00000067066', 'ENSG00000123095', 'ENSG00000101096', 'ENSG00000124813', 'ENSG00000081189', 'ENSG00000185650', 'ENSG00000143079', 'ENSG00000172216', 'ENSG00000162924', 'ENSG00000120690', 'ENSG00000180233', 'ENSG00000068305', 'ENSG00000139083']",0.7225381167328584
Oligodendrocyte precursor cells,12697,0.6333582169137251,0.6948636948636948,0.4677482869969284,184695,2608,6758,5939,2,"['ENSG00000205927', 'ENSG00000184221']","['ENSG00000169297', 'ENSG00000215612', 'ENSG00000205927', 'ENSG00000184221', 'ENSG00000005513', 'ENSG00000157613', 'ENSG00000139352', 'ENSG00000100146', 'ENSG00000125285', 'ENSG00000197921', 'ENSG00000135903', 'ENSG00000116132', 'ENSG00000165424', 'ENSG00000110693', 'ENSG00000124440', 'ENSG00000115041', 'ENSG00000088881', 'ENSG00000106536', 'ENSG00000143842', 'ENSG00000114166', 'ENSG00000134954', 'ENSG00000181449', 'ENSG00000244405', 'ENSG00000146592', 'ENSG00000116016', 'ENSG00000166925', 'ENSG00000152492', 'ENSG00000006468', 'ENSG00000124766', 'ENSG00000114251']",0.687174468703867
Oligodendrocytes,55123,0.8994408787896887,0.9635781961363357,0.7103205558478312,143397,1480,15968,39155,1,['ENSG00000148826'],"['ENSG00000148826', 'ENSG00000128645', 'ENSG00000173253', 'ENSG00000167588', 'ENSG00000265763', 'ENSG00000205927', 'ENSG00000184221', 'ENSG00000100146', 'ENSG00000125820', 'ENSG00000005513', 'ENSG00000092871', 'ENSG00000112561', 'ENSG00000100142', 'ENSG00000146592', 'ENSG00000150510', 'ENSG00000187147', 'ENSG00000134222', 'ENSG00000165424', 'ENSG00000166925', 'ENSG00000189067', 'ENSG00000117707', 'ENSG00000163602', 'ENSG00000170802', 'ENSG00000196109', 'ENSG00000140600', 'ENSG00000135547', 'ENSG00000134594', 'ENSG00000181449', 'ENSG00000136870', 'ENSG00000110315']",0.8345443220462843
Rhombencephalon GABAergic neurons,1127,0.6445396145610278,0.9966887417218543,0.2670807453416149,198872,1,826,301,2,"['ENSG00000180828', 'ENSG00000008196']","['ENSG00000178403', 'ENSG00000075891', 'ENSG00000138136', 'ENSG00000180828', 'ENSG00000008196', 'ENSG00000137203', 'ENSG00000161992', 'ENSG00000164778', 'ENSG00000164900', 'ENSG00000196092', 'ENSG00000089116', 'ENSG00000171532', 'ENSG00000120093', 'ENSG00000164488', 'ENSG00000171540', 'ENSG00000273706', 'ENSG00000141750', 'ENSG00000009709', 'ENSG00000108001', 'ENSG00000105997', 'ENSG00000138100', 'ENSG00000125618', 'ENSG00000204335', 'ENSG00000152784', 'ENSG00000198353', 'ENSG00000169856', 'ENSG00000107485', 'ENSG00000107984', 'ENSG00000179348', 'ENSG00000221818']",0.7364136849831561
Rhombencephalon glutamatergic neurons,7148,0.5024647887323944,0.8094157685762904,0.19963626189143815,192516,336,5721,1427,1,['ENSG00000125492'],"['ENSG00000162992', 'ENSG00000161992', 'ENSG00000125492', 'ENSG00000137251', 'ENSG00000143032', 'ENSG00000169224', 'ENSG00000164438', 'ENSG00000163508', 'ENSG00000198353', 'ENSG00000164778', 'ENSG00000171532', 'ENSG00000007372', 'ENSG00000165606', 'ENSG00000174963', 'ENSG00000273706', 'ENSG00000006468', 'ENSG00000164853', 'ENSG00000189190', 'ENSG00000170561', 'ENSG00000179456', 'ENSG00000105997', 'ENSG00000170549', 'ENSG00000143995', 'ENSG00000139800', 'ENSG00000205683', 'ENSG00000043355', 'ENSG00000120093', 'ENSG00000152977', 'ENSG00000144331', 'ENSG00000173917']",0.6910658550155304
Splatter,6585,0.21581636543887744,0.34681372549019607,0.08595292331055429,192349,1066,6019,566,1,['ENSG00000008196'],"['ENSG00000016082', 'ENSG00000171540', 'ENSG00000006377', 'ENSG00000144355', 'ENSG00000008196', 'ENSG00000009709', 'ENSG00000105880', 'ENSG00000136352', 'ENSG00000168875', 'ENSG00000112246', 'ENSG00000106852', 'ENSG00000108001', 'ENSG00000168779', 'ENSG00000217236', 'ENSG00000107485', 'ENSG00000169856', 'ENSG00000089116', 'ENSG00000180828', 'ENSG00000143355', 'ENSG00000125931', 'ENSG00000162761', 'ENSG00000137203', 'ENSG00000160224', 'ENSG00000004848', 'ENSG00000221818', 'ENSG00000138100', 'ENSG00000146285', 'ENSG00000138083', 'ENSG00000273706', 'ENSG00000171532']",0.11229969829781289
Telencephalon GABAergic neurons,28375,0.6388237800980183,0.8561637315564017,0.3169691629955947,170114,1511,19381,8994,1,['ENSG00000144355'],"['ENSG00000115844', 'ENSG00000144355', 'ENSG00000106852', 'ENSG00000006377', 'ENSG00000105880', 'ENSG00000164651', 'ENSG00000004848', 'ENSG00000217236', 'ENSG00000204103', 'ENSG00000148704', 'ENSG00000182968', 'ENSG00000127152', 'ENSG00000118513', 'ENSG00000102554', 'ENSG00000176165', 'ENSG00000181418', 'ENSG00000016082', 'ENSG00000112333', 'ENSG00000119547', 'ENSG00000164488', 'ENSG00000196767', 'ENSG00000106546', 'ENSG00000061337', 'ENSG00000102387', 'ENSG00000077092', 'ENSG00000165643', 'ENSG00000092377', 'ENSG00000138083', 'ENSG00000117707', 'ENSG00000057657']",0.6341332600591395
Telencephalon glutamatergic neurons,43468,0.7379476584022039,0.9433775381059814,0.3944050795987853,155503,1029,26324,17144,1,['ENSG00000164600'],"['ENSG00000135638', 'ENSG00000136535', 'ENSG00000164600', 'ENSG00000138100', 'ENSG00000153266', 'ENSG00000179388', 'ENSG00000165643', 'ENSG00000102387', 'ENSG00000105419', 'ENSG00000119042', 'ENSG00000180828', 'ENSG00000106689', 'ENSG00000171532', 'ENSG00000061337', 'ENSG00000176165', 'ENSG00000134222', 'ENSG00000143013', 'ENSG00000115041', 'ENSG00000106536', 'ENSG00000127152', 'ENSG00000029153', 'ENSG00000104369', 'ENSG00000143067', 'ENSG00000096654', 'ENSG00000119866', 'ENSG00000152784', 'ENSG00000198963', 'ENSG00000119547', 'ENSG00000081189', 'ENSG00000283154']",0.6985795173520919
Vascular cells,1170,0.6561155500921942,0.8195777351247601,0.36495726495726494,198736,94,743,427,1,['ENSG00000157554'],"['ENSG00000164736', 'ENSG00000103241', 'ENSG00000157554', 'ENSG00000121068', 'ENSG00000178175', 'ENSG00000135111', 'ENSG00000163072', 'ENSG00000164379', 'ENSG00000140682', 'ENSG00000127528', 'ENSG00000179772', 'ENSG00000125968', 'ENSG00000116016', 'ENSG00000054598', 'ENSG00000117318', 'ENSG00000137273', 'ENSG00000112837', 'ENSG00000134954', 'ENSG00000151702', 'ENSG00000141052', 'ENSG00000164330', 'ENSG00000061337', 'ENSG00000135363', 'ENSG00000157557', 'ENSG00000276644', 'ENSG00000138795', 'ENSG00000116132', 'ENSG00000067082', 'ENSG00000188290', 'ENSG00000115170']",0.9115719215417193
