,0
Astrocytes,1167
Choroid plexus epithelial cells,1385
Diencephalon GABAergic neurons,746
Diencephalon glutamatergic neurons,935
Ependymal cells,1580
Fibroblasts,1499
Mesencephalon GABAergic neurons,472
Mesencephalon glutamatergic neurons,1059
Microglia,1339
Oligodendrocyte precursor cells,647
Oligodendrocytes,880
Rhombencephalon GABAergic neurons,619
Rhombencephalon glutamatergic neurons,735
Splatter,835
Telencephalon GABAergic neurons,980
Telencephalon glutamatergic neurons,1655
Vascular cells,1274
