clusterName,markerGene,score
Astrocytes,ENSG00000164089,0.8852249185173455
Choroid plexus epithelial cells,ENSG00000111199,0.8877434135166093
Choroid plexus epithelial cells,ENSG00000187889,0.8877434135166093
Diencephalon GABAergic neurons,ENSG00000036828,0.7036532313014309
Diencephalon glutamatergic neurons,ENSG00000168779,0.8079464515575389
Diencephalon glutamatergic neurons,ENSG00000120903,0.8079464515575389
Ependymal cells,ENSG00000197057,0.8537735849056604
Ependymal cells,ENSG00000198774,0.8537735849056604
Fibroblasts,ENSG00000112936,0.7268656716417911
Mesencephalon GABAergic neurons,ENSG00000164099,0.28710725893824485
Mesencephalon GABAergic neurons,ENSG00000072182,0.28710725893824485
Mesencephalon glutamatergic neurons,ENSG00000008197,0.3710015731515469
Mesencephalon glutamatergic neurons,ENSG00000143355,0.3710015731515469
Microglia,ENSG00000168329,0.9106344950848972
Oligodendrocyte precursor cells,ENSG00000134853,0.83716435554388
Oligodendrocytes,ENSG00000168314,0.9637820896791321
Rhombencephalon GABAergic neurons,ENSG00000079689,0.649514972585407
Rhombencephalon GABAergic neurons,ENSG00000008196,0.649514972585407
Rhombencephalon glutamatergic neurons,ENSG00000086570,0.7365691941516491
Splatter,ENSG00000171551,0.299608551641072
Telencephalon GABAergic neurons,ENSG00000144355,0.6388237800980183
Telencephalon glutamatergic neurons,ENSG00000104888,0.861461952824812
Vascular cells,ENSG00000157554,0.6561155500921942
