clusterName,markerGene,onTarget_per_gene,onTarget
Astrocytes,ENSG00000164089,0.8481428485095114,0.8481428485095114
Choroid plexus epithelial cells,ENSG00000111199,0.9447178092231036,0.9226837181247749
Choroid plexus epithelial cells,ENSG00000187889,0.9006496270264462,0.9226837181247749
Diencephalon GABAergic neurons,ENSG00000036828,0.6326900674022196,0.6326900674022196
Diencephalon glutamatergic neurons,ENSG00000168779,0.6754636738053973,0.6719068894835825
Diencephalon glutamatergic neurons,ENSG00000120903,0.6683501051617676,0.6719068894835825
Ependymal cells,ENSG00000197057,0.9327528675726937,0.9040611600284882
Ependymal cells,ENSG00000198774,0.8753694524842828,0.9040611600284882
Fibroblasts,ENSG00000112936,0.9560770566139547,0.9560770566139547
Mesencephalon GABAergic neurons,ENSG00000164099,0.41752087065259486,0.40089670070620104
Mesencephalon GABAergic neurons,ENSG00000072182,0.3842725307598072,0.40089670070620104
Mesencephalon glutamatergic neurons,ENSG00000008197,0.781003704708869,0.6382785612678417
Mesencephalon glutamatergic neurons,ENSG00000143355,0.49555341782681417,0.6382785612678417
Microglia,ENSG00000168329,0.9537072975870374,0.9537072975870374
Oligodendrocyte precursor cells,ENSG00000134853,0.6329860011025006,0.6329860011025006
Oligodendrocytes,ENSG00000168314,0.8183093236445699,0.8183093236445699
Rhombencephalon GABAergic neurons,ENSG00000079689,0.8268586519864624,0.7627311225663729
Rhombencephalon GABAergic neurons,ENSG00000008196,0.6986035931462834,0.7627311225663729
Rhombencephalon glutamatergic neurons,ENSG00000086570,0.7954802976194743,0.7954802976194743
Splatter,ENSG00000171551,0.3979533723426572,0.3979533723426572
Telencephalon GABAergic neurons,ENSG00000144355,0.6341332600591395,0.6341332600591395
Telencephalon glutamatergic neurons,ENSG00000104888,0.5245716882177169,0.5245716882177169
Vascular cells,ENSG00000157554,0.9115719215417193,0.9115719215417193
