clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Astrocytes,18903,0.8852249185173455,0.9435302390998593,0.7097815161614559,180294,803,5486,13417,1,['ENSG00000164089'],"['ENSG00000164089', 'ENSG00000041982', 'ENSG00000141469', 'ENSG00000182902', 'ENSG00000124145', 'ENSG00000068078', 'ENSG00000171885', 'ENSG00000131095', 'ENSG00000136160', 'ENSG00000106571', 'ENSG00000165092', 'ENSG00000100427', 'ENSG00000172987', 'ENSG00000124440', 'ENSG00000152661', 'ENSG00000182175', 'ENSG00000101680', 'ENSG00000135063', 'ENSG00000164188', 'ENSG00000130203', 'ENSG00000111783', 'ENSG00000172201', 'ENSG00000117525', 'ENSG00000080573', 'ENSG00000149090', 'ENSG00000138696', 'ENSG00000115380', 'ENSG00000080493', 'ENSG00000110436', 'ENSG00000144749', 'ENSG00000127249', 'ENSG00000139155', 'ENSG00000135540', 'ENSG00000174776', 'ENSG00000018625', 'ENSG00000101542', 'ENSG00000143603', 'ENSG00000114790', 'ENSG00000151012', 'ENSG00000144040', 'ENSG00000179399', 'ENSG00000185942', 'ENSG00000078295', 'ENSG00000079215', 'ENSG00000168710', 'ENSG00000164199', 'ENSG00000107249', 'ENSG00000198838', 'ENSG00000148660', 'ENSG00000106278']",0.8481428485095114
Choroid plexus epithelial cells,864,0.8877434135166093,0.943683409436834,0.7175925925925926,199099,37,244,620,2,"['ENSG00000111199', 'ENSG00000187889']","['ENSG00000111319', 'ENSG00000111199', 'ENSG00000105641', 'ENSG00000130957', 'ENSG00000187889', 'ENSG00000162761', 'ENSG00000198691', 'ENSG00000133116', 'ENSG00000164707', 'ENSG00000197506', 'ENSG00000188039', 'ENSG00000159212', 'ENSG00000113494', 'ENSG00000148482', 'ENSG00000104332', 'ENSG00000163694', 'ENSG00000146411', 'ENSG00000112297', 'ENSG00000118271', 'ENSG00000169071', 'ENSG00000137573', 'ENSG00000164142', 'ENSG00000152779', 'ENSG00000104044', 'ENSG00000277639', 'ENSG00000140090', 'ENSG00000165309', 'ENSG00000107099', 'ENSG00000147246', 'ENSG00000105877', 'ENSG00000136960', 'ENSG00000172164', 'ENSG00000184500', 'ENSG00000155761', 'ENSG00000188596', 'ENSG00000204131', 'ENSG00000112394', 'ENSG00000171724', 'ENSG00000179603', 'ENSG00000107242', 'ENSG00000101935', 'ENSG00000250305', 'ENSG00000111249', 'ENSG00000180287', 'ENSG00000083067', 'ENSG00000109686', 'ENSG00000112419', 'ENSG00000121440', 'ENSG00000158467', 'ENSG00000198648']",0.9226837181247749
Diencephalon GABAergic neurons,6383,0.7036532313014309,0.8459357277882797,0.42064859783800723,193128,489,3698,2685,1,['ENSG00000036828'],"['ENSG00000036828', 'ENSG00000197587', 'ENSG00000168875', 'ENSG00000071909', 'ENSG00000213578', 'ENSG00000143494', 'ENSG00000205279', 'ENSG00000107485', 'ENSG00000016082', 'ENSG00000163273', 'ENSG00000183379', 'ENSG00000163710', 'ENSG00000180875', 'ENSG00000165588', 'ENSG00000234965', 'ENSG00000122254', 'ENSG00000171551', 'ENSG00000144596', 'ENSG00000143061', 'ENSG00000169330', 'ENSG00000153820', 'ENSG00000198963', 'ENSG00000157404', 'ENSG00000150556', 'ENSG00000181072', 'ENSG00000144460', 'ENSG00000183570', 'ENSG00000158089', 'ENSG00000136750', 'ENSG00000187123', 'ENSG00000163630', 'ENSG00000157570', 'ENSG00000122012', 'ENSG00000165973', 'ENSG00000070729', 'ENSG00000132164', 'ENSG00000113396', 'ENSG00000196353', 'ENSG00000128683', 'ENSG00000075223', 'ENSG00000120693', 'ENSG00000138829', 'ENSG00000170381', 'ENSG00000185551', 'ENSG00000179008', 'ENSG00000171189', 'ENSG00000164116', 'ENSG00000165061', 'ENSG00000151136', 'ENSG00000171451']",0.6326900674022196
Diencephalon glutamatergic neurons,4037,0.8079464515575389,0.9889705882352942,0.4664354718850632,195942,21,2154,1883,2,"['ENSG00000168779', 'ENSG00000120903']","['ENSG00000118729', 'ENSG00000168779', 'ENSG00000120903', 'ENSG00000106341', 'ENSG00000215045', 'ENSG00000186684', 'ENSG00000143333', 'ENSG00000132031', 'ENSG00000163377', 'ENSG00000147647', 'ENSG00000164093', 'ENSG00000148680', 'ENSG00000100362', 'ENSG00000144550', 'ENSG00000178773', 'ENSG00000070159', 'ENSG00000151577', 'ENSG00000143355', 'ENSG00000173218', 'ENSG00000108950', 'ENSG00000138944', 'ENSG00000091664', 'ENSG00000072952', 'ENSG00000171956', 'ENSG00000148488', 'ENSG00000165072', 'ENSG00000206190', 'ENSG00000053108', 'ENSG00000162631', 'ENSG00000138741', 'ENSG00000138759', 'ENSG00000183036', 'ENSG00000081052', 'ENSG00000027075', 'ENSG00000182348', 'ENSG00000167306', 'ENSG00000187720', 'ENSG00000165959', 'ENSG00000153179', 'ENSG00000187416', 'ENSG00000129682', 'ENSG00000196353', 'ENSG00000169031', 'ENSG00000122966', 'ENSG00000168952', 'ENSG00000153721', 'ENSG00000140015', 'ENSG00000149972', 'ENSG00000163513', 'ENSG00000187147']",0.6719068894835825
Ependymal cells,652,0.8537735849056604,0.9863760217983651,0.5552147239263804,199343,5,290,362,2,"['ENSG00000197057', 'ENSG00000198774']","['ENSG00000133115', 'ENSG00000226690', 'ENSG00000197057', 'ENSG00000186973', 'ENSG00000198774', 'ENSG00000158486', 'ENSG00000186710', 'ENSG00000160401', 'ENSG00000224383', 'ENSG00000152936', 'ENSG00000137473', 'ENSG00000145491', 'ENSG00000176601', 'ENSG00000167858', 'ENSG00000226321', 'ENSG00000118492', 'ENSG00000105519', 'ENSG00000166596', 'ENSG00000182329', 'ENSG00000034239', 'ENSG00000139865', 'ENSG00000112539', 'ENSG00000174844', 'ENSG00000160188', 'ENSG00000273540', 'ENSG00000165309', 'ENSG00000197826', 'ENSG00000165164', 'ENSG00000007174', 'ENSG00000169064', 'ENSG00000154099', 'ENSG00000155761', 'ENSG00000162814', 'ENSG00000105877', 'ENSG00000122735', 'ENSG00000133640', 'ENSG00000170959', 'ENSG00000188596', 'ENSG00000157423', 'ENSG00000197748', 'ENSG00000152760', 'ENSG00000206530', 'ENSG00000165084', 'ENSG00000156042', 'ENSG00000118997', 'ENSG00000115423', 'ENSG00000152582', 'ENSG00000168038', 'ENSG00000186952', 'ENSG00000144451']",0.9040611600284882
Fibroblasts,1162,0.7268656716417911,0.8903107861060329,0.41910499139414803,198778,60,675,487,1,['ENSG00000112936'],"['ENSG00000116824', 'ENSG00000122176', 'ENSG00000112936', 'ENSG00000205221', 'ENSG00000166482', 'ENSG00000129009', 'ENSG00000094963', 'ENSG00000163359', 'ENSG00000168542', 'ENSG00000112837', 'ENSG00000204291', 'ENSG00000138061', 'ENSG00000112175', 'ENSG00000163520', 'ENSG00000164692', 'ENSG00000106809', 'ENSG00000050555', 'ENSG00000011465', 'ENSG00000188783', 'ENSG00000163817', 'ENSG00000101230', 'ENSG00000115641', 'ENSG00000010379', 'ENSG00000168229', 'ENSG00000103888', 'ENSG00000119686', 'ENSG00000141338', 'ENSG00000142173', 'ENSG00000123243', 'ENSG00000196569', 'ENSG00000141293', 'ENSG00000158270', 'ENSG00000077942', 'ENSG00000189058', 'ENSG00000069702', 'ENSG00000154258', 'ENSG00000127863', 'ENSG00000122870', 'ENSG00000137831', 'ENSG00000082482', 'ENSG00000151012', 'ENSG00000197321', 'ENSG00000137962', 'ENSG00000187147', 'ENSG00000175745', 'ENSG00000154263', 'ENSG00000154262', 'ENSG00000105894', 'ENSG00000144642', 'ENSG00000181234']",0.9560770566139547
Mesencephalon GABAergic neurons,271,0.28710725893824485,0.32515337423312884,0.19557195571955718,199619,110,218,53,2,"['ENSG00000164099', 'ENSG00000072182']","['ENSG00000197587', 'ENSG00000168875', 'ENSG00000107485', 'ENSG00000164099', 'ENSG00000072182', 'ENSG00000166407', 'ENSG00000234965', 'ENSG00000017427', 'ENSG00000180875', 'ENSG00000165588', 'ENSG00000176887', 'ENSG00000124766', 'ENSG00000150556', 'ENSG00000121905', 'ENSG00000075223', 'ENSG00000198963', 'ENSG00000132821', 'ENSG00000157404', 'ENSG00000158089', 'ENSG00000168546', 'ENSG00000163630', 'ENSG00000153820', 'ENSG00000181072', 'ENSG00000154146', 'ENSG00000144460', 'ENSG00000120437', 'ENSG00000185551', 'ENSG00000136750', 'ENSG00000171189', 'ENSG00000143387', 'ENSG00000128683', 'ENSG00000165023', 'ENSG00000165061', 'ENSG00000189056', 'ENSG00000162188', 'ENSG00000124225', 'ENSG00000164161', 'ENSG00000196090', 'ENSG00000160097', 'ENSG00000134202', 'ENSG00000112972', 'ENSG00000144771', 'ENSG00000165973', 'ENSG00000198729', 'ENSG00000137766', 'ENSG00000124140', 'ENSG00000117632', 'ENSG00000134138', 'ENSG00000244694', 'ENSG00000052802']",0.40089670070620104
Mesencephalon glutamatergic neurons,2366,0.3710015731515469,0.7817679558011049,0.11961115807269654,197555,79,2083,283,2,"['ENSG00000008197', 'ENSG00000143355']","['ENSG00000152192', 'ENSG00000008197', 'ENSG00000115665', 'ENSG00000185960', 'ENSG00000136944', 'ENSG00000143355', 'ENSG00000221818', 'ENSG00000108001', 'ENSG00000116014', 'ENSG00000168779', 'ENSG00000008196', 'ENSG00000091664', 'ENSG00000141433', 'ENSG00000165553', 'ENSG00000138207', 'ENSG00000187634', 'ENSG00000139211', 'ENSG00000006128', 'ENSG00000104327', 'ENSG00000172137', 'ENSG00000150361', 'ENSG00000141668', 'ENSG00000136546', 'ENSG00000145451', 'ENSG00000164483', 'ENSG00000087085', 'ENSG00000125355', 'ENSG00000173805', 'ENSG00000166960', 'ENSG00000145888', 'ENSG00000148488', 'ENSG00000173267', 'ENSG00000124785', 'ENSG00000242265', 'ENSG00000221946', 'ENSG00000173452', 'ENSG00000104722', 'ENSG00000184515', 'ENSG00000108830', 'ENSG00000177432', 'ENSG00000101958', 'ENSG00000277586', 'ENSG00000187094', 'ENSG00000153012', 'ENSG00000204071', 'ENSG00000182674', 'ENSG00000139292', 'ENSG00000129990', 'ENSG00000112149', 'ENSG00000168824']",0.6382785612678417
Microglia,9669,0.9106344950848972,0.9673176023867643,0.7377184817457855,190090,241,2536,7133,1,['ENSG00000168329'],"['ENSG00000173391', 'ENSG00000168329', 'ENSG00000114013', 'ENSG00000125730', 'ENSG00000112799', 'ENSG00000148908', 'ENSG00000165025', 'ENSG00000182578', 'ENSG00000077420', 'ENSG00000204287', 'ENSG00000155307', 'ENSG00000165168', 'ENSG00000169313', 'ENSG00000082074', 'ENSG00000059377', 'ENSG00000198223', 'ENSG00000185811', 'ENSG00000019582', 'ENSG00000128815', 'ENSG00000042980', 'ENSG00000095585', 'ENSG00000168918', 'ENSG00000075884', 'ENSG00000159216', 'ENSG00000139679', 'ENSG00000134516', 'ENSG00000136250', 'ENSG00000137491', 'ENSG00000104043', 'ENSG00000081237', 'ENSG00000107099', 'ENSG00000106034', 'ENSG00000151702', 'ENSG00000107719', 'ENSG00000125257', 'ENSG00000073849', 'ENSG00000273749', 'ENSG00000196369', 'ENSG00000074706', 'ENSG00000101463', 'ENSG00000148655', 'ENSG00000138639', 'ENSG00000137642', 'ENSG00000081189', 'ENSG00000266028', 'ENSG00000198879', 'ENSG00000123104', 'ENSG00000065413', 'ENSG00000068305', 'ENSG00000120594']",0.9537072975870374
Oligodendrocyte precursor cells,12697,0.83716435554388,0.8791999211745,0.7027644325431204,186077,1226,3774,8923,1,['ENSG00000134853'],"['ENSG00000144230', 'ENSG00000101203', 'ENSG00000204099', 'ENSG00000205927', 'ENSG00000101311', 'ENSG00000134853', 'ENSG00000173546', 'ENSG00000184221', 'ENSG00000064270', 'ENSG00000131094', 'ENSG00000064787', 'ENSG00000038427', 'ENSG00000157890', 'ENSG00000132692', 'ENSG00000064989', 'ENSG00000112280', 'ENSG00000198732', 'ENSG00000169302', 'ENSG00000139289', 'ENSG00000169129', 'ENSG00000196132', 'ENSG00000075461', 'ENSG00000196562', 'ENSG00000116132', 'ENSG00000116147', 'ENSG00000148123', 'ENSG00000189058', 'ENSG00000060718', 'ENSG00000110693', 'ENSG00000187416', 'ENSG00000106278', 'ENSG00000112902', 'ENSG00000187398', 'ENSG00000122584', 'ENSG00000151952', 'ENSG00000188906', 'ENSG00000103489', 'ENSG00000072134', 'ENSG00000150275', 'ENSG00000175928', 'ENSG00000156103', 'ENSG00000162670', 'ENSG00000079482', 'ENSG00000187323', 'ENSG00000196376', 'ENSG00000152492', 'ENSG00000181234', 'ENSG00000154975', 'ENSG00000145284', 'ENSG00000171310']",0.6329860011025006
