,0
Astrocytes,116
Choroid plexus epithelial cells,94
Diencephalon GABAergic neurons,71
Diencephalon cholinergic neurons,69
Diencephalon glutamatergic neurons,70
Ependymal cells,205
Mesencephalon GABAergic neurons,75
Mesencephalon cholinergic neurons,80
Mesencephalon glutamatergic neurons,73
Microglia,79
Neuroblasts,122
Olfactory ensheathing cells,69
Oligodendrocyte precursor cells,92
Oligodendrocytes,89
Peptidergic neurons,42
Rhombencephalon GABAergic neurons,93
Rhombencephalon cholinergic neurons,129
Rhombencephalon glutamatergic neurons,74
Telencephalon GABAergic neurons,98
Telencephalon glutamatergic neurons,143
Vascular cells,191
