clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astrocytes,Dbx2,0.09516845032223009,0.81693155,0.9623952180147171
Astrocytes,Nr2e1,0.011189600996536871,0.19779094,0.9366888016462326
Astrocytes,Etv4,0.016156252988093686,0.23169373,0.9254537224769592
Astrocytes,Rfx4,0.03902071747401999,0.38866818,0.9188725769519805
Astrocytes,Prrx1,0.011892831343692626,0.22278064,0.9010757714509964
Astrocytes,Hes5,0.10354597450593978,1.2373883,0.8989568531513215
Astrocytes,Sox9,0.13618340162314865,1.1460408,0.8799205660820008
Astrocytes,Sox21,0.00576023464238711,0.11890854,0.868313193321228
Astrocytes,Heyl,0.0055185080201336405,0.09040404,0.8676067620515824
Astrocytes,Id3,0.08316194838173205,1.705375,0.8557447731494904
Astrocytes,Klf15,0.02912335916317584,0.4377545,0.8462063580751419
Astrocytes,Lhx2,0.01828467567024985,0.37745413,0.836527967453003
Astrocytes,Zcchc24,0.028088535467334228,0.48886102,0.83431156873703
Astrocytes,Sox1,0.014731436697888935,0.27319714,0.8338130325078964
Astrocytes,Id1,0.01034423725123612,0.36590144,0.8307849287986755
Astrocytes,Olig2,0.009492737342436998,0.25998098,0.8281608849763871
Astrocytes,Sox2,0.05075796695980387,0.72010624,0.8280826479196548
Astrocytes,Msx1,0.005961355702475635,0.069744356,0.8116518169641495
Astrocytes,Rorb,0.03072073919160201,0.5688593,0.8077712416648865
Astrocytes,Id2,0.07029926112395829,1.3565462,0.8062533408403396
Astrocytes,Olig1,0.021832867213492452,0.6209861,0.805170527100563
Astrocytes,Irx5,0.00494942921492527,0.09733239,0.8051244139671325
Astrocytes,Hopx,0.0792108435401981,0.9547886,0.7937921911478043
Astrocytes,Sox6,0.010599843867152335,0.25112686,0.785970714688301
Astrocytes,Cdc42ep1,0.005227558424334573,0.15713415,0.7857323199510574
Astrocytes,Nupr1,0.011282158374764702,0.12525776,0.7854625970125199
Astrocytes,Epas1,0.019204158125622758,0.56708956,0.7838551551103592
Astrocytes,Pax6,0.009049989292383194,0.30136326,0.7816155761480331
Astrocytes,Alx3,0.004278921346255601,0.0041285157,0.7769323885440826
Astrocytes,Sox8,0.012419662227482583,0.4030308,0.7661543279886246
Choroid plexus epithelial cells,Lmx1a,0.023248258850143005,0.16319945,0.9793823897838593
Choroid plexus epithelial cells,Msx1,0.1337892161393055,1.7390113,0.9656948387622833
Choroid plexus epithelial cells,Otx2,0.10655388353391308,1.3562346,0.9526938110589981
Choroid plexus epithelial cells,Mitf,0.04004880452144305,0.576351,0.9477576851844788
Choroid plexus epithelial cells,Tcea3,0.013419983824822797,0.24978928,0.9294233977794647
Choroid plexus epithelial cells,Cab39l,0.1588735504544826,1.8155214,0.9233859956264496
Choroid plexus epithelial cells,Mlf1,0.03000429766766588,0.4784529,0.9221144020557404
Choroid plexus epithelial cells,Foxj1,0.02456522527058184,0.45261395,0.9130266070365906
Choroid plexus epithelial cells,Plagl1,0.02336272146549569,0.494921,0.9099623620510101
Choroid plexus epithelial cells,Iqub,0.012855933124617126,0.25837216,0.9084354609251022
Choroid plexus epithelial cells,Zmynd10,0.008098440826281583,0.14417909,0.8905156850814819
Choroid plexus epithelial cells,Sox9,0.03277286666765134,1.3366563,0.889914333820343
Choroid plexus epithelial cells,Maf,0.04199470785768,0.8951253,0.8887146800756455
