,0
Astrocytes,1048
Choroid plexus epithelial cells,1208
Diencephalon GABAergic neurons,589
Diencephalon cholinergic neurons,861
Diencephalon glutamatergic neurons,830
Ependymal cells,2199
Immune cells,996
Mesencephalon GABAergic neurons,571
Mesencephalon cholinergic neurons,612
Mesencephalon glutamatergic neurons,586
Microglia,980
Neuroblasts,696
Olfactory ensheathing cells,803
Oligodendrocyte precursor cells,719
Oligodendrocytes,999
Peptidergic neurons,355
Rhombencephalon GABAergic neurons,494
Rhombencephalon cholinergic neurons,1045
Rhombencephalon glutamatergic neurons,489
Telencephalon GABAergic neurons,1007
Telencephalon glutamatergic neurons,1454
Vascular cells,1847
