clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Astrocytes,19092,0.9157128609422492,0.9473070073082356,0.8079300230463021,104407,858,3667,15425,1,['Ntsr2'],"['Cldn10', 'Fgfr3', 'Ntsr2', 'Acsbg1', 'Itih3', 'S1pr1', 'Slc7a10', 'Btbd17', 'Gfap', 'Tril', 'Slc6a11', 'Htra1', 'Aqp4', 'Plpp3', 'Slc25a18', 'Mlc1', 'Fam107a', 'F3', 'Gja1', 'Pla2g7', 'Lxn', 'Timp4', 'Mfge8', 'Slc4a4', 'Gpr37l1', 'Slc1a3', 'Tst', 'Bcan', 'Mt2', 'Slc1a2', 'Atp1a2', 'Sox9', 'Nkain4', 'Ednrb', 'Fabp7', 'Aldoc', 'Mmd2', 'Acsl6', 'Gstm1', 'Ptprz1', 'Atp1b2', 'Sparcl1', 'Clu', 'Ndrg2', 'Enho', 'Fbxo2', 'Mt1', 'Ttyh1', 'Prdx6', 'Scg3']",0.67093587
Choroid plexus epithelial cells,413,0.9181761399125546,0.98989898989899,0.711864406779661,123941,3,119,294,2,"['Kcne2', 'Slc4a5']","['Defb11', 'Kcne2', 'Slc4a5', 'Prr32', 'Ins2', 'Slc16a8', 'Cldn2', 'Cldn1', 'Tc2n', 'Kcnj13', 'Tmem72', 'Kl', 'Ttr', 'Sostdc1', 'Clic6', 'Col8a1', 'Folr1', 'Abca4', 'Slc13a4', 'Car12', 'Zfp185', 'Rbm47', 'Igf2', 'Smim22', 'Aqp1', 'Trpm3', 'Prlr', 'Wfdc2', 'Sulf1', 'Krt18', 'Ace', 'Msx1', 'Rbp1', 'Strip2', 'Calml4', 'Col8a2', 'Otx2', 'Igfbp2', 'Col9a3', 'Enpp2', 'Lbp', 'Slc16a2', 'Htr2c', 'Slc4a2', 'Ppp1r1b', 'Cab39l', 'Fxyd1', 'Slc31a1', 'Slc4a10', 'Spint2']",0.9884875
Diencephalon GABAergic neurons,1772,0.3860640301318267,0.529886914378029,0.18510158013544017,122294,291,1444,328,1,['Lhx8'],"['Six6', 'Nms', 'Lhx8', 'Lhx6', 'Gbx1', 'Avp', 'Nkx2-1', 'Nts', 'Ppp1r17', 'Tal1', 'Pax5', 'Six3', 'Otp', 'Gata3', 'Lhx5', 'Ecel1', 'Pgr15l', 'Oxt', 'Gpr139', 'Gabre', 'Isl1', 'Dlk1', 'Rgs16', 'Amn', 'Dlx6', 'Lhx1', 'Ccer2', 'Chodl', 'Irs4', 'Asb4', 'Trh', 'Pnoc', 'Slc32a1', 'Slc10a4', 'Arhgap36', 'Tacr1', 'Gpr101', 'Npy2r', 'Sst', 'Gad2', 'Dgkk', 'Zim1', 'Npas1', 'Smim17', 'Emx2', 'Dlx1', 'Dlx2', 'Gad1', 'AW551984', 'Arx']",0.1478971
Diencephalon cholinergic neurons,117,0.7728119180633147,0.7904761904761904,0.7094017094017094,124218,22,34,83,3,"['Ntrk1', 'Ngfr', 'Lhx8']","['Ntrk1', 'Cd79a', 'Ngfr', 'Lhx8', 'Insrr', 'Nkx2-1', 'Slc18a3', 'Chat', 'Tnfaip8l3', 'Ecel1', 'Slc5a7', 'Sln', 'Isl1', 'Tacr1', 'Ntsr1', 'Tacr3', 'Tpbgl', 'Six3', 'Dapl1', 'Slc10a4', 'Cox6a2', 'Sv2c', 'Doc2b', 'Adgrf5', 'Rasd2', 'Rab3b', 'Dgkk', 'Kctd6', 'Slc7a14', 'Megf11', 'Pld5', 'Pde1a', 'Slc25a1', 'Fgf1', 'Sphkap', 'Rimbp2', 'S100a10', 'Acly', 'Fkbp1b', 'Cacng5', 'Hspb8', 'Cdh13', 'Myrip', 'Diras2', 'Zic1', 'Ddah1', 'Cdkn1a', 'Vat1', 'Rcn1', 'Rcan2']",0.86489767
Diencephalon glutamatergic neurons,2378,0.7204585537918872,0.9927095990279465,0.3435660218671152,121973,6,1561,817,2,"['Synpo2', 'Ptpn3']","['Slitrk6', 'Gbx2', 'Snx31', 'Synpo2', 'Ptpn3', 'Cfap221', 'Ramp3', 'Prkch', 'Shox2', 'Rgs16', 'Lhx9', 'Tcf7l2', 'Vav3', 'Slc17a6', 'Necab1', 'Kitl', 'Rasd1', 'Plekhg1', 'Gabra4', 'Ntng1', 'Prkcd', 'Zmat4', 'Pdp1', 'Ptpn4', 'Lrtm2', 'Rtn4rl1', 'Foxp2', 'Cck', 'Cpne7', 'Ildr2', 'Clmn', 'Nrn1', 'Ccdc136', 'Rora', 'Gabbr2', 'Kcnc2', 'Calb2', 'Syt9', 'Amotl1', 'Adgra1', 'Syt7', 'Cdkl5', 'Gng8', 'Adarb1', 'Zic1', 'Tenm1', 'Igfbp5', 'Rab3c', 'Rims3', 'Timp3']",0.6004154
Ependymal cells,805,0.9292438505921652,0.9839228295819936,0.760248447204969,123542,10,193,612,2,"['Tmem212', 'Ccdc153']","['Sntn', 'Prr29', 'Tmem212', 'Crocc2', 'Ccdc153', 'Fam216b', 'Krt15', 'Lrrc36', 'Spag17', 'Dnah12', 'Stoml3', 'Fam166b', 'Ccdc180', 'Ak7', 'Cdhr3', 'Iqca', 'Mb', 'Gm867', 'Spp2', 'Hydin', 'Cfap77', 'Cfap161', 'Mapk15', 'Dnali1', 'Nuf2', '2410004P03Rik', '1700012B09Rik', 'Dmkn', 'Sspo', 'Hdc', 'Dnah6', '1700016K19Rik', 'Enkur', 'Dynlrb2', 'Cfap126', 'Rsph4a', 'Riiad1', 'Foxj1', 'Pifo', 'Meig1', 'Mns1', 'Mlf1', 'Fam183b', '1110017D15Rik', 'Tm4sf1', 'Rsph1', 'Calml4', 'Tmem107', '4933434E20Rik', 'Dbi']",0.98889244
Immune cells,1803,0.9758251462633845,0.9746416758544653,0.9805879090404881,122508,46,35,1768,1,['Pf4'],"['Cd209g', 'Clec4n', 'Cd209f', 'Mrc1', 'Cbr2', 'Pf4', 'Clec4a1', 'Ms4a7', 'Cybb', 'Wfdc17', 'Cd163', 'Ccl24', 'F13a1', 'Ifi202b', 'Clec10a', 'Mgl2', 'Ccl7', 'Lyve1', 'Ms4a6c', 'Lyz2', 'Folr2', 'Fcgr2b', 'Tslp', 'C5ar1', 'Ms4a6b', 'Stab1', 'Gmfg', 'Ccl12', 'Smagp', 'Ptpn18', 'Cfp', 'Hpgd', 'Dab2', 'Fcer1g', 'Fcgr3', 'Tyrobp', 'Lgals1', 'Ctsc', 'C1qc', 'Ltc4s', 'C1qb', 'C1qa', 'Ctss', 'Blvrb', 'Cyba', 'P2ry12', 'Ifitm2', 'Selplg', 'Apoe', 'Gas6']",0.9879075
Mesencephalon GABAergic neurons,2370,0.6114825009830909,0.9160530191458026,0.26244725738396624,121930,57,1748,622,1,['Sox14'],"['Gabrr2', 'Sox14', 'Cplx3', 'Cdhr1', 'Pax7', 'Chrna6', 'Chrnb3', 'Tal1', 'Pla2g5', 'Lhx5', 'Otx2', 'Lmo1', 'Lhx1', 'Gata3', 'Rpp25', 'Chrna3', 'Asic4', 'C1ql2', 'Reln', 'Lypd6b', 'Lypd6', 'Gfra2', 'Syt2', 'Kcnab3', 'Zmat4', 'Fgf11', 'Pdzd2', 'Gad1', 'Steap2', 'Slc32a1', 'Shox2', 'Cacna1i', 'Foxp2', 'Pvalb', 'Epha10', 'Col25a1', 'Amn', 'Cbln4', 'Chrm2', 'Gad2', 'Cxcl14', 'Cpne9', 'Rgs8', 'Igsf3', 'Vstm2b', 'Igsf21', 'Vamp1', 'Cabp7', 'Nos1ap', 'Pcbp3']",0.8705546
Mesencephalon cholinergic neurons,303,0.3263157894736842,0.7209302325581395,0.10231023102310231,124042,12,272,31,1,['Slc6a3'],"['Ucn3', 'Slc6a3', 'Hcrt', 'Ucn', 'Fev', 'Slc6a4', 'Tph2', 'En1', 'Sim1', 'Slc18a2', 'Otp', 'Pmch', 'Oxt', 'Ddc', 'Trh', 'Th', 'Dlk1', 'Gch1', 'Asb4', 'Pgr15l', 'Gchfr', 'Gabre', 'Slc10a4', 'Arhgap36', 'Avp', 'Nxph4', 'Irs4', 'Gabrq', 'Pdyn', 'AW551984', 'Cartpt', 'Peg10', 'Dgkk', 'Ret', 'Ngb', 'Tmem255a', 'Cbln1', 'Baiap3', 'Scn9a', 'Sncg', 'Glra1', 'Cpne7', 'Oprk1', 'Nwd2', 'Celf6', 'Vat1', 'Tox2', 'Ebf1', 'Adra1b', 'Sv2c']",0.7451366
Mesencephalon glutamatergic neurons,3006,0.44246239944036375,0.7463126843657817,0.16833000665335995,121179,172,2500,506,1,['Barhl1'],"['Barhl1', 'Pou4f2', 'Tfap2d', 'Prdm12', 'Lhx9', 'Ankrd63', 'Mab21l1', 'Shox2', 'Pou4f1', 'Sst', 'Ndst4', 'Nrgn', 'Scn5a', 'Tcf7l2', 'Sema3f', 'En1', 'C130074G19Rik', 'Prdm16', 'Slc17a6', 'Hs3st2', 'Ebf2', 'Arhgap6', 'Tekt5', 'Adcyap1', 'Trpc4', 'Nxph4', 'Cbln2', 'Kcnip2', 'Isl1', 'Itpka', 'Plk5', 'Amn', 'Ngb', 'Dlx6', 'Slc16a11', 'Nrn1', 'Aldh3b2', 'Rprml', 'Nts', 'Nptx2', 'Gpr26', 'Cntn5', 'Icam5', 'Ano1', 'Dgkg', 'Ebf3', 'Npffr1', 'Tcerg1l', 'Tac1', 'Tmem91']",0.71066713
