clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astrocytes,Cldn10,0.014728788063542032,1.6140983,0.9866719756807599
Astrocytes,Fgfr3,0.020052850520792587,1.7440099,0.9820579290390015
Astrocytes,Ntsr2,0.03577068696384679,2.5702426,0.976645032564799
Astrocytes,Acsbg1,0.015558777562910913,1.6318953,0.9757580416543143
Astrocytes,Itih3,0.006783459336846891,1.0030645,0.9746787888663155
Astrocytes,S1pr1,0.008314294676230197,1.257179,0.9722109408605666
Astrocytes,Slc7a10,0.011681735027464725,1.3794742,0.9684173266092936
Astrocytes,Btbd17,0.0068443408658793,1.2703295,0.965849586895534
Astrocytes,Gfap,0.004690922563861547,1.1034819,0.9625542504446847
Astrocytes,Tril,0.011525305905626037,1.6518371,0.9602447663034711
Astrocytes,Slc6a11,0.031711205677229286,2.6422567,0.9571078050704229
Astrocytes,Htra1,0.020111394678532516,2.1830957,0.9565053468658811
Astrocytes,Aqp4,0.02859015218082262,2.1726313,0.9530297943523952
Astrocytes,Plpp3,0.04618502524176248,2.841184,0.9447016176723299
Astrocytes,Slc25a18,0.0075380044901140406,1.1153045,0.9434501613889422
Astrocytes,Mlc1,0.018827005962006732,1.7511288,0.9405125805309841
Astrocytes,Fam107a,0.008340907422163668,1.1826313,0.9402856287502107
Astrocytes,F3,0.004456856285004303,1.1427097,0.9330962413833255
Astrocytes,Gja1,0.025219764421932675,2.4193902,0.9293160693986076
Astrocytes,Pla2g7,0.018575664507808086,1.9827337,0.9287270137241909
Astrocytes,Lxn,0.004579716612563095,1.1166036,0.9268285688899812
Astrocytes,Timp4,0.00560295138282539,1.2584972,0.9256670985903058
Astrocytes,Mfge8,0.008165938808686417,1.7726072,0.9253929825056166
Astrocytes,Slc4a4,0.015844565921158276,2.1735237,0.9242584705352783
Astrocytes,Gpr37l1,0.03163772286749709,2.6561306,0.9228253478095645
Astrocytes,Slc1a3,0.02343641838811766,2.6109598,0.9207035359882173
Astrocytes,Tst,0.004517414833605344,1.1294146,0.9184957458859399
Astrocytes,Bcan,0.021038479867647765,2.4269562,0.9148444334665934
Astrocytes,Mt2,0.031073617589577458,3.1985714,0.8962199773107257
Astrocytes,Slc1a2,0.04267676674160862,3.7805846,0.8918276315643674
Astrocytes,Atp1a2,0.03373305406793633,4.2258635,0.8888960764521644
Astrocytes,Sox9,0.006082241565093499,1.1460408,0.8853792690095448
Astrocytes,Nkain4,0.005961926918622849,1.247119,0.882765531539917
Astrocytes,Ednrb,0.004019580500404719,0.99575585,0.8738058578400385
Astrocytes,Fabp7,0.009942450044691827,2.111363,0.8675250013669332
Astrocytes,Aldoc,0.05582432740834561,3.8985627,0.8569032833689735
Astrocytes,Mmd2,0.010669641729752334,2.217048,0.8566707571347555
Astrocytes,Acsl6,0.005214968267258647,1.2836198,0.8490821634020124
Astrocytes,Gstm1,0.005173572211779412,1.5184468,0.8463496480669294
Astrocytes,Ptprz1,0.013879545613796755,2.1165938,0.8387204295112973
Astrocytes,Atp1b2,0.021008804039080335,2.967151,0.8259630061331249
Astrocytes,Sparcl1,0.02521151888679846,3.722301,0.8246299965041024
Astrocytes,Clu,0.040254244130331136,3.0982068,0.8245919119744074
Astrocytes,Ndrg2,0.021907662087308377,2.6677115,0.8182603319485983
Astrocytes,Enho,0.009732828072402498,1.7242746,0.8112301088514782
Astrocytes,Fbxo2,0.004406724383793875,1.1632824,0.7993404127302624
Astrocytes,Mt1,0.04428877206213553,4.6690593,0.7989030792599633
Astrocytes,Ttyh1,0.011181633532332457,2.5170412,0.7954396406809489
Astrocytes,Prdx6,0.014741142747078688,2.396123,0.7891644551640465
Astrocytes,Scg3,0.0061819608815144285,1.693477,0.7667902083623976
Choroid plexus epithelial cells,Defb11,0.006678277821238128,0.2992993,0.9998400126184736
Choroid plexus epithelial cells,Kcne2,0.04312670275052705,1.5125893,0.9995087385177612
Choroid plexus epithelial cells,Slc4a5,0.047442646498554716,1.7406427,0.999381905510312
Choroid plexus epithelial cells,Prr32,0.016433374531819304,0.6526399,0.9992990437008086
Choroid plexus epithelial cells,Ins2,0.009780215892016013,0.4831731,0.998804197424934
Choroid plexus epithelial cells,Slc16a8,0.015583345925355152,0.6735642,0.9983029848053342
Choroid plexus epithelial cells,Cldn2,0.021210077041863968,1.2357407,0.997487295241583
Choroid plexus epithelial cells,Cldn1,0.01007049303052927,0.82774895,0.9966567272231692
Choroid plexus epithelial cells,Tc2n,0.00494206896892808,0.36020535,0.9965539886837914
Choroid plexus epithelial cells,Kcnj13,0.01989945915600246,1.4474264,0.9965404953275409
Choroid plexus epithelial cells,Tmem72,0.045037202271444685,1.6343468,0.9960851413863046
Choroid plexus epithelial cells,Kl,0.03161466277013929,2.3012161,0.9950399824551174
Choroid plexus epithelial cells,Ttr,0.07666100593585433,7.239652,0.9941305660066151
Choroid plexus epithelial cells,Sostdc1,0.0527438063131798,2.9971743,0.9931365365073794
Choroid plexus epithelial cells,Clic6,0.0332566244566518,2.595248,0.9927010706492833
Choroid plexus epithelial cells,Col8a1,0.011707795107967621,1.3381613,0.9925272039004734
Choroid plexus epithelial cells,Folr1,0.04841330850077465,2.4447734,0.9913768172264099
Choroid plexus epithelial cells,Abca4,0.004649401393406431,0.6822393,0.9906760170346215
Choroid plexus epithelial cells,Slc13a4,0.005891207450408085,1.0429366,0.989014310496194
Choroid plexus epithelial cells,Car12,0.014096886783559975,1.8142527,0.9880290627479553
Choroid plexus epithelial cells,Zfp185,0.005181354695749735,0.68699014,0.9861335527329218
Choroid plexus epithelial cells,Rbm47,0.005508602965405308,0.7752969,0.9849651910009838
Choroid plexus epithelial cells,Igf2,0.006827883917188054,1.8762764,0.9833843679655165
Choroid plexus epithelial cells,Smim22,0.0066852596165022345,0.7697977,0.9809921497390384
Choroid plexus epithelial cells,Aqp1,0.014331928878565398,1.3905509,0.9792235380127317
Choroid plexus epithelial cells,Trpm3,0.008396478698859011,1.7413236,0.9786807923089891
Choroid plexus epithelial cells,Prlr,0.026603899472273297,2.145503,0.9750949740409851
Choroid plexus epithelial cells,Wfdc2,0.006270287283606635,0.61147213,0.9750674792698452
Choroid plexus epithelial cells,Sulf1,0.003909782845066287,1.2123122,0.9744289205187843
Choroid plexus epithelial cells,Krt18,0.00430169640935514,0.5753182,0.9717506085123334
Choroid plexus epithelial cells,Ace,0.007132011564695584,1.0918764,0.9709831674893697
Choroid plexus epithelial cells,Msx1,0.005955617848649813,1.7390113,0.9672710810388837
