clusterName,markerGene,onTarget_per_gene,onTarget
Astrocytes,MSTRG.17441,0.6079521960967118,0.5095055905135012
Astrocytes,MSTRG.1257,0.4110589849302905,0.5095055905135012
Choroid plexus epithelial cells,MSTRG.5614,0.6442207229128422,0.5236648602853119
Choroid plexus epithelial cells,MSTRG.16469,0.4634533737108558,0.5236648602853119
Choroid plexus epithelial cells,MSTRG.7966,0.4633204842322377,0.5236648602853119
Diencephalon GABAergic neurons,MSTRG.8326,0.4230389022473042,0.39328194216693924
Diencephalon GABAergic neurons,MSTRG.6108,0.3635249820865742,0.39328194216693924
Diencephalon glutamatergic neurons,MSTRG.1729,0.6972359077130545,0.6972359077130545
Dopaminergic neurons,PMZ_0031350,0.4471410875235352,0.4471410875235352
Ependymal cells,MSTRG.7966,0.29238725833965934,0.29238725833965934
Erythrocytes,MSTRG.12397,0.7874078099716613,0.7874078099716613
Fibroblasts,MSTRG.12974,0.8704493999105948,0.8704493999105948
Mesencephalon GABAergic neurons,MSTRG.7811,0.5672587926090701,0.5672587926090701
Mesencephalon glutamatergic neurons,MSTRG.322,0.811283771277232,0.811283771277232
Microglia,MSTRG.15297,0.8520999171975657,0.8520999171975657
Peptidergic neurons,MSTRG.18138,0.1092897167195839,0.1894508723676746
Peptidergic neurons,MSTRG.9404,0.26961202801576534,0.1894508723676746
Photoreceptor cells,MSTRG.10968,0.9778567709871054,0.8324087665143287
Photoreceptor cells,MSTRG.9785,0.686960762041552,0.8324087665143287
Rhombencephalon GABAergic neurons,MSTRG.1871,0.8659870046786198,0.8226475945906528
Rhombencephalon GABAergic neurons,MSTRG.1874,0.7793081845026859,0.8226475945906528
Telencephalon GABAergic neurons,MSTRG.17344,0.8706498744919413,0.81268271803665
Telencephalon GABAergic neurons,MSTRG.18138,0.7547155615813587,0.81268271803665
Telencephalon glutamatergic neurons,MSTRG.6042,0.8919060811403504,0.8919060811403504
Vascular cells,MSTRG.11881,0.9919451144879167,0.9919451144879167
