clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Astrocytes,6390,0.7446168980216417,0.9153510245213302,0.42644757433489827,49249,252,3665,2725,2,"['MSTRG.17441', 'MSTRG.1257']","['MSTRG.17441', 'MSTRG.8373', 'MSTRG.4850', 'MSTRG.1257', 'MSTRG.15764', 'MSTRG.12693', 'MSTRG.2372', 'MSTRG.1648', 'MSTRG.19218', 'MSTRG.11622', 'MSTRG.5196', 'MSTRG.13538', 'MSTRG.3573', 'MSTRG.3884', 'MSTRG.14950', 'MSTRG.14196', 'MSTRG.42', 'MSTRG.13635', 'MSTRG.1893', 'MSTRG.12993', 'MSTRG.9404', 'MSTRG.14583', 'MSTRG.839', 'MSTRG.6121', 'MSTRG.3758', 'MSTRG.6745', 'MSTRG.1268', 'MSTRG.13258', 'MSTRG.15757', 'MSTRG.557']",0.5095055905135012
Choroid plexus epithelial cells,653,0.7670043415340086,0.895774647887324,0.4869831546707504,55201,37,335,318,3,"['MSTRG.5614', 'MSTRG.16469', 'MSTRG.7966']","['MSTRG.13741', 'MSTRG.5614', 'MSTRG.7561', 'MSTRG.19643', 'MSTRG.16469', 'MSTRG.7966', 'MSTRG.12098', 'MSTRG.1340', 'MSTRG.13635', 'MSTRG.11624', 'MSTRG.1878', 'MSTRG.8275', 'MSTRG.11082', 'MSTRG.10682', 'MSTRG.9028', 'MSTRG.1877', 'MSTRG.9221', 'MSTRG.18710', 'MSTRG.1605', 'MSTRG.10254', 'MSTRG.42', 'MSTRG.9235', 'MSTRG.557', 'MSTRG.269', 'MSTRG.14891', 'MSTRG.13538', 'MSTRG.6388', 'MSTRG.13787', 'MSTRG.14730', 'MSTRG.3617']",0.5236648602853119
Diencephalon GABAergic neurons,817,0.6024607551972847,0.7376623376623377,0.34761321909424725,54973,101,533,284,2,"['MSTRG.8326', 'MSTRG.6108']","['PMZ_0020818', 'PMZ_0023077', 'MSTRG.6109', 'MSTRG.8326', 'MSTRG.6108', 'MSTRG.2263', 'MSTRG.14652', 'PMZ_0031130', 'MSTRG.12446', 'MSTRG.3089', 'PMZ_0018776', 'MSTRG.9785', 'MSTRG.9404', 'MSTRG.3697', 'PMZ_0029357', 'MSTRG.15550', 'MSTRG.6637', 'MSTRG.59', 'MSTRG.2966', 'MSTRG.3875', 'MSTRG.10469', 'MSTRG.2696', 'MSTRG.5734', 'MSTRG.12943', 'MSTRG.9221', 'MSTRG.13752', 'MSTRG.19067', 'MSTRG.10939', 'MSTRG.18447', 'MSTRG.6813']",0.39328194216693924
Diencephalon glutamatergic neurons,2386,0.7251720747295969,0.7579650565262076,0.6181894383906119,53034,471,911,1475,1,['MSTRG.1729'],"['MSTRG.8547', 'MSTRG.1729', 'MSTRG.3369', 'MSTRG.3367', 'MSTRG.9812', 'MSTRG.5071', 'MSTRG.9859', 'MSTRG.8384', 'MSTRG.2258', 'MSTRG.4866', 'MSTRG.4080', 'MSTRG.2114', 'MSTRG.10254', 'MSTRG.8398', 'MSTRG.322', 'MSTRG.12098', 'MSTRG.17539', 'MSTRG.5649', 'MSTRG.1814', 'MSTRG.18671', 'MSTRG.11473', 'MSTRG.1595', 'MSTRG.296', 'MSTRG.18710', 'MSTRG.269', 'MSTRG.6029', 'MSTRG.1889', 'MSTRG.1633', 'MSTRG.10864', 'MSTRG.7256']",0.6972359077130545
Dopaminergic neurons,1088,0.2663230240549828,0.4,0.11397058823529412,54617,186,964,124,1,['PMZ_0031350'],"['MSTRG.8161', 'MSTRG.1886', 'PMZ_0028935', 'PMZ_0031350', 'PMZ_0031130', 'PMZ_0018776', 'MSTRG.8326', 'MSTRG.865', 'PMZ_0023077', 'PMZ_0029357', 'MSTRG.19044', 'MSTRG.14787', 'MSTRG.9785', 'MSTRG.6637', 'MSTRG.14950', 'MSTRG.3875', 'PMZ_0013392', 'MSTRG.2263', 'MSTRG.18270', 'MSTRG.15764', 'MSTRG.1889', 'MSTRG.1268', 'MSTRG.8093', 'MSTRG.10813', 'MSTRG.3089', 'MSTRG.8327', 'MSTRG.14461', 'MSTRG.5740', 'MSTRG.6657', 'MSTRG.6109']",0.4471410875235352
Ependymal cells,5049,0.4193391247868799,0.5685195376995047,0.20459496930085166,50058,784,4016,1033,1,['MSTRG.7966'],"['MSTRG.12143', 'MSTRG.17441', 'MSTRG.7561', 'MSTRG.7966', 'MSTRG.5614', 'PMZ_0028848', 'MSTRG.18473', 'MSTRG.3887', 'MSTRG.5196', 'MSTRG.19643', 'MSTRG.1268', 'MSTRG.11624', 'MSTRG.11622', 'MSTRG.8275', 'MSTRG.13635', 'MSTRG.14196', 'MSTRG.557', 'MSTRG.2591', 'MSTRG.13538', 'MSTRG.269', 'MSTRG.42', 'MSTRG.14891', 'MSTRG.787', 'MSTRG.9028', 'MSTRG.1519', 'MSTRG.17302', 'MSTRG.2372', 'MSTRG.7174', 'MSTRG.8373', 'MSTRG.12021']",0.29238725833965934
Erythrocytes,4904,0.7950068938349419,0.8384835107764217,0.658442088091354,50365,622,1675,3229,1,['MSTRG.12397'],"['MSTRG.12397', 'MSTRG.11538', 'MSTRG.3488', 'MSTRG.13119', 'MSTRG.11585', 'MSTRG.13013', 'MSTRG.7397', 'MSTRG.14639', 'MSTRG.10598', 'MSTRG.10226', 'MSTRG.4', 'MSTRG.8761', 'PMZ_0029257', 'MSTRG.7390', 'MSTRG.1112', 'MSTRG.3758', 'PMZ_0037544', 'MSTRG.15297', 'MSTRG.13923', 'MSTRG.18675', 'MSTRG.26584', 'MSTRG.2158', 'MSTRG.13940', 'MSTRG.19889', 'MSTRG.15347', 'MSTRG.4850', 'MSTRG.868', 'MSTRG.1496', 'MSTRG.11881', 'MSTRG.13303']",0.7874078099716613
Fibroblasts,18760,0.9339832181638696,0.9722543352601156,0.8069296375266525,36699,432,3622,15138,1,['MSTRG.12974'],"['MSTRG.6358', 'MSTRG.12974', 'MSTRG.6133', 'MSTRG.900', 'MSTRG.2158', 'MSTRG.3755', 'MSTRG.5664', 'MSTRG.8147', 'MSTRG.3560', 'MSTRG.557', 'MSTRG.2991', 'MSTRG.10740', 'MSTRG.14586', 'MSTRG.12929', 'MSTRG.1495', 'MSTRG.6996', 'MSTRG.4205', 'MSTRG.2156', 'MSTRG.12904', 'MSTRG.9652', 'MSTRG.1257', 'MSTRG.7514', 'MSTRG.7966', 'MSTRG.3867', 'MSTRG.11622', 'MSTRG.8495', 'MSTRG.2114', 'MSTRG.13787', 'MSTRG.9823', 'MSTRG.15730']",0.8704493999105948
Mesencephalon GABAergic neurons,2605,0.7508997709673901,0.8391224862888482,0.5285988483685221,53022,264,1228,1377,1,['MSTRG.7811'],"['MSTRG.7528', 'MSTRG.7811', 'MSTRG.13735', 'MSTRG.21377', 'MSTRG.18473', 'MSTRG.6430', 'MSTRG.11167', 'MSTRG.3374', 'MSTRG.9098', 'MSTRG.6588', 'MSTRG.8761', 'MSTRG.2658', 'MSTRG.3369', 'MSTRG.3367', 'MSTRG.3573', 'MSTRG.2657', 'MSTRG.8275', 'MSTRG.17403', 'MSTRG.9616', 'MSTRG.6243', 'MSTRG.1633', 'MSTRG.6109', 'MSTRG.9297', 'MSTRG.11466', 'MSTRG.9802', 'MSTRG.20020', 'MSTRG.3946', 'MSTRG.6108', 'MSTRG.10864', 'MSTRG.10254']",0.5672587926090701
Mesencephalon glutamatergic neurons,1962,0.623066345823307,0.7520746887966805,0.36952089704383284,53690,239,1237,725,1,['MSTRG.322'],"['MSTRG.322', 'MSTRG.8547', 'MSTRG.8564', 'MSTRG.5979', 'MSTRG.9098', 'MSTRG.591', 'MSTRG.4850', 'MSTRG.21377', 'MSTRG.10469', 'MSTRG.1814', 'MSTRG.6430', 'MSTRG.3887', 'MSTRG.3369', 'MSTRG.15116', 'MSTRG.10583', 'MSTRG.14583', 'MSTRG.3884', 'MSTRG.3367', 'MSTRG.6549', 'MSTRG.8373', 'MSTRG.20412', 'MSTRG.6243', 'MSTRG.13397', 'MSTRG.3092', 'MSTRG.1633', 'MSTRG.9297', 'MSTRG.11167', 'MSTRG.4866', 'MSTRG.12569', 'MSTRG.18710']",0.811283771277232
