clusterName	clusterSize	f_score	PPV	recall	TN	FP	FN	TP	marker_count	markers	binary_genes	onTarget
Fibroblasts	18760	0.9339832181638696	0.9722543352601156	0.8069296375266525	36699	432	3622	15138	1	['MSTRG.12974']	['MSTRG.12974', 'MSTRG.6133', 'MSTRG.2158', 'MSTRG.8190', 'MSTRG.18788', 'MSTRG.10239', 'MSTRG.17026', 'MSTRG.8489', 'MSTRG.17158', 'MSTRG.1009', 'MSTRG.8023', 'MSTRG.6159', 'MSTRG.14399', 'MSTRG.14254', 'MSTRG.18084', 'MSTRG.3560', 'MSTRG.1806', 'MSTRG.9866', 'MSTRG.8307', 'MSTRG.7957', 'MSTRG.19299', 'MSTRG.17476', 'MSTRG.560', 'MSTRG.15652', 'MSTRG.6417', 'MSTRG.557', 'MSTRG.10183', 'MSTRG.2650', 'MSTRG.10740', 'MSTRG.3710', 'MSTRG.9343', 'MSTRG.10906', 'MSTRG.2569', 'MSTRG.13446', 'MSTRG.1854', 'MSTRG.9057', 'MSTRG.2957', 'MSTRG.13817', 'MSTRG.12834', 'MSTRG.16259', 'MSTRG.17214', 'MSTRG.22283', 'MSTRG.7589', 'MSTRG.5641', 'MSTRG.11391', 'MSTRG.9071', 'MSTRG.16512', 'MSTRG.7638', 'MSTRG.375', 'MSTRG.9394']	0.8704493999105948
Erythrocytes	4904	0.858185563317213	0.8797337617626807	0.7816068515497553	50463	524	1071	3833	1	['MSTRG.942']	['MSTRG.4524', 'MSTRG.11537', 'MSTRG.7804', 'MSTRG.18208', 'MSTRG.942', 'MSTRG.12397', 'MSTRG.2339', 'MSTRG.1288', 'MSTRG.2212', 'MSTRG.2817', 'MSTRG.3488', 'PMZ_0042989', 'MSTRG.4600', 'MSTRG.3012', 'MSTRG.13119', 'MSTRG.1465', 'MSTRG.17316', 'MSTRG.13013', 'MSTRG.4994', 'MSTRG.7397', 'MSTRG.3342', 'MSTRG.14639', 'MSTRG.15663', 'MSTRG.3441', 'MSTRG.19754', 'MSTRG.9242', 'MSTRG.5064', 'MSTRG.4', 'MSTRG.8761', 'MSTRG.14932', 'MSTRG.5097', 'MSTRG.12425', 'MSTRG.4601', 'MSTRG.6266', 'MSTRG.10668', 'MSTRG.1112', 'MSTRG.5111', 'MSTRG.3758', 'MSTRG.14399', 'MSTRG.12994', 'MSTRG.4506', 'MSTRG.17896', 'MSTRG.25160', 'MSTRG.475', 'MSTRG.4523', 'MSTRG.8862', 'MSTRG.2158', 'MSTRG.13940', 'MSTRG.5739', 'MSTRG.13454']	0.7966735933763149
Microglia	3761	0.9550149573855619	0.9699054170249355	0.8997607019409731	52025	105	377	3384	1	['MSTRG.7252']	['MSTRG.17883', 'MSTRG.18698', 'MSTRG.7252', 'MSTRG.8084', 'MSTRG.5975', 'MSTRG.1786', 'MSTRG.7268', 'MSTRG.17576', 'MSTRG.10972', 'MSTRG.20946', 'MSTRG.17844', 'MSTRG.14700', 'MSTRG.17609', 'MSTRG.13648', 'MSTRG.5915', 'MSTRG.20748', 'MSTRG.13292', 'MSTRG.853', 'MSTRG.7678', 'MSTRG.17608', 'MSTRG.8953', 'MSTRG.9181', 'MSTRG.1669', 'MSTRG.11599', 'MSTRG.15297', 'MSTRG.5777', 'MSTRG.9849', 'MSTRG.4082', 'MSTRG.8754', 'MSTRG.15151', 'MSTRG.5824', 'MSTRG.10140', 'MSTRG.6560', 'MSTRG.3249', 'MSTRG.4919', 'MSTRG.3023', 'MSTRG.14011', 'MSTRG.13053', 'MSTRG.22181', 'MSTRG.12010', 'MSTRG.9863', 'MSTRG.1347', 'MSTRG.7334', 'MSTRG.17495', 'MSTRG.25127', 'MSTRG.16388', 'MSTRG.8837', 'MSTRG.13052', 'MSTRG.22283', 'MSTRG.22908']	0.9631364202375312
Choroid plexus epithelial cells	653	0.9081992938407218	0.9767932489451476	0.7090352220520674	55227	11	190	463	2	['MSTRG.584', 'MSTRG.3759']	['MSTRG.15310', 'MSTRG.22418', 'MSTRG.16017', 'MSTRG.584', 'MSTRG.3759', 'MSTRG.25013', 'MSTRG.16803', 'MSTRG.12361', 'MSTRG.5790', 'MSTRG.11478', 'MSTRG.5816', 'MSTRG.1818', 'MSTRG.5920', 'MSTRG.12150', 'MSTRG.5228', 'MSTRG.9597', 'MSTRG.19322', 'MSTRG.6752', 'MSTRG.10621', 'MSTRG.18191', 'MSTRG.830', 'MSTRG.11066', 'MSTRG.16122', 'MSTRG.5159', 'MSTRG.5114', 'MSTRG.5614', 'MSTRG.9929', 'MSTRG.19938', 'MSTRG.16610', 'MSTRG.21862', 'MSTRG.9388', 'MSTRG.6192', 'MSTRG.16250', 'MSTRG.2171', 'MSTRG.3765', 'MSTRG.6607', 'MSTRG.4799', 'MSTRG.12497', 'MSTRG.922', 'MSTRG.9774', 'MSTRG.5101', 'MSTRG.5295', 'MSTRG.12994', 'MSTRG.5492', 'MSTRG.19890', 'MSTRG.7939', 'MSTRG.9221', 'MSTRG.8235', 'MSTRG.15102', 'MSTRG.4531']	0.9183404959292039
Vascular cells	1286	0.9183880113406238	0.9934282584884995	0.7052877138413686	54599	6	379	907	2	['MSTRG.14674', 'MSTRG.4979']	['MSTRG.11881', 'MSTRG.14674', 'MSTRG.4039', 'MSTRG.4979', 'MSTRG.13666', 'MSTRG.15078', 'MSTRG.1319', 'MSTRG.4801', 'MSTRG.1188', 'MSTRG.14320', 'MSTRG.14679', 'MSTRG.4997', 'MSTRG.12129', 'MSTRG.5479', 'MSTRG.7562', 'MSTRG.4891', 'MSTRG.7946', 'MSTRG.2017', 'MSTRG.13909', 'MSTRG.16142', 'MSTRG.7876', 'MSTRG.10383', 'MSTRG.9040', 'MSTRG.9652', 'MSTRG.14546', 'MSTRG.7271', 'MSTRG.8614', 'MSTRG.4605', 'MSTRG.8920', 'MSTRG.3522', 'MSTRG.14404', 'MSTRG.12100', 'MSTRG.1496', 'MSTRG.7254', 'MSTRG.9208', 'MSTRG.2140', 'MSTRG.12006', 'MSTRG.2096', 'MSTRG.310', 'MSTRG.2861', 'MSTRG.13538', 'MSTRG.309', 'MSTRG.6879', 'MSTRG.4799', 'MSTRG.14750', 'MSTRG.20928', 'MSTRG.3758', 'MSTRG.9221', 'MSTRG.6153', 'MSTRG.14312']	0.9769452398483749
Astrocytes	6390	0.8226441773558226	0.9716671637339696	0.5098591549295775	49406	95	3132	3258	2	['MSTRG.12777', 'MSTRG.20425']	['MSTRG.19611', 'MSTRG.1162', 'MSTRG.5930', 'MSTRG.12777', 'MSTRG.7660', 'MSTRG.20425', 'MSTRG.3752', 'MSTRG.17442', 'MSTRG.8099', 'MSTRG.17441', 'MSTRG.9047', 'MSTRG.12690', 'MSTRG.4047', 'MSTRG.15489', 'MSTRG.8364', 'MSTRG.8871', 'MSTRG.15032', 'MSTRG.2210', 'MSTRG.12744', 'MSTRG.12684', 'MSTRG.14382', 'MSTRG.12764', 'MSTRG.11549', 'MSTRG.27026', 'MSTRG.5534', 'MSTRG.6897', 'MSTRG.13997', 'MSTRG.6189', 'MSTRG.7669', 'MSTRG.1256', 'MSTRG.20699', 'MSTRG.871', 'MSTRG.2306', 'MSTRG.35', 'MSTRG.15159', 'MSTRG.1897', 'MSTRG.12405', 'MSTRG.8685', 'MSTRG.17185', 'MSTRG.3829', 'MSTRG.12787', 'MSTRG.939', 'MSTRG.17304', 'MSTRG.13048', 'MSTRG.1525', 'MSTRG.7589', 'MSTRG.5132', 'MSTRG.12102', 'MSTRG.11499', 'MSTRG.10368']	0.7480836306404033
Ependymal cells	5049	0.6735312472140501	0.9798962386511024	0.2992671816201228	50811	31	3538	1511	1	['MSTRG.2347']	['MSTRG.1296', 'MSTRG.2347', 'MSTRG.2800', 'MSTRG.3214', 'MSTRG.6414', 'MSTRG.4061', 'MSTRG.1005', 'MSTRG.2633', 'MSTRG.5460', 'MSTRG.2351', 'MSTRG.13939', 'MSTRG.830', 'MSTRG.2982', 'MSTRG.2183', 'MSTRG.4943', 'MSTRG.11137', 'MSTRG.11225', 'MSTRG.13777', 'MSTRG.12744', 'MSTRG.7665', 'MSTRG.9627', 'MSTRG.3254', 'MSTRG.2164', 'MSTRG.20425', 'MSTRG.11821', 'MSTRG.6189', 'MSTRG.6192', 'MSTRG.4199', 'MSTRG.1268', 'MSTRG.1897', 'MSTRG.6614', 'MSTRG.12787', 'MSTRG.14862', 'MSTRG.7939', 'MSTRG.3917', 'MSTRG.1356', 'MSTRG.8275', 'MSTRG.13652', 'MSTRG.6415', 'MSTRG.14359', 'MSTRG.2012', 'MSTRG.8137', 'MSTRG.2341', 'MSTRG.2306', 'MSTRG.20475', 'MSTRG.17211', 'MSTRG.16831', 'MSTRG.12405', 'MSTRG.1833', 'MSTRG.269']	0.8870784644532507
Photoreceptor cells	185	0.7464212678936605	0.9605263157894737	0.3945945945945946	55703	3	112	73	2	['MSTRG.10968', 'MSTRG.4804']	['PMZ_0041341', 'MSTRG.6603', 'PMZ_0031216', 'MSTRG.10968', 'MSTRG.4804', 'MSTRG.12376', 'MSTRG.6758', 'MSTRG.9065', 'MSTRG.850', 'MSTRG.1145', 'MSTRG.8976', 'MSTRG.3796', 'PMZ_0028260', 'MSTRG.14157', 'MSTRG.8175', 'MSTRG.278', 'MSTRG.4113', 'MSTRG.8545', 'MSTRG.12375', 'MSTRG.5467', 'MSTRG.3744', 'MSTRG.6779', 'MSTRG.2913', 'MSTRG.9785', 'MSTRG.12692', 'MSTRG.13797', 'MSTRG.8090', 'MSTRG.6281', 'MSTRG.2759', 'MSTRG.19209', 'MSTRG.1251', 'MSTRG.18465', 'MSTRG.10512', 'MSTRG.5522', 'MSTRG.5537', 'MSTRG.5295', 'MSTRG.10114', 'MSTRG.892', 'MSTRG.1240', 'MSTRG.1437', 'MSTRG.4942', 'MSTRG.8970', 'MSTRG.13330', 'MSTRG.581', 'MSTRG.8319', 'MSTRG.5831', 'MSTRG.15177', 'MSTRG.19117', 'MSTRG.11965', 'MSTRG.306']	0.9776512018271644
Diencephalon glutamatergic neurons	2386	0.8732771034766509	0.925845147219193	0.7116512992455993	53369	136	688	1698	1	['MSTRG.16433']	['MSTRG.18681', 'MSTRG.16433', 'MSTRG.11994', 'MSTRG.7793', 'MSTRG.10366', 'MSTRG.419', 'MSTRG.417', 'MSTRG.6508', 'MSTRG.1729', 'MSTRG.4060', 'MSTRG.5948', 'MSTRG.8548', 'MSTRG.9316', 'MSTRG.16456', 'MSTRG.6154', 'MSTRG.539', 'MSTRG.5071', 'MSTRG.15392', 'MSTRG.856', 'MSTRG.12562', 'MSTRG.5957', 'MSTRG.15249', 'MSTRG.594', 'MSTRG.10367', 'MSTRG.2258', 'MSTRG.4866', 'MSTRG.5730', 'MSTRG.9797', 'MSTRG.8398', 'MSTRG.1437', 'MSTRG.11632', 'MSTRG.5347', 'MSTRG.7325', 'MSTRG.4066', 'MSTRG.2484', 'MSTRG.15569', 'MSTRG.1814', 'MSTRG.18671', 'MSTRG.6896', 'MSTRG.11133', 'MSTRG.14345', 'MSTRG.7048', 'MSTRG.13506', 'MSTRG.167', 'MSTRG.7780', 'MSTRG.6106', 'MSTRG.625', 'MSTRG.8560', 'MSTRG.13757', 'MSTRG.2479']	0.9052346868184733
Dopaminergic neurons	1088	0.7244318181818182	0.8826923076923077	0.421875	54742	61	629	459	1	['MSTRG.9352']	['MSTRG.9352', 'MSTRG.23314', 'MSTRG.1310', 'MSTRG.3021', 'MSTRG.10756', 'MSTRG.3684', 'MSTRG.13307', 'MSTRG.6582', 'MSTRG.846', 'MSTRG.19793', 'MSTRG.5560', 'MSTRG.911', 'PMZ_0043495', 'MSTRG.3816', 'MSTRG.5737', 'MSTRG.16456', 'MSTRG.8326', 'MSTRG.2687', 'MSTRG.8944', 'MSTRG.5389', 'MSTRG.9741', 'MSTRG.5332', 'MSTRG.3655', 'MSTRG.835', 'MSTRG.5782', 'MSTRG.19046', 'MSTRG.3876', 'MSTRG.6637', 'MSTRG.14950', 'MSTRG.2304', 'MSTRG.15980', 'MSTRG.20475', 'MSTRG.8253', 'MSTRG.4296', 'PMZ_0013392', 'MSTRG.15589', 'MSTRG.2744', 'MSTRG.3772', 'MSTRG.11640', 'MSTRG.3498', 'MSTRG.21393', 'MSTRG.11639', 'MSTRG.8869', 'MSTRG.1889', 'MSTRG.5522', 'MSTRG.1127', 'MSTRG.8093', 'MSTRG.10813', 'MSTRG.14101', 'MSTRG.1700']	0.8846777200532498
