clusterName,markerGene,onTarget_per_gene,onTarget
Astrocytes,MSTRG.12777,0.7587379679713961,0.7480836306404033
Astrocytes,MSTRG.20425,0.7374292933094103,0.7480836306404033
Choroid plexus epithelial cells,MSTRG.584,0.9217727902634402,0.9183404959292039
Choroid plexus epithelial cells,MSTRG.3759,0.9149082015949676,0.9183404959292039
Diencephalon GABAergic neurons,MSTRG.5898,0.6758534980546308,0.6758534980546308
Diencephalon glutamatergic neurons,MSTRG.16433,0.9052346868184733,0.9052346868184733
Dopaminergic neurons,MSTRG.9352,0.8846777200532498,0.8846777200532498
Ependymal cells,MSTRG.2347,0.8870784644532507,0.8870784644532507
Erythrocytes,MSTRG.942,0.7966735933763149,0.7966735933763149
Fibroblasts,MSTRG.12974,0.8704493999105948,0.8704493999105948
Mesencephalon GABAergic neurons,MSTRG.7811,0.5672587926090701,0.5672587926090701
Mesencephalon glutamatergic neurons,MSTRG.322,0.811283771277232,0.811283771277232
Microglia,MSTRG.7252,0.9631364202375312,0.9631364202375312
Peptidergic neurons,MSTRG.4578,0.7891198491147764,0.7891198491147764
Photoreceptor cells,MSTRG.10968,0.9778567709871054,0.9776512018271644
Photoreceptor cells,MSTRG.4804,0.9774456326672234,0.9776512018271644
Rhombencephalon GABAergic neurons,MSTRG.4892,0.7544120577439521,0.7544120577439521
Telencephalon GABAergic neurons,MSTRG.17344,0.8706498744919413,0.81268271803665
Telencephalon GABAergic neurons,MSTRG.18138,0.7547155615813587,0.81268271803665
Telencephalon glutamatergic neurons,MSTRG.6042,0.8919060811403504,0.8919060811403504
Vascular cells,MSTRG.14674,0.9854599814924124,0.9769452398483749
Vascular cells,MSTRG.4979,0.9684304982043374,0.9769452398483749
