,0
Astrocytes,142
Choroid plexus epithelial cells,34
Diencephalon GABAergic neurons,117
Diencephalon glutamatergic neurons,142
Diencephalon neurons,91
Ependymal cells,125
Mesencephalon GABAergic neurons,124
Mesencephalon glutamatergic neurons,103
Microglia,145
Neural progenitor cells,73
Oligodendrocyte precursor cells,98
Oligodendrocytes,72
Rhombencephalon GABAergic neurons,101
Rhombencephalon glutamatergic neurons,64
Telencephalon GABAergic neurons,72
Telencephalon glutamatergic neurons,61
Vascular cells,137
