clusterName,binary_genes,rf_feature_importance,cluster_median,binary_score
Astrocytes,DBX2,0.04206260686585882,0.6287025832976677,0.9529955445808731
Astrocytes,LOC110084293,0.12071799577379623,1.6330082748763406,0.9419573821976366
Astrocytes,SH3RF2,0.039847231295207446,0.5981794631113965,0.9363115274757382
Astrocytes,HEY2,0.03230588985716114,0.40960430241337553,0.9208748314177461
Astrocytes,SOX9,0.13159489713265768,1.4533232419413147,0.913212592335613
Astrocytes,LOC110087146,0.010054726983609633,0.20441865564556339,0.8991932434156342
Astrocytes,SOX21,0.0062617826637538865,0.18821715648381132,0.88142327874186
Astrocytes,NPAS1,0.018419452790461616,0.42918765803330466,0.8735322787603569
Astrocytes,ID4,0.2657268228145702,2.7985351046784754,0.8695926089750692
Astrocytes,KLF15,0.006059539255844969,0.2356477264287975,0.8677592875009785
Astrocytes,HEY1,0.015891646767042904,0.4494993834722026,0.8642267751388911
Astrocytes,RFX4,0.012846889255578451,0.3743743647510559,0.847909387032476
Astrocytes,LOC110090040,0.005897659841380571,0.21588578301013742,0.8088818243825227
Astrocytes,EEPD1,0.008024023533294684,0.25928157716168826,0.8065039142054592
Astrocytes,FOXJ1,0.008406863173599888,0.22694138150739643,0.8042807305917095
Astrocytes,WASF3,0.013920613993521952,0.48149584122928496,0.7867820120295446
Astrocytes,LHX2,0.00530661274537863,0.2391800942389182,0.7692249786696382
Astrocytes,NPAS3,0.021646677557314108,0.8575499183845361,0.7487781856930725
Astrocytes,SOX1,0.01626485903006023,0.7547616893042485,0.7355128694738784
Astrocytes,ZFP36L1,0.01786867214561236,0.6357539521740126,0.7277523092107131
Astrocytes,SOX13,0.008029879093395241,0.259506479148946,0.7242883414680408
Astrocytes,SOX2,0.013092261037452903,0.7008395373250413,0.709855769960154
Astrocytes,OLIG1,0.028943569695832352,0.303835386893102,0.7084808620406804
Astrocytes,LOC110082380,0.008018623213233432,0.5121155115346999,0.6995614554682735
Astrocytes,FAM126A,0.006116204945248899,0.30616931378357753,0.6984896326007799
Astrocytes,SOX5,0.006463166207955815,0.4520575824948642,0.6966414382797151
Astrocytes,EMX2,0.005630680781081643,0.3251174486403929,0.696531187155313
Astrocytes,OLIG2,0.024450586373042753,0.11954485034871588,0.6932426364153967
Astrocytes,ID3,0.008022778065330997,0.38273085314348293,0.6928176987694515
Astrocytes,SPDL1,0.01966400911624106,0.7088982230847015,0.6816958519579286
Choroid plexus epithelial cells,LMX1A,0.19702396814543846,0.6486286315315243,0.9879674929067495
Choroid plexus epithelial cells,TFCP2L1,0.012752602223953594,0.038377690911242525,0.9475292237339408
Choroid plexus epithelial cells,LOC110071748,0.05465427461194065,0.18239746461483194,0.9398350637527986
Choroid plexus epithelial cells,MSX1,0.056019511107071464,0.25753811762114576,0.9281152435993897
Choroid plexus epithelial cells,NEUROG1,0.002295879305174625,0.012035298245605645,0.9182730330196124
Choroid plexus epithelial cells,LMX1B,0.03896955166563692,0.18560457772960345,0.9005115240474435
Choroid plexus epithelial cells,HESX1,0.002140319354119444,0.006196553705590092,0.889677390064325
Choroid plexus epithelial cells,LOC110080170,0.005702177205196241,0.015535799764112297,0.8404161573933001
Choroid plexus epithelial cells,IRF6,0.014351367172124527,0.06130422060699578,0.8162749974475005
Choroid plexus epithelial cells,RXRG,0.0023830256632867072,0.006032668815664823,0.8157107381679669
Choroid plexus epithelial cells,OTX2,0.0556323398356589,0.32039691586995,0.806914717805281
Choroid plexus epithelial cells,LOC110090335,0.001898444762718409,0.006196779668854006,0.802229419986109
Choroid plexus epithelial cells,SCEL,0.01672386125241951,0.060282217365516165,0.8020331925906973
Choroid plexus epithelial cells,FOXJ1,0.038352591324063295,0.22122905190776945,0.8008408913422109
Choroid plexus epithelial cells,PDLIM2,0.028529816627424515,0.12951741707004122,0.8004297650277777
Choroid plexus epithelial cells,EPAS1,0.11249647608067191,0.7307323041920034,0.786210524576761
Choroid plexus epithelial cells,SERPIND1,0.0033323365521211305,0.005603009510725373,0.7794769740575456
Choroid plexus epithelial cells,LOC110084970,0.052765907326085014,0.30927363912429334,0.7660186954477175
Choroid plexus epithelial cells,LOC110086807,0.0034235789846589915,0.015363199211142113,0.7644256710355163
Choroid plexus epithelial cells,LOC110085254,0.014172347632995387,0.07619212397248122,0.7579991663936502
Choroid plexus epithelial cells,TP73,0.010349864890112795,0.050940225211594775,0.7535528191330781
Choroid plexus epithelial cells,RORC,0.0129479626932964,0.07135375423988558,0.7461159123082931
Choroid plexus epithelial cells,DAB2,0.017765584684657106,0.11677692719596305,0.7212839434602552
Choroid plexus epithelial cells,FOXB2,0.0020363026788601806,0.003381053494430693,0.7152507135575075
Choroid plexus epithelial cells,FAM89A,0.04828272939479616,0.2477058496851785,0.7144854315892424
Choroid plexus epithelial cells,CEBPD,0.013229375599360098,0.06673652824854862,0.7108821703320717
Choroid plexus epithelial cells,FADD,0.006452722532720476,0.027747588613201882,0.7057030611648774
Choroid plexus epithelial cells,TEAD2,0.0027467557218479803,0.014835925825788826,0.6979619544329629
Choroid plexus epithelial cells,LOC110084293,0.04610817901226261,0.25538126671259587,0.6971765247716858
Choroid plexus epithelial cells,CUNH11orf97,0.12338035681000055,0.7678316262416237,0.6902838267667402
Diencephalon GABAergic neurons,LHX8,0.037124556499433664,0.33195911587973626,0.9517405005530946
