,0
Astrocytes,1675
Choroid plexus epithelial cells,739
Diencephalon GABAergic neurons,1069
Diencephalon glutamatergic neurons,1063
Diencephalon neurons,829
Ependymal cells,1407
Immune cells,1045
Mesencephalon GABAergic neurons,680
Mesencephalon glutamatergic neurons,599
Microglia,1478
Neural progenitor cells,504
Oligodendrocyte precursor cells,800
Oligodendrocytes,872
Rhombencephalon GABAergic neurons,788
Rhombencephalon glutamatergic neurons,565
Telencephalon GABAergic neurons,729
Telencephalon glutamatergic neurons,709
Vascular cells,1646
