clusterName,markerGene,onTarget_per_gene,onTarget
Astrocytes,ASL,0.5527438960273436,0.5527438960273436
Choroid plexus epithelial cells,PMEL,0.9885662681631022,0.9874546409203158
Choroid plexus epithelial cells,MFRP,0.9863430136775293,0.9874546409203158
Diencephalon GABAergic neurons,ISL1,0.44731289660362633,0.4108016854638986
Diencephalon GABAergic neurons,PNOC,0.3742904743241709,0.4108016854638986
Diencephalon glutamatergic neurons,GNG8,0.6317686993401069,0.6317686993401069
Diencephalon neurons,TSHB,0.9986835482477282,0.9986835482477282
Ependymal cells,SSPO,0.931121761651301,0.931121761651301
Immune cells,JCHAIN,0.9686414328589447,0.9686414328589447
Mesencephalon GABAergic neurons,GATA3,0.6187867904351807,0.6187867904351807
Mesencephalon glutamatergic neurons,POU4F2,0.717445902399477,0.6464895612152213
Mesencephalon glutamatergic neurons,EBF3,0.5755332200309655,0.6464895612152213
Microglia,C1QA,0.9387530761761954,0.9385751027982221
Microglia,C1QC,0.9383971294202488,0.9385751027982221
Neural progenitor cells,MEX3A,0.6585437626966588,0.6585437626966588
Oligodendrocyte precursor cells,PDGFRA,0.6387453485878642,0.6387453485878642
Oligodendrocytes,ERMN,0.7499410379321922,0.7499410379321922
Rhombencephalon GABAergic neurons,SKOR1,0.9415542626636143,0.8052160559429222
Rhombencephalon GABAergic neurons,BHLHE22,0.6688778492222301,0.8052160559429222
Rhombencephalon glutamatergic neurons,LOC110073245,0.6025307425136169,0.5895143894082862
Rhombencephalon glutamatergic neurons,CBLN1,0.5764980363029554,0.5895143894082862
Telencephalon GABAergic neurons,LHX6,0.5219750714185588,0.5219750714185588
Telencephalon glutamatergic neurons,SLC17A7,0.44127251493757097,0.44127251493757097
Vascular cells,COL3A1,0.9763476280945854,0.9763476280945854
