clusterName,clusterSize,f_score,PPV,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
Astrocytes,31752,0.7453234956197041,0.8339359244752436,0.5230221718316956,120356,3307,15145,16607,1,['ASL'],"['SERPINA10', 'AQP4', 'GPR156', 'PCK1', 'HOPX', 'ASL', 'MLC1', 'KCNJ16', 'ACOT12', 'LOC110084293', 'RFTN2', 'AQP1', 'BCAN', 'FGFR3', 'GPR37L1', 'LOC110074168', 'GJA1', 'S1PR1', 'RCN3', 'RPE65', 'LFNG', 'LOC110080488', 'PBXIP1', 'LOC110088229', 'SOX9', 'GFAP', 'CXCL14', 'KCNJ10', 'NRARP', 'LOC110091322', 'LOC110081459', 'SLC1A3', 'CSRP2', 'ID4', 'LOC110087437', 'TIMP1', 'FABP7', 'WLS', 'ACSL6', 'S100A1', 'PTPRZ1', 'GLUD1', 'SPARC', 'SLC1A4', 'SLC1A2', 'MSMO1', 'LOC110083899', 'ACBD7', 'APOE', 'GAPDH']",0.5527438960273436
Choroid plexus epithelial cells,328,0.8746246246246246,0.9282868525896414,0.7103658536585366,155069,18,95,233,2,"['PMEL', 'MFRP']","['SLC13A1', 'TMEM27', 'PMEL', 'LOC110082071', 'MFRP', 'NEU4', 'SLC6A20', 'SLC16A8', 'RBP1', 'LOC110069902', 'SLCO1C1', 'ATP2C2', 'SLC26A9', 'LOC110087195', 'LMX1A', 'MGP', 'OTOR', 'COL9A2', 'WIF1', 'CORIN', 'LOC110088372', 'SOD3', 'TTR', 'SLC13A4', 'KCNJ13', 'SLC14A1', 'CLIC6', 'SLC7A10', 'LOC110087472', 'SLC16A9', 'LOC110087465', 'TNNT2', 'SLC41A1', 'RGR', 'TPD52L1', 'LOC110076706', 'LOC110074859', 'SLC40A1', 'RPIA', 'PPP1R1B', 'LOC110075876', 'TRPM3', 'CAPS', 'PLAC9', 'PLTP', 'TIMP1', 'IGFBP7', 'CENPW', 'PCP4', 'B4GALT6']",0.9874546409203158
Diencephalon GABAergic neurons,3906,0.3982251179510222,0.567654123298639,0.18151561699948796,150969,540,3197,709,2,"['ISL1', 'PNOC']","['LHX8', 'ISL1', 'DLX6', 'CHRNA5', 'DLX1', 'PNOC', 'GFRA3', 'DLX5', 'DLX2', 'ECEL1', 'SLC25A4', 'METAP1D', 'GAL', 'ARX', 'VWA5B1', 'CHRM2', 'RPRM', 'SLC32A1', 'OPRM1', 'PENK', 'DNAJC12', 'NTS', 'LOC110091279', 'LOC110081961', 'LOC110088666', 'OLFM3', 'SIX3', 'CHD5', 'CNTFR', 'EFNA5', 'GAD1', 'DOC2A', 'RAD9B', 'ISLR2', 'LINGO2', 'ELAVL2', 'SLC35G2', 'LOC110083420', 'SSTR1', 'NECAB2', 'PDE6G', 'SMIM18', 'GAD2', 'SH3GL3', 'LOC110070318', 'SLC1A1', 'DIRAS3', 'CACNA2D2', 'DNAJA4', 'ZFHX3']",0.4108016854638986
Diencephalon glutamatergic neurons,16397,0.46785835758285776,0.9841017488076311,0.1510032322985912,138978,40,13921,2476,1,['GNG8'],"['GNG8', 'GPR151', 'POU4F1', 'GBX2', 'PITX2', 'GPR149', 'CBLN2', 'NWD2', 'LHX9', 'SYT6', 'LOC110091117', 'GRM2', 'NPTX2', 'EBF3', 'LOC110078754', 'GPR26', 'CBLN4', 'TMEM163', 'ADCYAP1', 'SYT9', 'TCF7L2', 'SYT13', 'LRRC55', 'SLC17A6', 'NGB', 'BAALC', 'GALR1', 'VWA5B1', 'LOC110075767', 'NTS', 'NECAB2', 'NTNG1', 'MGAT4C', 'FOXP2', 'PCSK1', 'ADAMTS2', 'CBLN1', 'SCG2', 'SSTR1', 'COL25A1', 'LOC110082647', 'ZIC3', 'RPRM', 'LOC110088941', 'CA10', 'LOC110074070', 'PSRC1', 'CALB2', 'CCDC85A', 'SNCG']",0.6317686993401069
Diencephalon neurons,182,0.9207459207459208,0.9349112426035503,0.8681318681318682,155222,11,24,158,1,['TSHB'],"['CGA', 'TSHB', 'LOC110075644', 'LHX3', 'LOC110073048', 'AP1M2', 'SIX1', 'LOC110086259', 'LOC110071248', 'PITX2', 'FOXL2', 'VIPR2', 'SIX2', 'GPA33', 'WFDC3', 'TBX3', 'SLC12A7', 'GFRAL', 'ASCL1', 'GATA2', 'CUNH4orf22', 'CALML4', 'BMP3', 'EPCAM', 'RUNX2', 'KLHL30', 'INSM1', 'SOX14', 'LOC110072933', 'LURAP1L', 'FEM1A', 'RASD1', 'LOC110081633', 'DNAJC1', 'TOX', 'LOC110083760', 'HLF', 'CHGB', 'CCER2', 'CHGA', 'PER1', 'SUPT3H', 'LOC110091599', 'EZH2', 'TOX2', 'AMIGO1', 'BHLHE41', 'PER2', 'ZMYND11', 'BTG1']",0.9986835482477282
Ependymal cells,2868,0.944771516680684,0.9459649122807018,0.9400278940027894,152393,154,172,2696,1,['SSPO'],"['SSPO', 'LOC110073610', 'SPDEF', 'ADGRG2', 'LDLRAD2', 'GALNT6', 'NPSR1', 'LOC110088037', 'RARRES2', 'CTF1', 'TGIF1', 'SCUBE2', 'LKAAEAR1', 'LMX1B', 'RSPO3', 'LOC110070136', 'F5', 'CUNH8orf46', 'ARHGEF28', 'PPP1R17', 'ABHD12B', 'CUNH1orf194', 'CDON', 'GOLIM4', 'TC2N', 'HES4', 'ENKUR', 'CAPS', 'PAX6', 'ZNF467', 'LOC110080940', 'ENPP2', 'CRIP1', 'EZR', 'ISM2', 'S100A11', 'SPATS2', 'LOC110075876', 'CLYBL', 'LOC110075898', 'GPX3', 'S100A10', 'NPDC1', 'NRIP3', 'RIIAD1', 'NR2F2', 'LOC110077161', 'LOC110085696', 'DYNLRB2', 'ZIC2']",0.931121761651301
Immune cells,609,0.6130997715156131,0.9147727272727273,0.26436781609195403,154791,15,448,161,1,['JCHAIN'],"['POU2AF1', 'IKZF3', 'IL2RB', 'JCHAIN', 'LOC110070582', 'CD79B', 'LOC110086514', 'CXCR6', 'LOC110086466', 'LOC110076075', 'LOC110086504', 'IL2RG', 'LOC110079223', 'LOC110079299', 'LOC110080695', 'LOC110073047', 'FAM46C', 'LOC110090169', 'GRAP2', 'CD3E', 'LOC110086833', 'LOC110074599', 'LOC110079322', 'SPN', 'LOC110091524', 'LOC110083001', 'PTPRCAP', 'LOC110079201', 'CCL28', 'LOC110078898', 'LOC110090814', 'ALAS2', 'LOC110075047', 'CST7', 'FGL2', 'SRGN', 'CTSW', 'LOC110090483', 'EAF2', 'CD74', 'LOC110072495', 'LOC110070857', 'CHAC1', 'LOC110071589', 'LOC110070639', 'PSME1', 'B2M', 'BDNF', 'CRIP1', 'RPS12']",0.9686414328589447
Mesencephalon GABAergic neurons,13648,0.6604114472923492,0.7871088142405972,0.4017438452520516,140284,1483,8165,5483,1,['GATA3'],"['GATA3', 'TAL2', 'HS3ST3B1', 'PAX7', 'TAL1', 'SOX14', 'OTX2', 'CRABP1', 'COL19A1', 'TFAP2A', 'LHX5', 'CPLX3', 'GATA2', 'LHX1', 'LMO1', 'NPNT', 'PNOC', 'LEF1', 'LOC110070583', 'CABP1', 'ANOS1', 'LOC110086667', 'SLC32A1', 'ZFPM2', 'GAD1', 'EBF3', 'DLX6', 'MAB21L1', 'FOXP2', 'EMX2', 'SEMA3E', 'DLX5', 'SLC25A4', 'GAD2', 'LOC110088941', 'DLX2', 'ZMAT4', 'CHRM2', 'TMEM88B', 'PNCK', 'TCERG1L', 'ADARB2', 'SNCG', 'RGS8', 'INPP4B', 'SYNPR', 'SSTR1', 'CDH24', 'TRIM66', 'NPY']",0.6187867904351807
Mesencephalon glutamatergic neurons,3693,0.39086635325721963,0.6204690831556503,0.15759545085296506,151366,356,3111,582,2,"['POU4F2', 'EBF3']","['POU4F2', 'FOXB1', 'SOSTDC1', 'LOC110089479', 'EBF3', 'POU4F1', 'BARHL1', 'LEF1', 'TFAP2B', 'CA11', 'MAB21L1', 'LHX9', 'TAC1', 'LHX2', 'CCK', 'IGSF3', 'CPNE9', 'EFNA2', 'VIPR1', 'SLC17A6', 'RPH3A', 'OTOF', 'SLC4A11', 'EPHB1', 'CABP1', 'PNCK', 'NRN1', 'RIMS3', 'CABP7', 'PCP4L1', 'NECAB2', 'ADCYAP1', 'CPNE5', 'PCP4', 'RBFOX1', 'PRRT2', 'SNCG', 'CDK5R2', 'NPTX1', 'OPRL1', 'PCSK1', 'IZUMO4', 'STX1A', 'MFSD4A', 'RUNX1T1', 'DUSP28', 'FAM19A3', 'SPOCK1', 'CA10', 'VAMP1']",0.6464895612152213
Microglia,7096,0.9260378163207279,0.9906844106463878,0.7343573844419391,148270,49,1885,5211,2,"['C1QA', 'C1QC']","['LOC110080458', 'LOC110089622', 'VSIG4', 'GPR34', 'C1QA', 'C1QC', 'CSF1R', 'LOC110090998', 'C1QB', 'LOC110086421', 'FCER1G', 'SPI1', 'LTC4S', 'LOC110082123', 'ABI3', 'ALOX5AP', 'LOC110090193', 'LOC110076950', 'LY86', 'RGS10', 'LOC110086298', 'LOC110091304', 'LOC110081046', 'LOC110090008', 'LOC110081014', 'LOC110082568', 'LOC110079295', 'CTSS', 'TYROBP', 'LST1', 'PIM2', 'AIF1', 'LOC110080559', 'LOC110070063', 'IFI30', 'LOC110082831', 'LOC110084427', 'CD74', 'LOC110091560', 'LOC110090804', 'LOC110091567', 'LOC110089773', 'MAFB', 'EGR3', 'RGS2', 'LOC110090915', 'SRGN', 'ZFP36', 'RARRES1', 'APOE']",0.9385751027982221
Neural progenitor cells,1425,0.5200823892893924,0.526433358153388,0.496140350877193,153354,636,718,707,1,['MEX3A'],"['NEUROD4', 'LOC110083392', 'NEUROG1', 'SCRT2', 'MEX3A', 'TBR1', 'SOX4', 'GPC2', 'SEPT12', 'SOX11', 'ST8SIA2', 'NEUROD6', 'PRR36', 'NEUROD2', 'KIF26A', 'BHLHE22', 'IGDCC3', 'CASP6', 'PPP1R17', 'ISLR2', 'FOXG1', 'MN1', 'PPP1R14B', 'DCX', 'INSM1', 'MEX3B', 'LOC110077832', 'NHSL1', 'IGFBPL1', 'HES6', 'TTC28', 'LMO3', 'POU3F3', 'RTN2', 'ZBTB18', 'DBN1', 'LOC110081859', 'PRDM8', 'MEIS2', 'AFF2', 'LOC110090961', 'NCAN', 'FABP7', 'NASP', 'KDM6B', 'EZH2', 'PRR7', 'DYNLT1', 'BCL11B', 'SBK1']",0.6585437626966588
Oligodendrocyte precursor cells,19955,0.8329193849278625,0.8545784019480152,0.756251566023553,132892,2568,4864,15091,1,['PDGFRA'],"['LOC110082889', 'LOC110078660', 'VWA2', 'SNX22', 'ANO9', 'PDGFRA', 'ITIH6', 'FGFR4', 'DDIT4L', 'FAM212B', 'OLIG2', 'OLIG1', 'SOX8', 'SEMA3D', 'ADORA2B', 'VCAN', 'LIMA1', 'MMP15', 'SWAP70', 'RTN4R', 'ST5', 'PHLDA1', 'GPR17', 'SLC35F1', 'SLC4A4', 'HTRA1', 'WSCD1', 'EPAS1', 'STARD9', 'TUB', 'TNR', 'EPN2', 'APOE', 'OMG', 'HSPB1', 'LRRN1', 'CSPG5', 'BCAS1', 'RND2', 'MYT1', 'LOC110090242', 'CD9', 'PCDH15', 'LOC110074281', 'DDIT4', 'GRIA4', 'PODXL2', 'SLC1A3', 'SERPINE2', 'PTN']",0.6387453485878642
Oligodendrocytes,23042,0.9154003653371339,0.9526321286818467,0.7916413505772069,131466,907,4801,18241,1,['ERMN'],"['GJC2', 'NKX6-2', 'UGT8', 'NINJ2', 'ANLN', 'ERMN', 'GPR62', 'NDRG1', 'CLDN11', 'SGK2', 'LOC110073780', 'CMTM5', 'LPAR1', 'HEBP2', 'MAG', 'MYRF', 'GPR17', 'PLLP', 'SOX10', 'PPP2R3B', 'PLP1', 'RCAN2', 'CNP', 'TSPAN2', 'CAVIN2', 'PAQR8', 'ARHGAP18', 'TJP2', 'LOC110075703', 'CARNS1', 'BCAS1', 'LOC110075877', 'PLCL1', 'SLC12A2', 'SPG20', 'DAAM2', 'THSD7A', 'MAN1A1', 'CD9', 'SLC44A5', 'AATK', 'ENPP2', 'CD151', 'SCD', 'FSCN1', 'SCCPDH', 'ITM2C', 'NFASC', 'QKI', 'MBP']",0.7499410379321922
