myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.998	4.35637718729761	0.996	7.39570290240736	1	0.088	N4:First pigment spot cells_72	bf15-268
0.993	4.52283391028796	0.986	8.05826980490078	0.991	0.057	N4:First pigment spot cells_72	bf1620-963
0.957	1.89466107993608	0.914	2.9916423051292	0.997	0.439	N4:First pigment spot cells_72	bf9-808
0.934	2.49464918996321	0.868	8.28799562252131	0.871	0.014	N4:First pigment spot cells_72	bf15-520
0.932	1.78144371234468	0.864	2.83624570889918	0.987	0.359	N4:First pigment spot cells_72	bf17-831
0.928	1.74276092118806	0.856	3.14219376522964	0.959	0.155	N4:First pigment spot cells_72	bf1620-1656
0.899	1.3319840560965	0.798	2.01093520282934	1	0.574	N4:First pigment spot cells_72	bf5-780
0.896	1.46923322897581	0.792	2.73355130431485	0.931	0.237	N4:First pigment spot cells_72	bf3-1143
0.886	1.50983048271561	0.772	2.47180576250052	0.966	0.702	N4:First pigment spot cells_72	bf1620-369
0.878	0.978445174547336	0.756	1.51722242893751	0.991	0.819	N4:First pigment spot cells_72	bf2-25
0.876	1.36946626307956	0.752	2.45067354789307	0.922	0.363	N4:First pigment spot cells_72	bf2-475
0.87	1.27156498840106	0.74	2.41326881351476	0.909	0.283	N4:First pigment spot cells_72	bf5-756
0.86	1.38268426844335	0.72	2.93294566539546	0.831	0.139	N4:First pigment spot cells_72	bf18-1006
0.858	1.6309826653459	0.716	3.68669402206055	0.781	0.078	N4:First pigment spot cells_72	bf5-781
0.856	1.1783022460052	0.712	2.32031071179895	0.887	0.286	N4:First pigment spot cells_72	bf7-467
0.848	1.96702244543874	0.696	3.90546490569327	0.759	0.086	N4:First pigment spot cells_72	bf11-860
0.847	1.37113850770642	0.694	2.41829979843406	0.893	0.536	N4:First pigment spot cells_72	bf13-854
0.847	1.09959711793057	0.694	2.13492831607952	0.9	0.306	N4:First pigment spot cells_72	bf12-1161
0.842	1.32304795776742	0.684	2.96210976302324	0.796	0.159	N4:First pigment spot cells_72	bf7-13
