p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	11.3170943105928	0.157	0	0	N4:First pigment spot cells_72	bf3-625
0	9.5536331972278	0.577	0.01	0	N4:First pigment spot cells_72	bf18-345
0	9.26981020617697	0.235	0.001	0	N4:First pigment spot cells_72	bf1-1835
0	9.24518227865089	0.169	0.001	0	N4:First pigment spot cells_72	bf19-757
0	8.95598216019745	0.226	0.001	0	N4:First pigment spot cells_72	bf13-503
0	8.52472223396941	0.63	0.005	0	N4:First pigment spot cells_72	bf15-1046
0	8.28799562252131	0.871	0.014	0	N4:First pigment spot cells_72	bf15-520
0	8.24321054498613	0.483	0.005	0	N4:First pigment spot cells_72	bf15-269
0	8.2153968598035	0.238	0.002	0	N4:First pigment spot cells_72	bf1620-1485
0	8.21023138323254	0.163	0.001	0	N4:First pigment spot cells_72	bf3-763
0	8.20290777590598	0.373	0.002	0	N4:First pigment spot cells_72	bf13-489
0	8.05826980490078	0.991	0.057	0	N4:First pigment spot cells_72	bf1620-963
0	7.84932208933142	0.42	0.006	0	N4:First pigment spot cells_72	bf15-521
0	7.66355505450657	0.232	0.001	0	N4:First pigment spot cells_72	bf4-771
0	7.39570290240736	1	0.088	0	N4:First pigment spot cells_72	bf15-268
0	7.28555305042011	0.342	0.004	0	N4:First pigment spot cells_72	bf1-1513
0	6.48967304851804	0.677	0.026	0	N4:First pigment spot cells_72	bf2-958
0	4.94039434481165	0.545	0.045	0	N4:First pigment spot cells_72	bf18-541
0	3.91749189611002	0.633	0.058	0	N4:First pigment spot cells_72	bf5-405
0	3.90546490569327	0.759	0.086	0	N4:First pigment spot cells_72	bf11-860
0	3.68669402206055	0.781	0.078	0	N4:First pigment spot cells_72	bf5-781
0	3.14219376522964	0.959	0.155	0	N4:First pigment spot cells_72	bf1620-1656
3.21235820397902e-262	4.6691644151249	0.345	0.019	6.82401253271263e-258	N4:First pigment spot cells_72	bf18-584
6.65428428503073e-262	9.45514853938878	0.135	0.001	1.41356961066908e-257	N4:First pigment spot cells_72	bf4-748
9.82679208653929e-259	2.93294566539546	0.831	0.139	2.08750544294354e-254	N4:First pigment spot cells_72	bf18-1006
4.78532773253647e-257	10.8936172929237	0.119	0	1.01654717022272e-252	N4:First pigment spot cells_72	bf7-712
1.07583699907199e-244	5.04088544458938	0.351	0.022	2.28540053712862e-240	N4:First pigment spot cells_72	bf6-912
1.04896307745871e-239	3.81959374092667	0.498	0.049	2.22831226544554e-235	N4:First pigment spot cells_72	bf10-707
4.64951840658156e-231	3.14692143623588	0.652	0.09	9.87697195110122e-227	N4:First pigment spot cells_72	bf7-15
3.27160928627608e-224	8.46171715722405	0.113	0	6.94987960683628e-220	N4:First pigment spot cells_72	bf15-827
2.54795113149432e-221	9.05350048101708	0.1	0	5.41261258863339e-217	N4:First pigment spot cells_72	bf7-1062
4.11458076429232e-216	2.73355130431485	0.931	0.237	8.74060391758617e-212	N4:First pigment spot cells_72	bf3-1143
7.57692437516039e-215	2.96210976302324	0.796	0.159	1.60956604501532e-210	N4:First pigment spot cells_72	bf7-13
1.41992024972466e-208	5.08446804363064	0.404	0.037	3.0163365864901e-204	N4:First pigment spot cells_72	bf17-826
9.99214417878533e-208	5.56734373260535	0.157	0.003	2.12263118789937e-203	N4:First pigment spot cells_72	bf18-755
3.22288960680216e-203	2.9916423051292	0.997	0.439	6.84638439172982e-199	N4:First pigment spot cells_72	bf9-808
4.43655591389322e-201	2.83624570889918	0.987	0.359	9.42457572788336e-197	N4:First pigment spot cells_72	bf17-831
3.78920387288595e-197	5.54147762842978	0.279	0.017	8.04940578717163e-193	N4:First pigment spot cells_72	bf2-487
5.022124438804e-193	10.6072488565474	0.088	0	1.06684989453513e-188	N4:First pigment spot cells_72	bf2-1436
6.5600572851637e-189	2.93515225072127	0.768	0.168	1.39355296908732e-184	N4:First pigment spot cells_72	bf1-1592
3.05764140787116e-186	9.52372486861109	0.088	0	6.4953476427407e-182	N4:First pigment spot cells_72	bf1-1440
5.59243790954609e-185	3.74882553231429	0.335	0.027	1.18800158512488e-180	N4:First pigment spot cells_72	bf1-1816
