myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.968	1.85385465644572	0.936	2.82832836742367	0.998	0.701	T1:RhSp Otp+ cells_62	bf15-388
0.941	1.93812349497405	0.882	3.41243913362234	0.965	0.258	T1:RhSp Otp+ cells_62	bf2-1628
0.921	1.70676829300324	0.842	2.58960089343522	0.988	0.354	T1:RhSp Otp+ cells_62	bf19-853
0.919	1.56678785445908	0.838	2.58994287946052	0.991	0.407	T1:RhSp Otp+ cells_62	bf5-572
0.904	2.31397201922878	0.808	5.24885475060394	0.841	0.082	T1:RhSp Otp+ cells_62	bf2-1209
0.902	1.46738748055547	0.804	2.51270288954969	0.949	0.317	T1:RhSp Otp+ cells_62	bf7-858
0.883	1.48913475820636	0.766	2.57917770548727	0.933	0.432	T1:RhSp Otp+ cells_62	bf8-1209
0.874	1.19669953243786	0.748	1.9518265309039	0.968	0.648	T1:RhSp Otp+ cells_62	bf6-800
0.866	1.17527896446321	0.732	2.01731257929031	0.94	0.458	T1:RhSp Otp+ cells_62	bf2-1890
0.859	1.0907630017931	0.718	1.86270748947317	0.956	0.514	T1:RhSp Otp+ cells_62	bf4-1147
0.858	1.24219013521351	0.716	2.52258481830043	0.873	0.326	T1:RhSp Otp+ cells_62	bf5-806
0.858	1.57974728356839	0.716	3.12094903062705	0.838	0.289	T1:RhSp Otp+ cells_62	bf1620-1252
0.858	1.38056812227436	0.716	2.94715120070051	0.841	0.195	T1:RhSp Otp+ cells_62	bf1620-1229
0.85	1.4681666258577	0.7	2.68904668959767	0.875	0.349	T1:RhSp Otp+ cells_62	bf3-574
0.847	1.03884285474116	0.694	1.72722579199459	0.956	0.523	T1:RhSp Otp+ cells_62	bf7-540
0.846	1.28026735396382	0.692	2.70272659379965	0.829	0.214	T1:RhSp Otp+ cells_62	bf6-548
0.846	0.971207802837208	0.692	1.61606204410165	0.956	0.648	T1:RhSp Otp+ cells_62	bf14-687
0.838	1.04704479058187	0.676	1.56245287050962	0.979	0.559	T1:RhSp Otp+ cells_62	bf2-882
0.838	1.26224387101817	0.676	3.21294422631136	0.769	0.134	T1:RhSp Otp+ cells_62	bf19-241
0.834	1.08952530640863	0.668	2.19165814968742	0.875	0.333	T1:RhSp Otp+ cells_62	bf1-538
0.83	0.635902512990155	0.66	0.973197735734229	0.988	0.944	T1:RhSp Otp+ cells_62	bf10-841
0.829	0.973148471257856	0.658	1.57049867414103	0.968	0.702	T1:RhSp Otp+ cells_62	bf12-1199
0.825	1.58706196998224	0.65	5.53193751414179	0.672	0.039	T1:RhSp Otp+ cells_62	bf11-755
0.824	0.937552550610689	0.648	1.46924518691439	0.979	0.734	T1:RhSp Otp+ cells_62	bf3-1404
0.823	0.975811038199954	0.646	1.6343677737762	0.945	0.553	T1:RhSp Otp+ cells_62	bf2-1405
0.821	1.37444564345175	0.642	3.685313904069	0.718	0.124	T1:RhSp Otp+ cells_62	bf17-1101
0.815	0.832296366746023	0.63	1.3834582215666	0.947	0.708	T1:RhSp Otp+ cells_62	bf1-1795
0.811	1.15573950799333	0.622	2.11832117637574	0.855	0.425	T1:RhSp Otp+ cells_62	bf9-760
0.811	0.750988201143144	0.622	1.20250727124313	0.97	0.813	T1:RhSp Otp+ cells_62	bf17-549
0.81	0.738689270792269	0.62	1.1984387156426	0.968	0.823	T1:RhSp Otp+ cells_62	bf10-922
0.808	0.904605898116821	0.616	1.65652849782974	0.903	0.422	T1:RhSp Otp+ cells_62	bf5-337
0.805	0.902717940282052	0.61	1.74428210104223	0.873	0.419	T1:RhSp Otp+ cells_62	bf1620-1191
0.804	0.903497657155487	0.608	1.36840397764926	0.977	0.73	T1:RhSp Otp+ cells_62	bf3-848
0.804	0.80429449150627	0.608	1.38477143606897	0.952	0.688	T1:RhSp Otp+ cells_62	bf11-353
0.802	0.814632401569254	0.604	1.3766744925097	0.954	0.683	T1:RhSp Otp+ cells_62	bf1-494
0.801	1.41951040227315	0.602	4.61543544481651	0.64	0.054	T1:RhSp Otp+ cells_62	bf9-261
0.8	0.911911808788503	0.6	1.9006878179909	0.831	0.357	T1:RhSp Otp+ cells_62	bf5-1053
0.799	0.904041212019061	0.598	1.66114260074455	0.891	0.555	T1:RhSp Otp+ cells_62	bf5-1072
0.799	1.19121506959547	0.598	2.07796555743665	0.868	0.393	T1:RhSp Otp+ cells_62	bf1-563
0.798	0.96342879304464	0.596	2.02363065634967	0.824	0.341	T1:RhSp Otp+ cells_62	bf6-97
0.797	0.966001887151495	0.594	2.50645699343584	0.732	0.165	T1:RhSp Otp+ cells_62	bf4-403
0.796	0.781853999388021	0.592	1.42356904422459	0.905	0.571	T1:RhSp Otp+ cells_62	bf12-749
0.795	0.969401547213965	0.59	2.27005472248313	0.76	0.223	T1:RhSp Otp+ cells_62	bf5-359
0.795	0.686601848953027	0.59	1.12824804307597	0.961	0.79	T1:RhSp Otp+ cells_62	bf2-1638
0.795	0.870190365435298	0.59	1.64754049677713	0.882	0.463	T1:RhSp Otp+ cells_62	bf15-802
0.792	0.632860021870083	0.584	0.969519916339254	0.991	0.902	T1:RhSp Otp+ cells_62	bf11-149
0.791	0.706774645203655	0.582	1.15364670854449	0.924	0.341	T1:RhSp Otp+ cells_62	bf1620-831
0.79	0.689492630997565	0.58	1.17483447496064	0.952	0.709	T1:RhSp Otp+ cells_62	bf3-1640
0.789	1.01359592510337	0.578	1.9621916113412	0.801	0.246	T1:RhSp Otp+ cells_62	bf3-1613
0.788	0.944323296484184	0.576	2.51598111910124	0.714	0.184	T1:RhSp Otp+ cells_62	bf3-482
0.788	0.950661259491091	0.576	1.74543541728065	0.859	0.511	T1:RhSp Otp+ cells_62	bf1-969
0.788	0.662546174669515	0.576	1.06876171714814	0.972	0.817	T1:RhSp Otp+ cells_62	bf17-680
0.787	0.76839715546911	0.574	1.4021931875378	0.912	0.588	T1:RhSp Otp+ cells_62	bf14-348
0.785	0.67634751433155	0.57	1.17293027987359	0.947	0.677	T1:RhSp Otp+ cells_62	bf17-830
0.782	0.919102922211419	0.564	2.06660910490139	0.781	0.31	T1:RhSp Otp+ cells_62	bf3-1816
0.781	0.834690334833025	0.562	2.57798160786999	0.674	0.126	T1:RhSp Otp+ cells_62	bf2-865
0.78	0.713040773372313	0.56	1.25619314814684	0.926	0.625	T1:RhSp Otp+ cells_62	bf3-314
0.78	0.978567604512713	0.56	1.55656058804682	0.804	0.255	T1:RhSp Otp+ cells_62	bf1-1605
0.779	0.734761446632927	0.558	1.26977643722047	0.933	0.666	T1:RhSp Otp+ cells_62	bf3-719
0.779	0.680096433306749	0.558	1.13241644411485	0.942	0.745	T1:RhSp Otp+ cells_62	bf1620-1218
0.778	0.753823122510274	0.556	1.34662932337966	0.924	0.61	T1:RhSp Otp+ cells_62	bf3-722
0.777	1.24642966818655	0.554	2.88889040899642	0.695	0.202	T1:RhSp Otp+ cells_62	bf8-665
0.775	0.814977998319707	0.55	1.48766556864344	0.878	0.551	T1:RhSp Otp+ cells_62	bf11-379
0.774	1.60094641597678	0.548	3.46395824356178	0.628	0.12	T1:RhSp Otp+ cells_62	bf9-483
0.774	1.05355534517669	0.548	2.4213643528533	0.711	0.228	T1:RhSp Otp+ cells_62	bf8-378
0.774	0.818343977415229	0.548	1.75581812426138	0.811	0.365	T1:RhSp Otp+ cells_62	bf18-751
0.772	0.798274333199014	0.544	1.48064560633294	0.875	0.544	T1:RhSp Otp+ cells_62	bf5-199
0.771	0.964576421727649	0.542	2.16719023209743	0.704	0.171	T1:RhSp Otp+ cells_62	bf9-711
0.771	0.930892876643975	0.542	1.96746951270357	0.774	0.336	T1:RhSp Otp+ cells_62	bf2-413
0.771	0.701066605374023	0.542	1.19424449033954	0.942	0.686	T1:RhSp Otp+ cells_62	bf1-1387
0.771	0.659674843072619	0.542	1.10615040466788	0.94	0.733	T1:RhSp Otp+ cells_62	bf14-34
0.77	0.90683585437653	0.54	1.78904705219159	0.82	0.436	T1:RhSp Otp+ cells_62	bf1620-1004
0.768	0.835666509283396	0.536	1.94735355526785	0.746	0.293	T1:RhSp Otp+ cells_62	bf5-207
0.768	0.634352905643574	0.536	1.08638669221174	0.947	0.722	T1:RhSp Otp+ cells_62	bf15-139
0.768	0.810023111193839	0.536	1.54019232090192	0.855	0.484	T1:RhSp Otp+ cells_62	bf10-821
0.767	0.705588984215381	0.534	1.27884154918095	0.882	0.586	T1:RhSp Otp+ cells_62	bf4-459
0.766	0.496264099596912	0.532	0.742380534735115	0.995	0.97	T1:RhSp Otp+ cells_62	bf7-554
0.766	0.722748510160037	0.532	1.31219919444203	0.873	0.43	T1:RhSp Otp+ cells_62	bf14-21
0.766	1.16740939189304	0.532	3.14328277672155	0.603	0.08	T1:RhSp Otp+ cells_62	bf11-234
0.765	0.859167920117811	0.53	1.67011792531122	0.822	0.425	T1:RhSp Otp+ cells_62	bf2-789
0.764	0.798913378605744	0.528	1.49632873745422	0.861	0.491	T1:RhSp Otp+ cells_62	bf1620-8
0.762	0.856605135963477	0.524	1.71208363333645	0.783	0.369	T1:RhSp Otp+ cells_62	bf4-792
0.762	0.573404468523349	0.524	0.86770739081215	0.991	0.944	T1:RhSp Otp+ cells_62	bf2-18
0.76	0.616953338805678	0.52	1.02151304050859	0.954	0.738	T1:RhSp Otp+ cells_62	bf1620-374
0.76	0.444853932181365	0.52	0.669572562534672	0.995	0.97	T1:RhSp Otp+ cells_62	bf11-412
0.759	0.684752140233376	0.518	1.17594542874223	0.908	0.67	T1:RhSp Otp+ cells_62	bf7-1254
0.759	0.950869747799207	0.518	1.98720245305118	0.737	0.283	T1:RhSp Otp+ cells_62	bf5-516
0.758	0.892657801315993	0.516	1.7231394847586	0.804	0.448	T1:RhSp Otp+ cells_62	bf3-245
0.758	0.806773528897272	0.516	2.310794043173	0.651	0.152	T1:RhSp Otp+ cells_62	bf10-1181
0.757	1.1262782661685	0.514	4.02318502271244	0.564	0.066	T1:RhSp Otp+ cells_62	bf6-379
0.757	0.446271264076509	0.514	0.687679487013419	0.993	0.944	T1:RhSp Otp+ cells_62	bf2-1460
0.757	0.790950319461415	0.514	1.98348439620107	0.714	0.246	T1:RhSp Otp+ cells_62	bf1620-1049
0.756	0.804754148973358	0.512	1.7375882891706	0.781	0.355	T1:RhSp Otp+ cells_62	bf1-752
0.755	0.578837927710346	0.51	0.989526284026471	0.945	0.723	T1:RhSp Otp+ cells_62	bf7-979
0.755	0.969456978446256	0.51	2.41325443542704	0.679	0.231	T1:RhSp Otp+ cells_62	bf17-436
0.755	0.717662746398643	0.51	1.56478859195852	0.788	0.374	T1:RhSp Otp+ cells_62	bf17-1097
0.754	0.875278250269213	0.508	1.72937444428921	0.794	0.444	T1:RhSp Otp+ cells_62	bf2-672
0.752	0.987872527871895	0.504	1.83781871851182	0.758	0.385	T1:RhSp Otp+ cells_62	bf15-958
0.752	1.1027018849279	0.504	3.05448228807782	0.596	0.107	T1:RhSp Otp+ cells_62	bf14-204
0.751	0.597239143032685	0.502	1.01512909864444	0.931	0.664	T1:RhSp Otp+ cells_62	bf19-338
0.751	1.32104341686467	0.502	5.38138835173942	0.517	0.018	T1:RhSp Otp+ cells_62	bf1620-796
0.75	0.936956757273864	0.5	1.79504011291049	0.693	0.206	T1:RhSp Otp+ cells_62	bf5-917
0.75	0.68170676792501	0.5	1.32753109970126	0.841	0.497	T1:RhSp Otp+ cells_62	bf15-766
0.749	0.601079420759965	0.498	1.01813533539452	0.94	0.742	T1:RhSp Otp+ cells_62	bf6-1270
0.749	0.560690503991678	0.498	0.89942110290932	0.97	0.815	T1:RhSp Otp+ cells_62	bf12-614
0.749	0.786770405858857	0.498	1.645466354132	0.785	0.387	T1:RhSp Otp+ cells_62	bf10-1144
0.748	0.700127343018748	0.496	1.2913841115597	0.855	0.536	T1:RhSp Otp+ cells_62	bf3-1944
0.746	0.820111152415183	0.492	1.92269635812055	0.707	0.288	T1:RhSp Otp+ cells_62	bf7-928
0.745	0.481241662599333	0.49	0.704429278448512	1	0.991	T1:RhSp Otp+ cells_62	bf9-846
0.745	1.11740344511131	0.49	2.45104649865421	0.635	0.191	T1:RhSp Otp+ cells_62	bf17-647
0.744	0.732859952584074	0.488	1.70870710575779	0.741	0.319	T1:RhSp Otp+ cells_62	bf17-590
0.744	0.640462795340768	0.488	1.30215355005383	0.818	0.457	T1:RhSp Otp+ cells_62	bf10-631
0.743	0.744423185498636	0.486	1.55713149805372	0.785	0.418	T1:RhSp Otp+ cells_62	bf6-633
0.743	0.677793589748543	0.486	1.42290344925925	0.811	0.425	T1:RhSp Otp+ cells_62	bf11-368
0.742	0.586316323032918	0.484	1.04637270690288	0.926	0.633	T1:RhSp Otp+ cells_62	bf8-350
0.741	0.67711930583421	0.482	1.3443833908694	0.845	0.474	T1:RhSp Otp+ cells_62	bf3-388
0.739	0.728417705049729	0.478	1.67551166663884	0.711	0.27	T1:RhSp Otp+ cells_62	bf7-4
0.739	0.992116996079519	0.478	2.16467038702272	0.679	0.275	T1:RhSp Otp+ cells_62	bf5-822
0.739	0.588029325104541	0.478	0.96701005733852	0.924	0.803	T1:RhSp Otp+ cells_62	bf2-270
0.739	0.636336973827366	0.478	1.1023462499386	0.91	0.68	T1:RhSp Otp+ cells_62	bf1-1548
0.739	0.92894962970596	0.478	1.45254819981834	0.834	0.545	T1:RhSp Otp+ cells_62	bf14-38
0.739	0.727610227514487	0.478	1.79445471978149	0.697	0.277	T1:RhSp Otp+ cells_62	bf10-570
0.738	0.641053095649294	0.476	1.20133380278654	0.864	0.56	T1:RhSp Otp+ cells_62	bf8-339
0.738	0.691345494589766	0.476	1.48768366095796	0.762	0.381	T1:RhSp Otp+ cells_62	bf5-988
0.737	0.846670997223784	0.474	2.07289928607973	0.656	0.233	T1:RhSp Otp+ cells_62	bf6-356
0.736	0.612483920495402	0.472	1.16931365366761	0.861	0.576	T1:RhSp Otp+ cells_62	bf3-1946
0.735	0.555307163570135	0.47	0.932503791497999	0.921	0.745	T1:RhSp Otp+ cells_62	bf14-828
0.734	0.734267195452003	0.468	1.84705092656874	0.674	0.249	T1:RhSp Otp+ cells_62	bf14-951
0.734	0.584512334686055	0.468	1.02753394383092	0.91	0.667	T1:RhSp Otp+ cells_62	bf11-173
0.733	1.79269805912849	0.466	4.07132003158042	0.538	0.102	T1:RhSp Otp+ cells_62	bf8-580
0.733	0.476372790997293	0.466	0.751523548801629	0.972	0.896	T1:RhSp Otp+ cells_62	bf1620-1067
0.733	0.444079143128421	0.466	0.684280629305219	0.988	0.943	T1:RhSp Otp+ cells_62	bf10-4
0.732	0.509054656626185	0.464	0.837229356482063	0.965	0.719	T1:RhSp Otp+ cells_62	bf8-679
0.732	0.608474754519172	0.464	1.20031785883677	0.836	0.51	T1:RhSp Otp+ cells_62	bf2-1081
0.732	0.764183179022488	0.464	2.15609281788277	0.614	0.165	T1:RhSp Otp+ cells_62	bf2-1072
0.731	0.622751348491319	0.462	1.24123850500224	0.806	0.46	T1:RhSp Otp+ cells_62	bf15-535
0.73	0.683455081161747	0.46	1.55379835781246	0.73	0.355	T1:RhSp Otp+ cells_62	bf6-579
0.729	0.515116569085468	0.458	0.891901922389575	0.935	0.744	T1:RhSp Otp+ cells_62	bf4-879
0.729	0.615812375385958	0.458	1.13923099707515	0.855	0.53	T1:RhSp Otp+ cells_62	bf1-701
0.729	0.53993451730016	0.458	0.852311692417142	0.928	0.497	T1:RhSp Otp+ cells_62	bf15-377
0.727	0.653473634964616	0.454	1.14902481220362	0.855	0.571	T1:RhSp Otp+ cells_62	bf1-705
0.726	0.527852398742904	0.452	0.879812862398383	0.949	0.774	T1:RhSp Otp+ cells_62	bf12-913
0.726	1.03737257584706	0.452	3.75010709900863	0.508	0.068	T1:RhSp Otp+ cells_62	bf11-68
0.725	0.585488650032611	0.45	1.08578474164157	0.864	0.595	T1:RhSp Otp+ cells_62	bf2-994
0.724	1.05741249191251	0.448	1.74116232188245	0.741	0.471	T1:RhSp Otp+ cells_62	bf17-689
0.723	0.558951396781134	0.446	1.0662461930076	0.855	0.549	T1:RhSp Otp+ cells_62	bf17-398
0.722	0.57856324440234	0.444	1.10646321923513	0.857	0.53	T1:RhSp Otp+ cells_62	bf3-829
0.721	0.506027157915486	0.442	0.829481655975189	0.942	0.788	T1:RhSp Otp+ cells_62	bf6-326
0.721	0.747921941599657	0.442	2.11408265305366	0.587	0.157	T1:RhSp Otp+ cells_62	bf13-723
0.721	0.733916511547201	0.442	1.44127193661933	0.661	0.202	T1:RhSp Otp+ cells_62	bf13-599
0.72	0.60403205474012	0.44	1.09969265137212	0.88	0.61	T1:RhSp Otp+ cells_62	bf2-595
0.72	0.436210162947333	0.44	0.699387053914905	0.801	0.318	T1:RhSp Otp+ cells_62	bf1620-1555
0.719	0.561999571265889	0.438	1.23868279425891	0.771	0.397	T1:RhSp Otp+ cells_62	bf12-209
0.718	0.557907484499194	0.436	1.13327243826158	0.794	0.468	T1:RhSp Otp+ cells_62	bf9-377
0.718	0.796665635454478	0.436	2.56397485839173	0.538	0.117	T1:RhSp Otp+ cells_62	bf3-964
0.718	0.601470577172795	0.436	1.18071441161238	0.815	0.504	T1:RhSp Otp+ cells_62	bf19-402
0.718	0.788970934339599	0.436	1.61667153313453	0.679	0.274	T1:RhSp Otp+ cells_62	bf10-1121
0.716	0.581870643305634	0.432	1.25052572388568	0.778	0.422	T1:RhSp Otp+ cells_62	bf7-583
0.716	1.48083337646605	0.432	2.98101565203802	0.494	0.064	T1:RhSp Otp+ cells_62	bf2-725
0.716	0.51058725726795	0.432	0.900006162983957	0.908	0.695	T1:RhSp Otp+ cells_62	bf15-437
0.716	0.894787475047924	0.432	2.60144875902924	0.538	0.119	T1:RhSp Otp+ cells_62	bf10-437
0.715	0.724784324878049	0.43	1.24125772540327	0.878	0.583	T1:RhSp Otp+ cells_62	bf5-285
0.715	0.608911916320903	0.43	1.18089856004489	0.808	0.532	T1:RhSp Otp+ cells_62	bf11-660
0.714	0.948196267817138	0.428	2.99117089448631	0.494	0.068	T1:RhSp Otp+ cells_62	bf18-166
0.713	0.566953598333282	0.426	1.16490543285303	0.73	0.291	T1:RhSp Otp+ cells_62	bf9-973
0.713	0.484922173528632	0.426	0.766549811304877	0.972	0.791	T1:RhSp Otp+ cells_62	bf11-383
0.712	0.595404416802465	0.424	1.32809886713847	0.741	0.377	T1:RhSp Otp+ cells_62	bf1620-1338
0.711	0.662957616658587	0.422	1.33752237686734	0.737	0.364	T1:RhSp Otp+ cells_62	bf2-349
0.711	0.588282941467877	0.422	1.29334625971897	0.744	0.398	T1:RhSp Otp+ cells_62	bf19-531
0.711	0.570747273498014	0.422	1.0638767278715	0.841	0.513	T1:RhSp Otp+ cells_62	bf19-509
0.711	0.591913990484386	0.422	1.23953609113502	0.778	0.445	T1:RhSp Otp+ cells_62	bf14-1048
0.71	0.640184909528495	0.42	1.82120789204776	0.603	0.2	T1:RhSp Otp+ cells_62	bf4-108
0.71	0.476403316848536	0.42	0.713243855660797	0.984	0.938	T1:RhSp Otp+ cells_62	bf15-564
0.709	0.660093966226764	0.418	1.49095588555324	0.688	0.31	T1:RhSp Otp+ cells_62	bf10-1008
0.708	0.74641335119435	0.416	2.0689023997119	0.557	0.151	T1:RhSp Otp+ cells_62	bf9-845
0.708	1.22960236539634	0.416	4.31214247350786	0.45	0.041	T1:RhSp Otp+ cells_62	bf7-996
0.708	0.647651942072298	0.416	1.42465938585198	0.727	0.378	T1:RhSp Otp+ cells_62	bf3-520
0.708	0.655053654805354	0.416	1.67977058550674	0.624	0.221	T1:RhSp Otp+ cells_62	bf14-639
0.708	0.99748114170139	0.416	2.38876601346831	0.527	0.123	T1:RhSp Otp+ cells_62	bf12-1040
0.707	0.643265370231105	0.414	1.51625756961928	0.681	0.302	T1:RhSp Otp+ cells_62	bf8-298
0.707	0.785280462346636	0.414	2.70552662513262	0.515	0.117	T1:RhSp Otp+ cells_62	bf17-311
0.706	0.457231549963003	0.412	0.824533347158833	0.866	0.603	T1:RhSp Otp+ cells_62	bf1-1525
0.705	0.449665044256217	0.41	0.767253403996445	0.931	0.779	T1:RhSp Otp+ cells_62	bf8-1228
0.705	0.553453542238581	0.41	1.08318194722264	0.843	0.551	T1:RhSp Otp+ cells_62	bf1620-802
0.705	0.693218437216235	0.41	1.92759443010977	0.584	0.202	T1:RhSp Otp+ cells_62	bf1620-1063
0.705	0.548244546475393	0.41	0.84059376637189	0.882	0.663	T1:RhSp Otp+ cells_62	bf14-690
0.703	0.774262888819635	0.406	2.18239556170729	0.492	0.079	T1:RhSp Otp+ cells_62	bf19-430
0.702	1.24431684162603	0.404	3.39692531905134	0.46	0.062	T1:RhSp Otp+ cells_62	bf6-1182
0.701	0.60590177452824	0.402	1.01175762775474	0.857	0.708	T1:RhSp Otp+ cells_62	bf10-112
0.986	1.44700679676488	0.972	2.1421793264556	1	0.964	T1:Photoreceptor cholinergic neurons_74	bf17-970
0.984	1.15836693132614	0.968	1.71049700888852	1	0.983	T1:Photoreceptor cholinergic neurons_74	bf2-1611
