p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	ensembl
0	5.53193751414179	0.672	0.039	0	T1:RhSp Otp+ cells_62	bf11-755	bf_00020964
0	5.38138835173942	0.517	0.018	0	T1:RhSp Otp+ cells_62	bf1620-796	bf_00006784
0	5.24885475060394	0.841	0.082	0	T1:RhSp Otp+ cells_62	bf2-1209	bf_00005179
0	5.22903313224008	0.358	0.013	0	T1:RhSp Otp+ cells_62	bf7-997	bf7_997
0	4.61543544481651	0.64	0.054	0	T1:RhSp Otp+ cells_62	bf9-261	bf_00015333
0	3.41243913362234	0.965	0.258	0	T1:RhSp Otp+ cells_62	bf2-1628	bf_00005601
1.01969751805013e-293	3.21294422631136	0.769	0.134	2.26250485304964e-289	T1:RhSp Otp+ cells_62	bf19-241	bf_00024790
4.37127040386783e-285	4.02318502271244	0.564	0.066	9.69897477210195e-281	T1:RhSp Otp+ cells_62	bf6-379	bf_00012674
3.51057081180317e-284	5.27525372637933	0.409	0.03	7.78925451722888e-280	T1:RhSp Otp+ cells_62	bf7-563	bf_00011455
1.19995967245802e-281	3.685313904069	0.718	0.124	2.66247052124985e-277	T1:RhSp Otp+ cells_62	bf17-1101	bf_00026560
2.8566796196084e-268	4.31214247350786	0.45	0.041	6.33840073998711e-264	T1:RhSp Otp+ cells_62	bf7-996	bf_00011903
8.53616250911377e-267	3.14328277672155	0.603	0.08	1.89400373752216e-262	T1:RhSp Otp+ cells_62	bf11-234	bf_00020438
1.03515299370037e-256	7.46981005357996	0.201	0.004	2.29679746242237e-252	T1:RhSp Otp+ cells_62	bf5-1228	bf_00017670
5.88902296835453e-256	2.94715120070051	0.841	0.195	1.3066564162185e-251	T1:RhSp Otp+ cells_62	bf1620-1229	bf_00007224
2.01415052181639e-249	2.58960089343522	0.988	0.354	4.46899717780621e-245	T1:RhSp Otp+ cells_62	bf19-853	bf_00025437
