myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.967	2.32623518012914	0.934	3.4946925643523	0.983	0.737	Astrocytes	ENSG00000134769
0.959	2.89591082167247	0.918	4.74736525366927	0.958	0.284	Astrocytes	ENSG00000154217
0.955	1.83040513418935	0.91	2.6966872732249	0.986	0.812	Astrocytes	ENSG00000169862
0.953	1.87313348286658	0.906	2.73844375360583	1	0.802	Astrocytes	ENSG00000151322
0.949	4.63312870453603	0.898	7.48315432181528	0.927	0.196	Astrocytes	ENSG00000110436
0.939	2.9805671801134	0.878	5.44651899297033	0.913	0.108	Astrocytes	ENSG00000107249
0.938	2.10601973406199	0.876	3.24661039407653	0.972	0.627	Astrocytes	ENSG00000154310
0.937	2.77779782534737	0.874	4.13533481353806	0.945	0.215	Astrocytes	ENSG00000179399
0.937	1.83448157046309	0.874	2.90710216437262	0.979	0.536	Astrocytes	ENSG00000155816
0.935	2.33095614236184	0.87	3.44922942117623	0.986	0.63	Astrocytes	ENSG00000150625
0.933	2.30054857318354	0.866	3.72108508009803	0.941	0.374	Astrocytes	ENSG00000153944
0.932	2.68652512941275	0.864	4.12437160358272	0.945	0.274	Astrocytes	ENSG00000079215
0.931	1.52625411330348	0.862	2.21662453415337	1	0.895	Astrocytes	ENSG00000185565
0.93	2.72334582484325	0.86	4.40349930331436	0.945	0.311	Astrocytes	ENSG00000120885
0.927	2.26263581534483	0.854	3.65513547032852	0.948	0.335	Astrocytes	ENSG00000078295
0.926	2.12877615511524	0.852	3.39962842511674	0.948	0.447	Astrocytes	ENSG00000095637
0.922	2.69744755356566	0.844	6.50165907563721	0.858	0.046	Astrocytes	ENSG00000111783
0.922	1.67620588475379	0.844	2.56795458481698	0.976	0.813	Astrocytes	ENSG00000127603
0.917	1.99566594262665	0.834	3.02850537184461	0.958	0.627	Astrocytes	ENSG00000148053
0.912	2.88996191349024	0.824	5.26628369968917	0.865	0.138	Astrocytes	ENSG00000080493
0.912	1.85481834376283	0.824	2.90392337439174	0.952	0.517	Astrocytes	ENSG00000078114
0.911	2.52637992068972	0.822	4.04841546691733	0.907	0.242	Astrocytes	ENSG00000185942
0.91	3.00139024657413	0.82	8.70957741452721	0.824	0.013	Astrocytes	ENSG00000171885
0.909	1.81538749393226	0.818	2.86991365884024	0.941	0.451	Astrocytes	ENSG00000104447
0.909	2.30607678848307	0.818	3.75762081477125	0.9	0.226	Astrocytes	ENSG00000198838
0.902	1.95196409631774	0.804	3.20142686251867	0.92	0.458	Astrocytes	ENSG00000109472
0.901	1.74942095216973	0.802	2.64505718897929	0.965	0.412	Astrocytes	ENSG00000134532
0.9	2.57839868663156	0.8	5.32230600671466	0.827	0.052	Astrocytes	ENSG00000135540
0.9	1.45145365137134	0.8	2.13517731940827	0.983	0.691	Astrocytes	ENSG00000069667
0.899	1.8888231645018	0.798	3.09234490585911	0.913	0.299	Astrocytes	ENSG00000148498
0.897	2.27373514262952	0.794	3.74875622592596	0.907	0.447	Astrocytes	ENSG00000170390
0.896	1.62176787550196	0.792	2.39364328516528	0.927	0.32	Astrocytes	ENSG00000083067
0.894	2.04804158023071	0.788	3.84642071661401	0.862	0.148	Astrocytes	ENSG00000155324
0.894	1.59593891274737	0.788	2.41845884352238	0.976	0.541	Astrocytes	ENSG00000162599
0.891	2.27445449049432	0.782	3.65253457870016	0.886	0.276	Astrocytes	ENSG00000152583
0.891	2.98389388297472	0.782	5.13072073623985	0.817	0.057	Astrocytes	ENSG00000130203
0.888	1.38161564744552	0.776	2.03285078637969	0.993	0.814	Astrocytes	ENSG00000182667
0.888	2.13177283259371	0.776	4.45198462832171	0.83	0.144	Astrocytes	ENSG00000168710
0.886	1.64255698198996	0.772	2.49398322384254	0.948	0.442	Astrocytes	ENSG00000101542
0.88	1.72974883611488	0.76	2.95065763428826	0.886	0.349	Astrocytes	ENSG00000099204
0.877	0.786185108159315	0.754	1.21164589245903	0.917	0.212	Astrocytes	ENSG00000106278
0.877	2.16229516642319	0.754	4.73287723124983	0.796	0.118	Astrocytes	ENSG00000144040
0.876	1.49883464166032	0.752	2.3743425816148	0.938	0.577	Astrocytes	ENSG00000172461
0.875	1.92856309693816	0.75	4.09688615213383	0.768	0.026	Astrocytes	ENSG00000018625
0.873	2.42347377586733	0.746	6.99037988745797	0.754	0.021	Astrocytes	ENSG00000068078
0.873	2.86018033449939	0.746	4.74667216083977	0.82	0.132	Astrocytes	ENSG00000101439
0.872	1.19901936538044	0.744	1.74576187761706	1	0.623	Astrocytes	ENSG00000185737
0.871	2.33038743253086	0.742	5.42381970393889	0.765	0.047	Astrocytes	ENSG00000138696
0.871	2.13144698358538	0.742	4.37438715505006	0.796	0.105	Astrocytes	ENSG00000144749
0.869	2.02108316151605	0.738	3.62493717746094	0.83	0.25	Astrocytes	ENSG00000079691
0.867	2.32514096832715	0.734	7.41766444033723	0.74	0.011	Astrocytes	ENSG00000152661
0.863	1.742606367072	0.726	2.93427517329048	0.862	0.256	Astrocytes	ENSG00000116117
0.862	2.3224299171255	0.724	8.60851115086066	0.727	0.005	Astrocytes	ENSG00000164089
0.862	1.82369304407937	0.724	3.27582507114266	0.837	0.236	Astrocytes	ENSG00000171791
0.86	2.30168672974556	0.72	7.20782454389857	0.727	0.011	Astrocytes	ENSG00000106571
0.86	2.0218961637754	0.72	4.54320380914028	0.761	0.074	Astrocytes	ENSG00000127249
0.859	1.9883943387713	0.718	3.9803510438659	0.782	0.161	Astrocytes	ENSG00000148672
0.857	1.56920845232904	0.714	2.47326141380324	0.893	0.313	Astrocytes	ENSG00000182050
0.855	2.59336907847753	0.71	8.07499560771043	0.716	0.011	Astrocytes	ENSG00000135063
