p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.49681250049552e-81	4.42803692620465	0.854	0.079	4.91372700097519e-77	Ast_593	ENSG00000068078
4.70360513251004e-77	3.92883644421058	0.792	0.068	9.25669490077975e-73	Ast_593	ENSG00000106571
4.31414835987531e-76	4.80811014977898	0.771	0.068	8.49024397223462e-72	Ast_593	ENSG00000080573
1.08262343992894e-64	3.90206030105623	0.667	0.057	2.13060292978015e-60	Ast_593	ENSG00000164188
2.24867252405514e-63	3.8700820480729	0.708	0.067	4.42538752734052e-59	Ast_593	ENSG00000149090
2.57169032694486e-63	5.14087378622603	0.479	0.029	5.06108656342749e-59	Ast_593	ENSG00000184232
1.34375635783959e-55	3.23204774199435	0.667	0.065	2.6445125122283e-51	Ast_593	ENSG00000164089
1.22438320367574e-54	3.45793174221531	0.771	0.094	2.40958614483386e-50	Ast_593	ENSG00000124440
1.05591257437101e-53	3.44353081059408	0.729	0.087	2.07803594636214e-49	Ast_593	ENSG00000018625
1.18982703058469e-53	3.75320328879873	0.896	0.15	2.34157959619066e-49	Ast_593	ENSG00000164199
5.39252819305184e-53	3.27786995967857	0.833	0.115	1.0612495483926e-48	Ast_593	ENSG00000135540
8.42827449648257e-53	3.85972794829683	0.562	0.05	1.65868442090777e-48	Ast_593	ENSG00000117525
1.34448430142192e-50	3.22313662319699	0.604	0.06	2.64594510519834e-46	Ast_593	ENSG00000136160
2.91733453590723e-49	5.05457788390224	0.458	0.035	5.74131436666544e-45	Ast_593	ENSG00000161509
4.30753731248472e-49	3.76123133362234	0.583	0.058	8.47723343096993e-45	Ast_593	ENSG00000135744
9.29193084324458e-48	4.19875383821816	1	0.255	1.82865198995053e-43	Ast_593	ENSG00000110436
4.90264966711192e-46	4.06929498025173	0.604	0.068	9.64841454487627e-42	Ast_593	ENSG00000182902
5.46155452964328e-44	3.63507852161874	0.688	0.095	1.0748339314338e-39	Ast_593	ENSG00000111907
9.94650350366378e-44	4.72163473545587	0.438	0.037	1.95747188952103e-39	Ast_593	ENSG00000156076
1.25204858380292e-43	3.33665518299727	0.729	0.106	2.46403161292414e-39	Ast_593	ENSG00000138696
2.51650986278349e-43	5.1001489244807	0.396	0.03	4.95249140995791e-39	Ast_593	ENSG00000197360
7.63582529332334e-42	3.94835283083173	0.479	0.046	1.50273041772603e-37	Ast_593	ENSG00000074855
8.37611844072465e-42	3.46380705633322	0.5	0.049	1.64842010913461e-37	Ast_593	ENSG00000139155
3.41710798168288e-41	2.58632240130563	0.646	0.082	6.72486850795192e-37	Ast_593	ENSG00000171885
5.55312346039946e-41	5.25718607739319	0.333	0.022	1.09285469700661e-36	Ast_593	ENSG00000170370
7.44009680403716e-41	4.33543415828797	0.458	0.043	1.46421105103451e-36	Ast_593	ENSG00000144908
9.11557228439197e-41	4.55086634712551	0.542	0.063	1.79394462556834e-36	Ast_593	ENSG00000130287
1.06780304092855e-40	3.93142892333269	0.833	0.173	2.10143638454738e-36	Ast_593	ENSG00000144040
3.59466509879347e-40	3.23244270611498	0.979	0.274	7.07430091442554e-36	Ast_593	ENSG00000179399
5.15960415841026e-40	3.0078742511192	0.75	0.12	1.01541009837514e-35	Ast_593	ENSG00000130203
1.45745129703042e-39	3.03905136148961	0.667	0.094	2.86826415255587e-35	Ast_593	ENSG00000140022
4.05255084856539e-39	4.0924475972317	0.875	0.187	7.97542006997669e-35	Ast_593	ENSG00000101439
6.65389676811285e-39	4.17161523814693	0.458	0.045	1.30948688396461e-34	Ast_593	ENSG00000142611
1.79106260992325e-38	5.17861875650025	0.292	0.018	3.52481121632895e-34	Ast_593	ENSG00000130876
2.946914419968e-38	7.35013472489782	0.104	0.001	5.79952757849703e-34	Ast_593	ENSG00000177283
5.7595317784935e-38	2.8354180543573	0.625	0.085	1.13347585400752e-33	Ast_593	ENSG00000172987
1.77793796878658e-37	3.66786194159693	0.667	0.105	3.49898192257199e-33	Ast_593	ENSG00000154930
1.24837002652115e-36	2.96419500456824	0.875	0.197	2.45679221219362e-32	Ast_593	ENSG00000080493
1.91586857194106e-36	3.73297540416258	0.479	0.054	3.77042934958001e-32	Ast_593	ENSG00000056487
