p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	9.41442864567376	0.678	0.004	0	Astrocytes	ENSG00000141469
0	8.70957741452721	0.824	0.013	0	Astrocytes	ENSG00000171885
0	8.60851115086066	0.727	0.005	0	Astrocytes	ENSG00000164089
0	8.07499560771043	0.716	0.011	0	Astrocytes	ENSG00000135063
0	7.41766444033723	0.74	0.011	0	Astrocytes	ENSG00000152661
0	7.31394862312072	0.664	0.01	0	Astrocytes	ENSG00000115380
0	7.20782454389857	0.727	0.011	0	Astrocytes	ENSG00000106571
0	7.04148785924746	0.602	0.012	0	Astrocytes	ENSG00000136160
0	6.99037988745797	0.754	0.021	0	Astrocytes	ENSG00000068078
0	6.86815898764655	0.657	0.015	0	Astrocytes	ENSG00000149090
0	6.6070284630753	0.647	0.016	0	Astrocytes	ENSG00000182902
0	6.50165907563721	0.858	0.046	0	Astrocytes	ENSG00000111783
0	5.32230600671466	0.827	0.052	0	Astrocytes	ENSG00000135540
0	4.09688615213383	0.768	0.026	0	Astrocytes	ENSG00000018625
2.81264031822491e-307	7.10589446872495	0.585	0.011	5.53527614626663e-303	Astrocytes	ENSG00000182175
9.46751291543471e-307	5.13072073623985	0.817	0.057	1.86320654175755e-302	Astrocytes	ENSG00000130203
2.71109109505531e-306	5.26560665614411	0.734	0.038	5.33542727506886e-302	Astrocytes	ENSG00000124440
4.17434409017234e-305	5.42381970393889	0.765	0.047	8.21510916945917e-301	Astrocytes	ENSG00000138696
6.11550464545392e-304	6.28386955793515	0.585	0.012	1.20353131422533e-299	Astrocytes	ENSG00000164188
1.77762215281248e-294	4.52008030403546	0.671	0.028	3.49836039673496e-290	Astrocytes	ENSG00000151012
2.30529415977441e-292	7.27673979604876	0.512	0.004	4.53681890643604e-288	Astrocytes	ENSG00000101680
6.50707313028474e-288	5.44651899297033	0.913	0.108	1.28059199204004e-283	Astrocytes	ENSG00000107249
1.10056307121509e-283	8.15840419120147	0.63	0.025	2.1659081241513e-279	Astrocytes	ENSG00000131095
1.10931586883443e-276	6.99527834720342	0.657	0.034	2.18313362986615e-272	Astrocytes	ENSG00000172987
1.69171455935094e-276	8.40384676551876	0.478	0.003	3.32929425280265e-272	Astrocytes	ENSG00000124145
5.60823892013227e-275	10.2285434871711	0.474	0.003	1.10370141948203e-270	Astrocytes	ENSG00000041982
1.10439918659839e-273	6.20077833564531	0.519	0.009	2.17345759922564e-269	Astrocytes	ENSG00000117525
1.337229550817e-273	5.2371217053528	0.671	0.036	2.63166775600786e-269	Astrocytes	ENSG00000152990
2.21166053522119e-269	6.78925829597282	0.602	0.024	4.35254793331531e-265	Astrocytes	ENSG00000080573
3.00922059144865e-262	5.35480684656415	0.644	0.034	5.92214612397094e-258	Astrocytes	ENSG00000114790
1.98421167242405e-251	7.50600826371929	0.457	0.006	3.90492857133053e-247	Astrocytes	ENSG00000072952
5.50151953441038e-250	5.03457096300156	0.512	0.013	1.08269904437196e-245	Astrocytes	ENSG00000174776
3.3980829361715e-246	5.2221203764676	0.529	0.017	6.68742721838551e-242	Astrocytes	ENSG00000135744
1.60430834935888e-244	4.54320380914028	0.761	0.074	3.15727883153828e-240	Astrocytes	ENSG00000127249
8.87571657529498e-244	4.85863600692667	0.657	0.044	1.74674102201805e-239	Astrocytes	ENSG00000140022
1.06909648268717e-243	6.50175618861805	0.491	0.012	2.10398187792835e-239	Astrocytes	ENSG00000165092
1.71631964200045e-234	5.57595678003855	0.478	0.011	3.37771705545688e-230	Astrocytes	ENSG00000139155
1.82775382349099e-232	5.26628369968917	0.865	0.138	3.59701952463026e-228	Astrocytes	ENSG00000080493
9.10165394456858e-229	7.48315432181528	0.927	0.196	1.7912054962911e-224	Astrocytes	ENSG00000110436
5.75963884085452e-227	6.83955868609002	0.45	0.01	1.13349692388017e-222	Astrocytes	ENSG00000172201
3.86030081724066e-225	4.66690769442521	0.668	0.055	7.59707200832962e-221	Astrocytes	ENSG00000154930
2.98292523271719e-220	4.99420044205418	0.529	0.024	5.87039685798743e-216	Astrocytes	ENSG00000064655
2.3533293903472e-219	5.32352194628693	0.689	0.069	4.63135224020328e-215	Astrocytes	ENSG00000143603
