myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.96	2.16728338930543	0.92	3.29982454358377	1	0.197	astrocyte	ENSG00000156076
0.944	2.18442328063432	0.888	3.23120643547272	1	0.345	astrocyte	ENSG00000120885
0.903	1.38698588612157	0.806	2.58948030758763	0.909	0.115	astrocyte	ENSG00000178568
0.895	1.72361510590935	0.79	2.60991128255564	0.955	0.277	astrocyte	ENSG00000135821
0.892	1.82385431750278	0.784	4.79813658051791	0.818	0.063	astrocyte	ENSG00000153902
0.88	1.88485245373802	0.76	3.95829728150744	0.818	0.119	astrocyte	ENSG00000227036
0.879	1.52145724805593	0.758	2.31332763689236	0.955	0.256	astrocyte	ENSG00000107317
0.867	2.07995586496171	0.734	4.45118849055269	0.773	0.115	astrocyte	ENSG00000152583
0.866	2.18813053697397	0.732	3.30543242286314	0.864	0.259	astrocyte	ENSG00000211445
0.865	1.39517255801214	0.73	2.17760126395338	0.909	0.189	astrocyte	ENSG00000114315
0.861	1.72682281165668	0.722	3.46723910475202	0.818	0.181	astrocyte	ENSG00000133083
0.86	2.23933210174612	0.72	7.08272174169386	0.727	0.013	astrocyte	ENSG00000136732
0.859	2.21091017042579	0.718	4.68531949863393	0.773	0.143	astrocyte	ENSG00000087250
0.849	1.73499881706638	0.698	3.70361278554255	0.773	0.11	astrocyte	ENSG00000185650
0.848	1.54479841033192	0.696	2.69803133046001	0.818	0.253	astrocyte	ENSG00000166710
0.848	1.31400908952678	0.696	2.08313217873664	0.909	0.389	astrocyte	ENSG00000184226
0.844	1.46245181299431	0.688	2.76939678671641	0.818	0.234	astrocyte	ENSG00000151322
0.843	2.02183711065709	0.686	3.72360962858833	0.773	0.146	astrocyte	ENSG00000125148
0.839	1.7548065984932	0.678	8.60319349632216	0.682	0.006	astrocyte	ENSG00000188488
0.835	1.39996366300842	0.67	2.57969255464814	0.818	0.232	astrocyte	ENSG00000137285
0.834	1.38673714838426	0.668	3.58730960078346	0.727	0.091	astrocyte	ENSG00000124225
0.831	1.36000693708155	0.662	2.43332532503205	0.818	0.287	astrocyte	ENSG00000215386
0.824	1.48643236018809	0.648	2.63887269191523	0.818	0.298	astrocyte	ENSG00000130066
0.821	1.80419143067395	0.642	4.66633048947781	0.682	0.067	astrocyte	ENSG00000092758
0.821	1.95839686808864	0.642	3.53554692371758	0.727	0.122	astrocyte	ENSG00000170893
0.819	0.260437024090332	0.638	0.399108182931684	0.955	0.254	astrocyte	ENSG00000091513
0.816	1.62416566293887	0.632	3.45989153642338	0.727	0.194	astrocyte	ENSG00000255248
0.814	1.02053621750534	0.628	1.9436530952545	0.818	0.162	astrocyte	ENSG00000079215
0.814	1.25700775719307	0.628	2.85481262153787	0.727	0.117	astrocyte	ENSG00000181449
0.813	1.90506704781561	0.626	4.41362806477551	0.682	0.076	astrocyte	ENSG00000164330
0.81	1.21659957488967	0.62	2.4438215786238	0.773	0.283	astrocyte	ENSG00000112531
0.809	1.63333701653267	0.618	4.04521087215978	0.682	0.097	astrocyte	ENSG00000152977
0.808	2.55357239735466	0.616	6.26294652335373	0.636	0.041	astrocyte	ENSG00000131095
0.808	1.87024276280467	0.616	3.92392051831751	0.682	0.14	astrocyte	ENSG00000148180
0.807	0.933649063718618	0.614	1.92347762660805	0.773	0.14	astrocyte	ENSG00000010278
0.806	1.43297504721375	0.612	5.14417677990809	0.636	0.035	astrocyte	ENSG00000018625
0.8	1.34783090320179	0.6	2.76011892308132	0.727	0.186	astrocyte	ENSG00000108018
0.796	1.39790451271778	0.592	2.79407105124645	0.727	0.221	astrocyte	ENSG00000143878
0.794	1.62879208980739	0.588	7.83526536436946	0.591	0.004	astrocyte	ENSG00000196092
0.791	1.52255728567012	0.582	2.87880270760558	0.682	0.145	astrocyte	ENSG00000164434
0.789	2.03272019991745	0.578	7.19764365345247	0.591	0.029	astrocyte	ENSG00000109610
0.788	1.71442951578284	0.576	2.96605979598276	0.727	0.264	astrocyte	ENSG00000101439
0.788	1.97982521029289	0.576	5.7925493721892	0.591	0.02	astrocyte	ENSG00000134531
0.786	1.46284122139717	0.572	2.25428185773301	0.773	0.243	astrocyte	ENSG00000026025
0.784	1.31297449192248	0.568	3.71915076171346	0.636	0.11	astrocyte	ENSG00000108984
0.784	1.09405606035054	0.568	1.7389485092924	0.818	0.365	astrocyte	ENSG00000177606
0.782	1.04017370322839	0.564	1.77908803648074	0.909	0.422	astrocyte	ENSG00000184384
0.779	2.08318550893653	0.558	5.61070891169949	0.591	0.05	astrocyte	ENSG00000205364
0.777	1.49596189260866	0.554	2.36898716015231	0.727	0.24	astrocyte	ENSG00000109846
0.773	1.27800879628049	0.546	2.76522123392529	0.682	0.156	astrocyte	ENSG00000166925
0.773	0.941697205386928	0.546	1.64246046886099	0.818	0.395	astrocyte	ENSG00000113448
0.773	1.305874394809	0.546	4.04664238280818	0.591	0.062	astrocyte	ENSG00000144642
0.771	1.99062902772577	0.542	4.22226720823116	0.591	0.066	astrocyte	ENSG00000125144
0.771	1.4460232719393	0.542	8.24649959344875	0.545	0.006	astrocyte	ENSG00000075891
0.769	1.14633961147284	0.538	2.66593992026137	0.636	0.124	astrocyte	ENSG00000253736
0.769	1.14103714024752	0.538	2.7854957211454	0.636	0.132	astrocyte	ENSG00000155366
0.768	0.636419495069294	0.536	0.987170238153261	0.909	0.681	astrocyte	ENSG00000087086
0.764	1.13350432704235	0.528	1.93089599781904	0.727	0.3	astrocyte	ENSG00000189337
0.762	0.758925875453439	0.524	1.20006331262561	0.909	0.617	astrocyte	ENSG00000136156
0.762	0.889616072381154	0.524	2.13591841766601	0.682	0.183	astrocyte	ENSG00000149177
0.762	1.05591136423468	0.524	3.38996678126169	0.591	0.087	astrocyte	ENSG00000204592
0.762	0.928797896246755	0.524	1.71082667037307	0.727	0.266	astrocyte	ENSG00000168702
0.76	1.13941543668532	0.52	2.08387457023686	0.682	0.158	astrocyte	ENSG00000186439
0.757	1.88717166855349	0.514	5.19027776662544	0.545	0.049	astrocyte	ENSG00000164106
0.754	1.99745157972446	0.508	4.86819440031842	0.545	0.056	astrocyte	ENSG00000026508
0.753	1.3786778065684	0.506	2.72395290112358	0.636	0.171	astrocyte	ENSG00000179604
0.752	1.30944198928475	0.504	4.00717246274531	0.545	0.065	astrocyte	ENSG00000266964
0.752	1.41178868304596	0.504	3.33416366033514	0.591	0.105	astrocyte	ENSG00000169715
0.752	0.743560608299786	0.504	1.27137845329441	0.818	0.483	astrocyte	ENSG00000197746
0.751	0.944542513788986	0.502	1.47469618668238	0.818	0.405	astrocyte	ENSG00000170345
0.75	0.882170071745245	0.5	1.96984995011709	0.682	0.246	astrocyte	ENSG00000117592
0.749	1.07073286017133	0.498	2.33784663262933	0.636	0.205	astrocyte	ENSG00000149256
0.749	1.10595417436546	0.498	2.46336293439764	0.591	0.108	astrocyte	ENSG00000146592
0.748	1.32317529316165	0.496	3.04671237811665	0.591	0.13	astrocyte	ENSG00000172201
0.746	1.29211450625403	0.492	7.10323492488922	0.5	0.015	astrocyte	ENSG00000100427
0.746	0.584165624950966	0.492	0.986078198137757	0.909	0.463	astrocyte	ENSG00000150625
0.745	1.36041360269451	0.49	3.40049189574713	0.545	0.064	astrocyte	ENSG00000197943
0.745	2.80984523815048	0.49	7.62865933196345	0.5	0.017	astrocyte	ENSG00000196136
0.745	1.33212053866725	0.49	6.12605304926351	0.5	0.014	astrocyte	ENSG00000139155
0.744	1.64212932466564	0.488	5.8458241281451	0.5	0.014	astrocyte	ENSG00000075884
0.744	0.972835705313813	0.488	2.36062148565164	0.636	0.201	astrocyte	ENSG00000143797
0.743	1.17077126559575	0.486	3.6794912884788	0.545	0.095	astrocyte	ENSG00000189171
0.741	0.877298175811075	0.482	1.40724873333128	0.864	0.463	astrocyte	ENSG00000245532
0.74	1.14916619904897	0.48	2.70649781926254	0.591	0.143	astrocyte	ENSG00000112773
0.739	1.13192248962344	0.478	2.72805778098476	0.591	0.154	astrocyte	ENSG00000157827
0.737	0.695762634566843	0.474	1.28643211581822	0.727	0.343	astrocyte	ENSG00000108387
0.737	1.41191222083829	0.474	3.44986852188822	0.545	0.095	astrocyte	ENSG00000196569
0.736	0.656725916887691	0.472	1.37453832582756	0.682	0.179	astrocyte	ENSG00000117519
0.733	1.09975006820726	0.466	2.60376286597169	0.591	0.143	astrocyte	ENSG00000113140
0.731	1.61098180810427	0.462	3.31736780307035	0.591	0.22	astrocyte	ENSG00000104112
0.731	1.12401873011311	0.462	3.81935352770774	0.5	0.039	astrocyte	ENSG00000239381
0.73	1.19715978538272	0.46	4.13794335146429	0.5	0.057	astrocyte	ENSG00000135299
0.73	1.34050362732465	0.46	4.71749329572285	0.5	0.065	astrocyte	ENSG00000080493
0.729	1.4978489815869	0.458	4.53695150263801	0.5	0.061	astrocyte	ENSG00000058866
0.729	0.326427381494566	0.458	0.532990052273849	0.727	0.198	astrocyte	ENSG00000162998
0.727	1.6653779899755	0.454	9.39423109671988	0.455	0.002	astrocyte	ENSG00000243620
0.726	1.55720390857978	0.452	3.28415990327632	0.545	0.124	astrocyte	ENSG00000121101
0.726	1.42370328487118	0.452	7.48709585062322	0.455	0.004	astrocyte	ENSG00000008394
0.726	1.4248209392424	0.452	7.86399481292529	0.455	0.005	astrocyte	ENSG00000041982
0.726	1.3916042103823	0.452	8.31991075664439	0.455	0.005	astrocyte	ENSG00000176907
0.725	1.2190595811145	0.45	6.82019643487896	0.455	0.005	astrocyte	ENSG00000255595
0.725	1.38451947855464	0.45	6.53508149518547	0.455	0.004	astrocyte	ENSG00000135046
0.725	1.08828894235435	0.45	2.07524437534373	0.636	0.25	astrocyte	ENSG00000242808
0.724	0.850846511323214	0.448	1.92727509474969	0.636	0.223	astrocyte	ENSG00000173598
0.721	0.926321127000104	0.442	2.37837492768739	0.591	0.201	astrocyte	ENSG00000243927
0.721	0.751638702458415	0.442	1.36823613480388	0.682	0.273	astrocyte	ENSG00000160888
0.72	1.23850148393739	0.44	2.90905478724918	0.545	0.15	astrocyte	ENSG00000266402
0.719	1.17212663153272	0.438	2.96908203331168	0.5	0.073	astrocyte	ENSG00000142089
0.719	0.913078935158765	0.438	2.98354978803618	0.5	0.073	astrocyte	ENSG00000164929
0.718	1.01254196751811	0.436	2.47415213458303	0.545	0.137	astrocyte	ENSG00000148671
0.717	1.10199917971435	0.434	2.60671934884348	0.545	0.134	astrocyte	ENSG00000106538
0.716	1.40717893338251	0.432	2.48216464105461	0.591	0.185	astrocyte	ENSG00000099860
0.715	0.808511002560067	0.43	1.59932160333425	0.636	0.226	astrocyte	ENSG00000147862
0.714	1.19671297272192	0.428	3.21544731435578	0.5	0.093	astrocyte	ENSG00000198417
0.714	0.619257259305211	0.428	0.988108727188794	0.818	0.449	astrocyte	ENSG00000185565
0.713	0.767700118056731	0.426	1.27921382763934	0.864	0.567	astrocyte	ENSG00000140988
0.712	1.12118750105985	0.424	2.08705165293279	0.636	0.34	astrocyte	ENSG00000073910
0.711	1.10181551655613	0.422	3.10770860836743	0.5	0.109	astrocyte	ENSG00000103260
0.71	1.07746756134508	0.42	3.95144534057687	0.455	0.043	astrocyte	ENSG00000236790
0.71	1.38172917275374	0.42	3.43518783570936	0.5	0.107	astrocyte	ENSG00000092969
0.709	0.864616627576216	0.418	2.17956432272272	0.545	0.134	astrocyte	ENSG00000165795
0.709	0.819695590414189	0.418	1.98883538980904	0.591	0.238	astrocyte	ENSG00000132718
0.707	1.37255670608335	0.414	4.0789496481759	0.455	0.061	astrocyte	ENSG00000160678
0.706	1.16444236371585	0.412	3.02908833116787	0.5	0.094	astrocyte	ENSG00000064300
0.706	0.953832703476334	0.412	3.7823071961351	0.455	0.057	astrocyte	ENSG00000149131
0.705	0.543163734916148	0.41	1.50203239509449	0.545	0.123	astrocyte	ENSG00000077782
0.704	0.950347943561062	0.408	3.84788674590014	0.455	0.068	astrocyte	ENSG00000135919
0.703	1.04305293345038	0.406	2.40772341723312	0.545	0.227	astrocyte	ENSG00000102172
0.703	1.37519855449049	0.406	7.43763990335575	0.409	0.004	astrocyte	ENSG00000173077
0.703	0.854739841536387	0.406	1.5981781621481	0.682	0.35	astrocyte	ENSG00000158560
0.703	0.827341882029401	0.406	2.46610918343409	0.5	0.111	astrocyte	ENSG00000272168
0.703	1.06050185710349	0.406	2.39415207746408	0.545	0.192	astrocyte	ENSG00000112851
0.703	1.19157239202072	0.406	7.98492646189674	0.409	0.004	astrocyte	ENSG00000013297
0.702	1.04283276545172	0.404	2.41923092798928	0.545	0.187	astrocyte	ENSG00000171843
0.702	0.87830725439991	0.404	1.74872295538376	0.591	0.168	astrocyte	ENSG00000125462
0.701	0.770103423758191	0.402	2.31246410953131	0.5	0.094	astrocyte	ENSG00000184232
0.701	0.67024363165137	0.402	1.12794741456504	0.636	0.235	astrocyte	ENSG00000131016
0.701	1.05813160308682	0.402	2.11198709753255	0.591	0.262	astrocyte	ENSG00000155368
1	2.92892800807699	1	4.37194682747143	1	0.68	microglial cell	ENSG00000087086
1	3.41590643653081	1	5.61311905927718	1	0.252	microglial cell	ENSG00000166710
1	4.50062777448849	1	9.9493678850311	1	0.037	microglial cell	ENSG00000019582
0.999	3.41853916528663	0.998	5.21471365616974	1	0.353	microglial cell	ENSG00000205542
0.998	2.73136255803821	0.996	4.1972531223729	1	0.564	microglial cell	ENSG00000133112
0.99	2.42601498373606	0.98	3.69186618179989	1	0.47	microglial cell	ENSG00000075624
0.987	1.861906452622	0.974	2.94999885266726	1	0.566	microglial cell	ENSG00000140988
