p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.30017344586478e-191	8.60319349632216	0.682	0.006	4.73237130825864e-187	astrocyte	ENSG00000188488
1.04826469889771e-185	7.83526536436946	0.591	0.004	3.81547385104787e-181	astrocyte	ENSG00000196092
3.94774768041797e-138	8.24649959344875	0.545	0.006	1.43690120071853e-133	astrocyte	ENSG00000075891
1.67969253256506e-125	7.08272174169386	0.727	0.013	6.11374488003031e-121	astrocyte	ENSG00000136732
7.25959894405629e-120	10.6909075080982	0.182	0	2.64234882365761e-115	astrocyte	ENSG00000137507
3.29941836835868e-114	7.48709585062322	0.455	0.004	1.20092229771519e-109	astrocyte	ENSG00000008394
3.21877021498446e-110	7.86399481292529	0.455	0.005	1.17156798285004e-105	astrocyte	ENSG00000041982
4.66538800458651e-110	8.31991075664439	0.455	0.005	1.6981079259094e-105	astrocyte	ENSG00000176907
1.06434659376511e-104	7.98492646189674	0.409	0.004	3.87400873198626e-100	astrocyte	ENSG00000013297
4.98207303140313e-96	11.2210817760812	0.182	0	1.81337494197011e-91	astrocyte	ENSG00000143768
8.25958725127358e-90	6.53508149518547	0.455	0.004	3.00632456771856e-85	astrocyte	ENSG00000135046
1.5452671103949e-89	8.16183141698956	0.273	0.002	5.62446322841535e-85	astrocyte	ENSG00000137959
7.58410273047247e-75	8.86601227061164	0.227	0.001	2.76046171183737e-70	astrocyte	ENSG00000149633
1.06631011524763e-71	7.65998242264255	0.273	0.002	3.88115555747832e-67	astrocyte	ENSG00000162618
7.88039139372669e-61	9.03343559298337	0.045	0	2.86830485948864e-56	astrocyte	ENSG00000172061
1.93489617402975e-60	5.8458241281451	0.5	0.014	7.04263509423349e-56	astrocyte	ENSG00000075884
2.38718061499819e-60	7.10323492488922	0.5	0.015	8.68886000247042e-56	astrocyte	ENSG00000100427
4.3546878618638e-60	6.7835753988782	0.182	0.001	1.58501928796119e-55	astrocyte	ENSG00000124205
2.15670718715962e-59	5.7925493721892	0.591	0.02	7.84998281982357e-55	astrocyte	ENSG00000134531
7.68811061976516e-59	6.12605304926351	0.5	0.014	2.79831850338212e-54	astrocyte	ENSG00000139155
2.63367903086985e-56	5.8455474250765	0.273	0.004	9.58606493656006e-52	astrocyte	ENSG00000048540
1.82605250364846e-54	5.94857529917833	0.136	0.001	6.64646590277966e-50	astrocyte	ENSG00000064886
6.92440924901453e-54	6.3218762019853	0.318	0.003	2.52034647845631e-49	astrocyte	ENSG00000102760
2.02294344264529e-51	7.19764365345247	0.591	0.029	7.36310954254033e-47	astrocyte	ENSG00000109610
4.24704723353721e-50	5.88991315040374	0.318	0.007	1.54584025206288e-45	astrocyte	ENSG00000108846
1.02403413971483e-48	6.15202879618156	0.273	0.005	3.72727946173404e-44	astrocyte	ENSG00000186897
9.96602772725877e-47	5.23922123296297	0.318	0.007	3.62743477216765e-42	astrocyte	ENSG00000104313
2.42688462695061e-46	4.79813658051791	0.818	0.063	8.83337466517483e-42	astrocyte	ENSG00000153902
1.46433324120189e-44	5.14417677990809	0.636	0.035	5.32988013132665e-40	astrocyte	ENSG00000018625
