myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.855	1.35912864021258	0.71	2.00499774955457	0.954	0.602	club cell	ENSG00000101443
0.824	1.21193557506821	0.648	2.42224980094593	0.842	0.342	club cell	ENSG00000110492
0.808	1.49269900036704	0.616	2.29681220885321	0.824	0.28	club cell	ENSG00000057149
0.787	1.02125083939059	0.574	2.49612526341563	0.714	0.192	club cell	ENSG00000198643
0.786	1.00678824599802	0.572	1.77078632318068	0.763	0.244	club cell	ENSG00000182853
0.769	0.678027656030678	0.538	0.993265183056926	0.991	0.966	club cell	ENSG00000197956
0.767	0.757679136650072	0.534	1.19566811992045	0.93	0.754	club cell	ENSG00000131981
0.766	0.696171536286451	0.532	1.0530819591841	0.97	0.655	club cell	ENSG00000171345
0.762	0.735366263071054	0.524	1.26703174073348	0.894	0.483	club cell	ENSG00000150687
0.75	1.4298315081462	0.5	2.24372275951474	0.793	0.51	club cell	ENSG00000196154
0.746	1.11195936179264	0.492	1.81389053516725	0.684	0.218	club cell	ENSG00000167653
0.744	0.673674893514049	0.488	1.22085886613474	0.851	0.593	club cell	ENSG00000160932
0.743	0.958162606568199	0.486	1.49602969721731	0.927	0.726	club cell	ENSG00000106211
0.742	1.25316084309086	0.484	2.02523283268653	0.809	0.484	club cell	ENSG00000164687
0.738	0.799449215838803	0.476	1.31134912117174	0.857	0.544	club cell	ENSG00000106541
0.733	1.21806756765258	0.466	2.22329275818153	0.663	0.269	club cell	ENSG00000163993
0.72	0.530750757857093	0.44	0.968626250332029	0.784	0.397	club cell	ENSG00000135480
0.718	0.869801216961428	0.436	2.76919854449114	0.538	0.122	club cell	ENSG00000173610
0.717	0.659996821412037	0.434	1.17056018822106	0.836	0.526	club cell	ENSG00000165092
0.715	0.622984878106799	0.43	0.95658961657321	0.954	0.873	club cell	ENSG00000163191
0.714	0.721950686321031	0.428	1.11991480160979	0.736	0.368	club cell	ENSG00000148346
0.712	0.863033129378211	0.424	1.25624731040733	0.927	0.723	club cell	ENSG00000124107
0.71	0.82844555241919	0.42	1.59400240112814	0.675	0.301	club cell	ENSG00000248144
0.71	0.440100782962455	0.42	0.714352519210205	0.581	0.136	club cell	ENSG00000197353
0.705	0.623533324378692	0.41	0.948700699744613	0.927	0.807	club cell	ENSG00000130066
0.705	1.45387211780456	0.41	2.88505764307807	0.65	0.276	club cell	ENSG00000121552
0.998	2.18175707939736	0.996	7.49805846959037	1	0.01	myofibroblast cell	ENSG00000106819
0.984	2.90732065141143	0.968	4.75475080120803	1	0.285	myofibroblast cell	ENSG00000118523
0.951	1.13389671792267	0.902	1.8512674271324	1	0.096	myofibroblast cell	ENSG00000011465
0.948	1.68391908850978	0.896	3.2511597435283	1	0.208	myofibroblast cell	ENSG00000122786
