p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.46966701875172e-111	2.49612526341563	0.714	0.192	1.52915480843242e-106	club cell	ENSG00000198643
5.08976384636505e-105	2.42224980094593	0.842	0.342	1.42294527852828e-100	club cell	ENSG00000110492
9.44522820056662e-104	2.29681220885321	0.824	0.28	2.64060244803241e-99	club cell	ENSG00000057149
7.70678598438115e-103	2.00499774955457	0.954	0.602	2.15458615765344e-98	club cell	ENSG00000101443
1.40802620639689e-96	1.77078632318068	0.763	0.244	3.93641886522377e-92	club cell	ENSG00000182853
5.41920362886294e-88	2.76919854449114	0.538	0.122	1.51504675852121e-83	club cell	ENSG00000173610
8.13598967804968e-81	2.85626138227976	0.477	0.101	2.27457863429235e-76	club cell	ENSG00000197446
1.02111417642813e-77	1.81389053516725	0.684	0.218	2.85472890304013e-73	club cell	ENSG00000167653
1.72062296789844e-75	0.714352519210205	0.581	0.136	4.81034563135366e-71	club cell	ENSG00000197353
3.00701164205883e-63	2.22329275818153	0.663	0.269	8.40670244770386e-59	club cell	ENSG00000163993
6.59693855706132e-63	2.33669217873075	0.532	0.156	1.84430611239763e-58	club cell	ENSG00000167656
1.07686310757468e-60	1.26703174073348	0.894	0.483	3.01058618984653e-56	club cell	ENSG00000150687
8.43814627946727e-58	1.0530819591841	0.97	0.655	2.35905255535066e-53	club cell	ENSG00000171345
3.20313585498562e-57	0.993265183056926	0.991	0.966	8.95500690978329e-53	club cell	ENSG00000197956
6.8135909471621e-57	1.19566811992045	0.93	0.754	1.90487562109811e-52	club cell	ENSG00000131981
9.27566529855412e-55	2.24372275951474	0.793	0.51	2.59319774751678e-50	club cell	ENSG00000196154
2.11631345936923e-52	2.02523283268653	0.809	0.484	5.91657753835857e-48	club cell	ENSG00000164687
7.12826033111073e-51	2.07963389596584	0.508	0.183	1.99284774076863e-46	club cell	ENSG00000111907
1.47957693757042e-50	3.47765731933415	0.158	0.013	4.13645324436561e-46	club cell	ENSG00000259439
1.91307074551894e-50	3.14838274440613	0.31	0.065	5.3483718832473e-46	club cell	ENSG00000206072
3.51874658851025e-50	1.22085886613474	0.851	0.593	9.8373598374981e-46	club cell	ENSG00000160932
3.58944260381157e-49	1.59400240112814	0.675	0.301	1.0035004687476e-44	club cell	ENSG00000248144
4.35705017044172e-49	2.55403451848649	0.45	0.149	1.21810051615039e-44	club cell	ENSG00000042980
4.78768321876958e-49	2.88505764307807	0.65	0.276	1.33849259747141e-44	club cell	ENSG00000121552
1.02992786280553e-48	1.31134912117174	0.857	0.544	2.87936932604541e-44	club cell	ENSG00000106541
6.26942776281023e-48	1.49602969721731	0.927	0.726	1.75274391964886e-43	club cell	ENSG00000106211
1.8104016872581e-47	3.56342510583103	0.152	0.013	5.06133999706747e-43	club cell	ENSG00000009709
7.47465160210651e-47	0.968626250332029	0.784	0.397	2.08968834840092e-42	club cell	ENSG00000135480
1.11908805579014e-46	1.90624372274872	0.562	0.231	3.12863447757249e-42	club cell	ENSG00000137648
1.83521854600358e-46	2.31966338980266	0.337	0.081	5.1307204890622e-42	club cell	ENSG00000005249
2.9717257393606e-46	1.11991480160979	0.736	0.368	8.30805364953042e-42	club cell	ENSG00000148346
3.04745158400147e-44	1.83103236121874	0.562	0.232	8.51976039339292e-40	club cell	ENSG00000047457
6.73037368567538e-44	1.36747597180715	0.678	0.312	1.88161057130427e-39	club cell	ENSG00000161798
1.68403694656286e-41	0.712084801053888	0.301	0.07	4.70806209150577e-37	club cell	ENSG00000134827
2.31520647808429e-41	1.70404820292321	0.587	0.267	6.47262275078025e-37	club cell	ENSG00000109062
2.50786890907251e-41	1.17056018822106	0.836	0.526	7.01124910909402e-37	club cell	ENSG00000165092
8.10759178412277e-41	1.53639488329095	0.693	0.366	2.2666394350872e-36	club cell	ENSG00000108602
6.4052960015022e-40	2.67238061396372	0.374	0.117	1.79072860313997e-35	club cell	ENSG00000103316
7.65335742405185e-40	2.26173392522388	0.465	0.186	2.13964913504217e-35	club cell	ENSG00000140263
6.6994126752573e-39	3.49533143776681	0.195	0.031	1.87295480162168e-34	club cell	ENSG00000087250
4.36025840607186e-38	3.80718837101646	0.514	0.232	1.21899744258551e-33	club cell	ENSG00000263639
1.18298499144448e-37	2.18247804832688	0.41	0.144	3.30727114058134e-33	club cell	ENSG00000176920
3.88433963930305e-37	0.95658961657321	0.954	0.873	1.08594483295995e-32	club cell	ENSG00000163191
4.18807584714991e-37	2.45700114736592	0.219	0.042	1.1708603645877e-32	club cell	ENSG00000138083
6.61161670620127e-37	1.25624731040733	0.927	0.723	1.84840968255269e-32	club cell	ENSG00000124107
6.65943269007544e-37	1.64007125812454	0.477	0.187	1.86177759716439e-32	club cell	ENSG00000162174
9.28977491697126e-37	1.02005352574654	0.453	0.158	2.59714237353766e-32	club cell	ENSG00000124102
1.25652429727199e-36	3.3338152551498	0.252	0.059	3.51286497788331e-32	club cell	ENSG00000016602
2.66829235586425e-36	1.48645288358827	0.538	0.236	7.45974493928968e-32	club cell	ENSG00000151632
2.89831565888483e-36	1.79962535792699	0.653	0.359	8.10282108754432e-32	club cell	ENSG00000109861
7.5758248714499e-36	1.40020428958379	0.684	0.409	2.11797335931125e-31	club cell	ENSG00000051620
2.62988191898722e-35	1.07423154905436	0.748	0.447	7.35236088091258e-31	club cell	ENSG00000102554
2.81141822680717e-35	1.2226802333591	0.793	0.497	7.85988193668482e-31	club cell	ENSG00000189377
3.04331878465569e-35	1.25027789120321	0.733	0.482	8.50820632626192e-31	club cell	ENSG00000117448
1.34196649432131e-34	3.18963482296136	0.386	0.145	3.75173572817408e-30	club cell	ENSG00000127324
2.36659106567782e-34	1.63902863720383	0.742	0.526	6.61627864231548e-30	club cell	ENSG00000100219
3.83461938664008e-34	1.92372229884605	0.389	0.141	1.07204454192297e-29	club cell	ENSG00000116299
5.01463173391046e-34	0.948700699744613	0.927	0.807	1.40194059384935e-29	club cell	ENSG00000130066
6.21804947979416e-34	0.764617163474035	0.824	0.553	1.73838009306605e-29	club cell	ENSG00000116016
1.53048038172747e-33	1.52098784685378	0.617	0.341	4.2787640031955e-29	club cell	ENSG00000065809
1.60861998457823e-33	1.84034046050905	0.432	0.168	4.49721889088535e-29	club cell	ENSG00000177685
2.12113536943441e-32	0.985727462832953	0.894	0.619	5.93005815232779e-28	club cell	ENSG00000089356
2.42205716183564e-32	1.16052928812442	0.863	0.6	6.77134520734391e-28	club cell	ENSG00000165272
3.12977263909581e-32	1.95392203641384	0.377	0.136	8.74990536712015e-28	club cell	ENSG00000104140
4.38075716368276e-32	2.09639702335673	0.359	0.124	1.22472828025079e-27	club cell	ENSG00000094755
1.65230922122716e-31	1.25642889524744	0.717	0.484	4.61936088978478e-27	club cell	ENSG00000171159
2.03832365253884e-31	2.185224601448	0.383	0.148	5.69854143540283e-27	club cell	ENSG00000135842
3.63964062461749e-31	2.48883157668193	0.316	0.103	1.01753432942431e-26	club cell	ENSG00000164825
3.77835489672091e-31	1.05314825509955	0.754	0.531	1.05631467847627e-26	club cell	ENSG00000164733
3.9068487057561e-31	2.44253255743157	0.246	0.063	1.09223769266823e-26	club cell	ENSG00000256870
4.04013551007016e-31	0.832451452483765	0.723	0.429	1.12950068455032e-26	club cell	ENSG00000121858
5.6657021306382e-31	1.24008316944163	0.59	0.274	1.58396034466252e-26	club cell	ENSG00000243955
6.15606546764504e-31	1.89167918184777	0.468	0.209	1.72105122278952e-26	club cell	ENSG00000019102
1.34412430766542e-30	0.908130432909935	0.845	0.603	3.75776832694022e-26	club cell	ENSG00000112378
1.53205852185916e-30	1.01956426072158	0.778	0.514	4.28317600956164e-26	club cell	ENSG00000051523
2.71617670617846e-30	0.748383494516276	0.918	0.806	7.59361521746312e-26	club cell	ENSG00000125534
3.08197588628947e-30	2.02916225168981	0.429	0.192	8.61627998529948e-26	club cell	ENSG00000136868
3.33876465864975e-30	2.0577987721169	0.426	0.184	9.33418435618712e-26	club cell	ENSG00000115112
5.45129347364022e-30	2.39437443285877	0.277	0.082	1.5240181164256e-25	club cell	ENSG00000162949
5.83878361382843e-29	1.46042264653941	0.535	0.279	1.63234873491801e-24	club cell	ENSG00000168528
9.83268065071147e-29	2.19601353769488	0.365	0.143	2.74892252951941e-24	club cell	ENSG00000137642
1.88796787240166e-28	3.05967746408806	0.116	0.014	5.27819178087332e-24	club cell	ENSG00000177300
2.7592419538944e-27	3.81741374887577	0.103	0.012	7.71401273050257e-23	club cell	ENSG00000108231
2.94178504811348e-27	2.60355495107718	0.228	0.063	8.22434845901087e-23	club cell	ENSG00000079841
2.97264520184655e-27	1.39809098167076	0.38	0.154	8.31062419080239e-23	club cell	ENSG00000105894
1.15731196475295e-26	1.5646049213401	0.353	0.129	3.23549705985981e-22	club cell	ENSG00000114638
1.75064263607734e-26	0.976260905735491	0.881	0.742	4.89427161768143e-22	club cell	ENSG00000160213
2.58889508907154e-26	0.963723009728469	0.793	0.615	7.23777400051731e-22	club cell	ENSG00000178741
4.64482841693174e-26	0.947919911707943	0.72	0.508	1.29855468052161e-21	club cell	ENSG00000197448
5.54024428677561e-26	1.81521971131743	0.419	0.19	1.54888609525386e-21	club cell	ENSG00000157613
6.91310171566431e-26	0.858306750595139	0.714	0.447	1.93269584664827e-21	club cell	ENSG00000181885
1.24496952884192e-25	1.28346320597999	0.69	0.437	3.48056131178337e-21	club cell	ENSG00000188643
