myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.988	3.86496988384643	0.976	6.04499234619179	0.993	0.287	Astrocytes	Mt1
0.975	3.60183121300427	0.95	6.72263129362695	0.961	0.079	Astrocytes	Aldoc
0.971	3.40403715142688	0.942	5.49552640815587	0.969	0.109	Astrocytes	Atp1a2
0.963	3.65793762976676	0.926	6.41717109820427	0.947	0.144	Astrocytes	Slc1a2
0.959	1.89066996671256	0.918	2.76188050127168	0.996	0.175	Astrocytes	Apoe
0.949	2.87340031785864	0.898	4.80440365771688	0.939	0.204	Astrocytes	Sparcl1
0.942	0.915093992621691	0.884	1.325933540351	0.996	0.471	Astrocytes	Cst3
0.936	3.20688309523727	0.872	6.62624743812099	0.888	0.066	Astrocytes	Mt2
0.936	3.07843035956747	0.872	6.58274690358205	0.886	0.061	Astrocytes	Clu
0.919	2.41157175182852	0.838	3.91782967512493	0.93	0.372	Astrocytes	Mt3
0.919	2.80422753380548	0.838	5.56584407669976	0.869	0.108	Astrocytes	Atp1b2
0.919	2.90740894112403	0.838	7.21896734720449	0.847	0.036	Astrocytes	Plpp3
0.919	2.67533157271701	0.838	8.10535506407123	0.842	0.011	Astrocytes	Ntsr2
0.916	2.64548729320778	0.832	5.61329608333872	0.862	0.074	Astrocytes	Ndrg2
0.906	2.62159969456619	0.812	6.89709667313477	0.823	0.028	Astrocytes	Gpr37l1
0.889	2.14220831934124	0.778	4.86103503920371	0.812	0.075	Astrocytes	Prdx6
0.882	2.34795403364063	0.764	5.43602518240486	0.79	0.046	Astrocytes	Bcan
0.882	2.69703407023482	0.764	6.11922326184358	0.786	0.05	Astrocytes	Slc1a3
0.878	2.43200822631385	0.756	6.27341438547466	0.772	0.029	Astrocytes	Gja1
0.866	3.31066833837018	0.732	9.10528691995804	0.737	0.014	Astrocytes	Slc6a11
0.864	2.0333910506859	0.728	4.06788205607036	0.794	0.168	Astrocytes	Ttyh1
0.864	1.91737016181058	0.728	4.12876044856959	0.777	0.096	Astrocytes	Mmd2
0.862	1.75727087528728	0.724	2.78346850887305	0.869	0.281	Astrocytes	Dbi
0.862	1.78786160722292	0.724	2.87685966390451	0.867	0.279	Astrocytes	Glul
0.858	2.47746976713916	0.716	7.55110309192077	0.724	0.018	Astrocytes	Htra1
0.853	2.02623502369161	0.706	4.97762083804208	0.737	0.051	Astrocytes	Ptprz1
0.853	2.58341167863395	0.706	7.92652809082277	0.711	0.007	Astrocytes	Aqp4
0.846	2.20084216836342	0.692	5.93066238160931	0.711	0.034	Astrocytes	Slc4a4
0.84	2.1721056881433	0.68	3.68412162779346	0.807	0.337	Astrocytes	Cpe
0.838	1.75325243894801	0.676	3.64444330179446	0.757	0.18	Astrocytes	Ntrk2
0.825	2.0676994111131	0.65	6.86968384458985	0.659	0.017	Astrocytes	Pla2g7
0.823	1.35037797972628	0.646	2.19247485002393	0.88	0.484	Astrocytes	Ckb
0.817	1.59145303514995	0.634	3.05457188019314	0.718	0.122	Astrocytes	Serpine2
0.812	2.12451242484122	0.624	10.5299213671127	0.626	0.002	Astrocytes	Fgfr3
0.812	0.536821241727721	0.624	0.84346681219751	0.683	0.052	Astrocytes	Fabp7
0.807	0.994625466475044	0.614	1.52778103436107	0.932	0.55	Astrocytes	Cd81
0.8	1.71741761446352	0.6	3.33045865834355	0.7	0.145	Astrocytes	Slc6a1
0.799	1.72089283351152	0.598	4.90118332486293	0.628	0.046	Astrocytes	Enho
0.798	1.42625649943958	0.596	2.56272229363392	0.781	0.399	Astrocytes	Prnp
0.797	2.61378206136546	0.594	7.41666848821705	0.602	0.009	Astrocytes	Mlc1
0.796	1.92706773147022	0.592	3.8314959211889	0.67	0.143	Astrocytes	Cspg5
0.79	1.68771718704794	0.58	4.70973804094797	0.615	0.059	Astrocytes	Scg3
0.79	1.7132467689821	0.58	7.10730165333852	0.586	0.007	Astrocytes	Acsbg1
0.789	1.69099207070097	0.578	4.69176369304029	0.615	0.07	Astrocytes	Glud1
0.786	2.03836864326903	0.572	5.60405861522861	0.591	0.029	Astrocytes	Mfge8
0.782	1.93919608914933	0.564	7.0473436776155	0.571	0.013	Astrocytes	Tril
0.781	1.67059366756282	0.562	4.96658575625663	0.591	0.046	Astrocytes	Gstm1
0.778	1.81562433501537	0.556	8.8946153855802	0.558	0.005	Astrocytes	Cldn10
0.778	1.31190031411354	0.556	2.63421290236285	0.628	0.071	Astrocytes	Cxcl14
0.765	1.65731108154009	0.53	3.75025917779045	0.606	0.112	Astrocytes	Kcnj10
0.763	1.06982503747147	0.526	2.00979418259662	0.648	0.155	Astrocytes	Cd63
0.761	1.40027537478749	0.522	3.3980257971683	0.586	0.085	Astrocytes	S100a1
0.757	0.793093222078736	0.514	1.24275999238058	0.84	0.357	Astrocytes	Scd2
0.752	0.31391631765185	0.504	0.479950821717766	0.81	0.414	Astrocytes	Ptn
0.748	1.74037144995929	0.496	3.39866417386803	0.567	0.083	Astrocytes	Id3
0.742	1.17628441269048	0.484	2.00972090165684	0.759	0.368	Astrocytes	Gpm6b
0.736	1.36854921964735	0.472	5.21274841308367	0.488	0.024	Astrocytes	Acsl6
0.735	1.23825294198197	0.47	2.89180196053455	0.567	0.119	Astrocytes	Ramp1
0.734	1.41632591473907	0.468	3.45647566646596	0.554	0.129	Astrocytes	Gstm5
0.727	1.42487857191242	0.454	4.74469447553799	0.477	0.029	Astrocytes	Nkain4
0.724	1.54138352442707	0.448	4.08311671297896	0.486	0.042	Astrocytes	Fxyd1
0.723	1.60683041259006	0.446	8.06633358343638	0.449	0.005	Astrocytes	Slc7a10
0.719	1.50749315364086	0.438	6.75392180028255	0.446	0.009	Astrocytes	S1pr1
0.718	1.47948181074224	0.436	6.04615731156627	0.444	0.011	Astrocytes	Fam107a
0.717	1.24223351404894	0.434	4.58116275199339	0.462	0.039	Astrocytes	Hepacam
0.715	1.27681443897598	0.43	4.96396953640648	0.451	0.027	Astrocytes	Tmem47
0.715	1.30979237384611	0.43	2.3730159831263	0.65	0.362	Astrocytes	Tspan7
0.715	0.938673715047622	0.43	1.64895211129884	0.72	0.464	Astrocytes	Psap
0.715	1.65578452074681	0.43	5.17773974060488	0.442	0.015	Astrocytes	Timp4
0.713	1.57839632341155	0.426	6.68682338457127	0.433	0.009	Astrocytes	Btbd17
0.712	1.28939381082387	0.424	5.30033408128933	0.435	0.012	Astrocytes	Sox9
0.712	1.53639442308904	0.424	4.99095635112658	0.453	0.041	Astrocytes	Ncan
0.712	1.53283354933999	0.424	5.00899768169379	0.453	0.039	Astrocytes	Fjx1
0.712	1.76641400718661	0.424	4.62597211748567	0.446	0.024	Astrocytes	Hes5
0.711	1.24630443234822	0.422	7.0934141188083	0.427	0.005	Astrocytes	Slc25a18
0.708	1.08933639123489	0.416	2.35245855632173	0.492	0.077	Astrocytes	Rgcc
0.707	0.772261642753508	0.414	1.37048617501951	0.67	0.302	Astrocytes	Zbtb20
0.706	0.935318263395176	0.412	1.77315074808592	0.639	0.295	Astrocytes	Ldhb
0.704	1.17621442252195	0.408	5.0385927278241	0.427	0.024	Astrocytes	Tst
0.703	1.46157316757084	0.406	6.09754506830391	0.416	0.012	Astrocytes	F3
0.701	1.39040126894824	0.402	4.22356448956235	0.442	0.053	Astrocytes	Luzp2
0.701	1.12858839132254	0.402	3.72741738361326	0.444	0.058	Astrocytes	Asrgl1
1	3.08768035052407	1	11.6458518018993	1	0.002	Choroid plexus epithelial cells	Sostdc1
1	6.09746245902009	1	9.61534334989995	1	0.177	Choroid plexus epithelial cells	Enpp2
1	2.83056531949692	1	10.7037084804403	1	0.003	Choroid plexus epithelial cells	Clic6
