p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.95121449291668e-230	10.6949340136169	0.571	0.002	3.66574666784257e-226	Ast_482	Myoc
1.83507072870896e-153	8.6932452179216	0.429	0.002	3.44754737802552e-149	Ast_482	Slc36a2
9.06286973178904e-95	10.5376158179818	0.143	0	1.70264133651121e-90	Ast_482	Vsx1
3.90832443480226e-86	6.58382184932168	0.643	0.012	7.34256911566301e-82	Ast_482	C4b
7.41468481017138e-72	6.93657297005119	0.5	0.008	1.3929968352869e-67	Ast_482	Aplnr
5.79414822913108e-62	7.49279143639856	1	0.049	1.08854662780686e-57	Ast_482	Gfap
5.15408978080191e-58	6.42989704441805	0.286	0.003	9.68298847119256e-54	Ast_482	Cd44
2.5203751064524e-55	4.8545617214146	0.929	0.044	4.73502871249212e-51	Ast_482	Padi2
3.69737395652691e-54	6.90140806662546	0.286	0.003	6.9462564521271e-50	Ast_482	Sema3b
2.92876716372253e-49	5.39102063091659	0.357	0.006	5.50227487048553e-45	Ast_482	Ccdc3
2.83270848487823e-48	9.81740779029634	0.071	0	5.32180943054072e-44	Ast_482	Tpte
6.2327761552929e-48	8.08890167001311	0.143	0.001	1.17095165629488e-43	Ast_482	Elf5
5.51717272399573e-47	5.69667789441229	0.429	0.01	1.03651123965708e-42	Ast_482	Hspb8
1.03423431405946e-39	4.93897897658172	0.429	0.012	1.94301600582351e-35	Ast_482	Tnc
5.00804004105494e-38	4.05869313354826	0.929	0.064	9.40860482512992e-34	Ast_482	Agt
1.36664493888829e-34	5.15110828011263	0.357	0.01	2.56751584668942e-30	Ast_482	Emb
4.46432344036534e-34	4.07969640696122	0.929	0.075	8.38712444741437e-30	Ast_482	Il6st
4.58065649553519e-33	5.75553435032756	0.286	0.006	8.60567935816197e-29	Ast_482	Cidea
5.40777743916838e-33	5.69808453490364	0.214	0.003	1.01595914749656e-28	Ast_482	Aspg
1.16152710234255e-30	4.9480188616406	0.929	0.091	2.18216096717094e-26	Ast_482	Fbxo2
2.63123120708258e-30	4.27659796975005	0.929	0.09	4.94329406874605e-26	Ast_482	Slc38a1
1.31407759588621e-29	2.33578309902535	1	0.095	2.46875757939142e-25	Ast_482	Mlc1
4.30046613875475e-29	5.35109027287507	0.286	0.007	8.07928573487855e-25	Ast_482	Cpxm1
4.65925933895049e-29	4.81374756082132	1	0.11	8.75335052008628e-25	Ast_482	Aqp4
8.60990959759123e-29	4.24931919779193	0.643	0.042	1.61754371609946e-24	Ast_482	Sulf2
9.30215859186973e-28	6.51388502123613	0.143	0.002	1.74759653465457e-23	Ast_482	Lonrf3
2.2893357585697e-26	4.1004753468152	0.786	0.066	4.30097508962489e-22	Ast_482	Slc25a18
8.6638878216966e-25	8.08720453644579	0.071	0	1.62768460506214e-20	Ast_482	Plin4
9.30840731605758e-25	6.71080227212371	0.071	0	1.74877048246774e-20	Ast_482	Nyx
9.30840731605758e-25	5.96771683254077	0.071	0	1.74877048246774e-20	Ast_482	Srpx2
2.15932362047677e-24	6.83298908111254	0.143	0.002	4.05672128578971e-20	Ast_482	S100a4
7.60219511042657e-24	3.89552579657639	0.786	0.075	1.42822439539584e-19	Ast_482	Oat
9.71684941662326e-24	4.15602241947769	0.357	0.015	1.82550449990101e-19	Ast_482	Igsf1
1.20082501951562e-23	4.30657613489962	0.643	0.052	2.255989964164e-19	Ast_482	Slc16a1
2.7030301886623e-23	3.72147890331044	0.357	0.015	5.07818281543986e-19	Ast_482	C1ql1
2.79947463593904e-23	3.84864124465556	0.643	0.051	5.25937299853867e-19	Ast_482	Sfxn5
4.17102399733725e-22	4.86144906119651	0.357	0.016	7.83610278379748e-18	Ast_482	Prkag2
5.22434971286708e-22	4.25080379275094	0.429	0.023	9.81498580556339e-18	Ast_482	Man1c1
