p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	10.5299213671127	0.626	0.002	0	Astrocytes	Fgfr3
0	9.10528691995804	0.737	0.014	0	Astrocytes	Slc6a11
0	8.8946153855802	0.558	0.005	0	Astrocytes	Cldn10
0	8.10535506407123	0.842	0.011	0	Astrocytes	Ntsr2
0	7.92652809082277	0.711	0.007	0	Astrocytes	Aqp4
0	7.55110309192077	0.724	0.018	0	Astrocytes	Htra1
0	7.41666848821705	0.602	0.009	0	Astrocytes	Mlc1
0	7.21896734720449	0.847	0.036	0	Astrocytes	Plpp3
0	7.10730165333852	0.586	0.007	0	Astrocytes	Acsbg1
0	6.89709667313477	0.823	0.028	0	Astrocytes	Gpr37l1
0	6.86968384458985	0.659	0.017	0	Astrocytes	Pla2g7
0	6.72263129362695	0.961	0.079	0	Astrocytes	Aldoc
0	6.62624743812099	0.888	0.066	0	Astrocytes	Mt2
0	6.58274690358205	0.886	0.061	0	Astrocytes	Clu
0	6.41717109820427	0.947	0.144	0	Astrocytes	Slc1a2
0	6.27341438547466	0.772	0.029	0	Astrocytes	Gja1
0	6.11922326184358	0.786	0.05	0	Astrocytes	Slc1a3
0	6.04499234619179	0.993	0.287	0	Astrocytes	Mt1
0	5.93066238160931	0.711	0.034	0	Astrocytes	Slc4a4
0	5.61329608333872	0.862	0.074	0	Astrocytes	Ndrg2
0	5.56584407669976	0.869	0.108	0	Astrocytes	Atp1b2
0	5.49552640815587	0.969	0.109	0	Astrocytes	Atp1a2
0	5.43602518240486	0.79	0.046	0	Astrocytes	Bcan
0	4.97762083804208	0.737	0.051	0	Astrocytes	Ptprz1
0	4.86103503920371	0.812	0.075	0	Astrocytes	Prdx6
0	2.76188050127168	0.996	0.175	0	Astrocytes	Apoe
6.72446887580887e-304	7.0473436776155	0.571	0.013	1.26332596769821e-299	Astrocytes	Tril
9.90619307409776e-302	4.80440365771688	0.939	0.204	1.86107649283075e-297	Astrocytes	Sparcl1
1.47959785464654e-276	4.12876044856959	0.777	0.096	2.77972048952445e-272	Astrocytes	Mmd2
1.84237854693652e-270	5.60405861522861	0.591	0.029	3.46127657612964e-266	Astrocytes	Mfge8
5.87389192603367e-260	0.84346681219751	0.683	0.052	1.10352807614395e-255	Astrocytes	Fabp7
6.73026012132395e-260	4.90118332486293	0.628	0.046	1.26441396899313e-255	Astrocytes	Enho
3.51878369280928e-249	8.06633358343638	0.449	0.005	6.61073892368079e-245	Astrocytes	Slc7a10
1.51115952787727e-236	4.96658575625663	0.591	0.046	2.83901540502302e-232	Astrocytes	Gstm1
1.60523194852458e-234	7.0934141188083	0.427	0.005	3.01574926169313e-230	Astrocytes	Slc25a18
2.26012053287352e-233	6.75392180028255	0.446	0.009	4.24608844510948e-229	Astrocytes	S1pr1
2.4950969543166e-230	4.70973804094797	0.615	0.059	4.6875386480746e-226	Astrocytes	Scg3
4.12247747738241e-228	6.04615731156627	0.444	0.011	7.74489843675834e-224	Astrocytes	Fam107a
5.47902944854337e-227	6.68682338457127	0.433	0.009	1.02934526249784e-222	Astrocytes	Btbd17
2.40325489274516e-225	4.06788205607036	0.794	0.168	4.51499496700033e-221	Astrocytes	Ttyh1
2.46747314055783e-220	5.21274841308367	0.488	0.024	4.63564178916599e-216	Astrocytes	Acsl6
6.35645387102869e-219	1.325933540351	0.996	0.471	1.19418698875016e-214	Astrocytes	Cst3
