myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.92	3.10611049019781	0.84	4.81751806704596	0.946	0.548	Astrocytes	MSTRG.22094
0.91	2.30271453821028	0.82	4.15567222570206	0.873	0.119	Astrocytes	MSTRG.13997
0.902	2.82246007952398	0.804	4.36451385257352	0.898	0.405	Astrocytes	MSTRG.7309
0.9	3.04785986033855	0.8	4.56362954005283	0.883	0.238	Astrocytes	MSTRG.17304
0.879	2.72478726595951	0.758	4.57078038002833	0.816	0.141	Astrocytes	MSTRG.12405
0.878	1.85202046034673	0.756	2.77892033818232	0.952	0.532	Astrocytes	MSTRG.13048
0.876	1.70034182762766	0.752	2.7857078678498	0.822	0.071	Astrocytes	MSTRG.12744
0.875	2.53239868913445	0.75	4.36033814467011	0.825	0.194	Astrocytes	MSTRG.1525
0.874	1.90096198686336	0.748	3.59166209096202	0.834	0.201	Astrocytes	MSTRG.11499
0.868	1.56559311861174	0.736	2.37426448093091	0.873	0.24	Astrocytes	MSTRG.12787
0.859	2.16461186014346	0.718	4.43142811278433	0.765	0.086	Astrocytes	MSTRG.12684
0.857	2.32477973846726	0.714	3.73570365859836	0.837	0.362	Astrocytes	MSTRG.12379
0.846	1.82588035825133	0.692	3.86490799266292	0.75	0.081	Astrocytes	MSTRG.2306
0.843	3.08385476603232	0.686	4.52896900805248	0.87	0.508	Astrocytes	MSTRG.939
0.84	1.69522639835877	0.68	2.60360849420579	0.895	0.477	Astrocytes	MSTRG.9603
0.832	1.46102843528573	0.664	2.30048025528008	0.889	0.512	Astrocytes	MSTRG.5693
0.83	2.99678335245258	0.66	5.09734959629464	0.729	0.102	Astrocytes	MSTRG.6189
0.83	2.05649803702232	0.66	5.03959923295656	0.687	0.036	Astrocytes	MSTRG.4047
0.827	2.37658559592029	0.654	6.29035872022197	0.666	0.019	Astrocytes	MSTRG.20425
0.827	2.01485710472877	0.654	3.76790431441965	0.702	0.06	Astrocytes	MSTRG.7669
0.825	2.0465540178031	0.65	3.10282594242238	0.873	0.41	Astrocytes	MSTRG.15729
0.824	2.9872278398277	0.648	5.07370149672803	0.675	0.035	Astrocytes	MSTRG.17441
0.823	2.46155156553201	0.646	3.79462743037353	0.744	0.146	Astrocytes	MSTRG.9621
0.822	2.61587089738859	0.644	5.31280087519819	0.684	0.085	Astrocytes	MSTRG.3829
0.82	1.48577929823021	0.64	2.91772394928255	0.735	0.127	Astrocytes	MSTRG.8685
0.818	1.23245191169731	0.636	1.82185330080208	0.967	0.571	Astrocytes	MSTRG.10368
0.817	1.94663692983348	0.634	4.3595955154393	0.681	0.076	Astrocytes	MSTRG.15159
0.812	1.75504755856638	0.624	3.3495913836924	0.732	0.199	Astrocytes	MSTRG.6543
0.809	1.53850268130219	0.618	2.7436052215625	0.771	0.275	Astrocytes	MSTRG.14902
0.807	2.05911580363565	0.614	5.52902315744248	0.636	0.033	Astrocytes	MSTRG.6897
0.807	2.10163019637105	0.614	5.18555457939594	0.639	0.036	Astrocytes	MSTRG.5534
0.805	2.37870239759488	0.61	5.7883713607287	0.636	0.041	Astrocytes	MSTRG.11549
0.803	1.23257737743907	0.606	2.10692625231734	0.843	0.482	Astrocytes	MSTRG.5586
0.803	1.38124149815503	0.606	2.63944881082076	0.684	0.078	Astrocytes	MSTRG.1897
0.802	1.34818621070507	0.604	2.00031574278675	0.904	0.785	Astrocytes	MSTRG.9500
0.801	1.13043366420097	0.602	1.69050535496004	0.964	0.676	Astrocytes	MSTRG.1966
0.795	3.11811966092566	0.59	6.38917160346165	0.602	0.015	Astrocytes	MSTRG.12777
0.795	1.55714768107286	0.59	3.47449332401402	0.666	0.114	Astrocytes	MSTRG.1444
0.792	1.06000156700265	0.584	1.60399134627822	0.904	0.861	Astrocytes	MSTRG.14432
0.792	1.76265089217092	0.584	3.69966957178377	0.654	0.106	Astrocytes	MSTRG.11221
0.792	1.16207051545735	0.584	1.70871519627769	0.967	0.765	Astrocytes	MSTRG.8351
0.787	2.01516862760782	0.574	3.30357349080848	0.747	0.313	Astrocytes	MSTRG.1423
0.786	2.00177727232742	0.572	3.87501995282449	0.648	0.124	Astrocytes	MSTRG.12102
0.786	1.75650129584328	0.572	4.22825680498416	0.611	0.046	Astrocytes	MSTRG.2210
0.785	1.87618744949737	0.57	4.06203434400754	0.642	0.129	Astrocytes	MSTRG.19436
0.783	1.45658873551165	0.566	2.89241069065597	0.702	0.241	Astrocytes	MSTRG.14339
0.782	1.60493146622207	0.564	3.99744226973995	0.614	0.078	Astrocytes	MSTRG.17185
0.779	1.51617670367212	0.558	4.48526979425422	0.593	0.045	Astrocytes	MSTRG.18289
0.779	1.52315157424465	0.558	4.58284924409738	0.575	0.018	Astrocytes	MSTRG.7660
0.777	1.60011291543054	0.554	4.06930124492838	0.602	0.066	Astrocytes	MSTRG.35
0.776	1.13424439903524	0.552	2.05467948702774	0.744	0.271	Astrocytes	MSTRG.7051
0.774	1.6762115743447	0.548	4.51694770682866	0.584	0.048	Astrocytes	MSTRG.20699
0.773	1.95575510755147	0.546	4.7302597027553	0.587	0.067	Astrocytes	MSTRG.8099
0.77	1.72743727795376	0.54	3.26846906239563	0.696	0.268	Astrocytes	MSTRG.11335
0.767	1.59077630317264	0.534	5.38481331776395	0.548	0.019	Astrocytes	MSTRG.15032
0.767	1.40903701792901	0.534	4.02028912264691	0.572	0.047	Astrocytes	MSTRG.12764
0.767	1.1095109070651	0.534	1.87860178381639	0.789	0.409	Astrocytes	MSTRG.6300
0.766	1.39318144773855	0.532	2.57360636409145	0.684	0.206	Astrocytes	MSTRG.9766
0.765	1.14033761678696	0.53	2.34926815560048	0.672	0.185	Astrocytes	MSTRG.5655
0.763	1.44311918010875	0.526	3.30001301096016	0.611	0.128	Astrocytes	MSTRG.8915
0.762	1.47743885850151	0.524	2.23892535707607	0.831	0.51	Astrocytes	MSTRG.17906
0.761	1.78383165284539	0.522	2.7271617923503	0.834	0.626	Astrocytes	MSTRG.14175
0.759	1.1232678950341	0.518	1.78654186691065	0.756	0.312	Astrocytes	MSTRG.1500
0.757	1.70291789538158	0.514	5.72188846890254	0.527	0.016	Astrocytes	MSTRG.3752
0.755	1.65088156140415	0.51	3.54139397608817	0.602	0.148	Astrocytes	MSTRG.14615
0.755	2.09738934761369	0.51	5.3014992252373	0.53	0.023	Astrocytes	MSTRG.8364
0.751	1.0504053668715	0.502	2.14852269145983	0.633	0.15	Astrocytes	MSTRG.17049
0.75	1.47660477795642	0.5	4.18249699236223	0.536	0.047	Astrocytes	MSTRG.17023
0.75	1.41247506320703	0.5	3.05645374191543	0.593	0.114	Astrocytes	MSTRG.2985
0.749	1.71730099229071	0.498	3.81480057168601	0.569	0.106	Astrocytes	MSTRG.3724
0.749	1.63107448864323	0.498	3.23009997123866	0.596	0.116	Astrocytes	MSTRG.42
0.748	0.948877221521454	0.496	1.57802003137577	0.834	0.386	Astrocytes	MSTRG.6649
0.748	1.32296763617615	0.496	2.95591189367971	0.581	0.089	Astrocytes	MSTRG.2341
0.747	0.206790887347795	0.494	0.335174088917575	0.678	0.16	Astrocytes	MSTRG.12994
0.746	1.99543740297629	0.492	4.29044299263978	0.524	0.043	Astrocytes	MSTRG.871
0.743	1.22748188169809	0.486	2.29826910357319	0.654	0.211	Astrocytes	MSTRG.14361
0.742	1.04001568183832	0.484	1.65779414396114	0.816	0.528	Astrocytes	MSTRG.1212
0.74	1.72086644424717	0.48	4.89933298642323	0.503	0.028	Astrocytes	MSTRG.27026
0.739	1.82455833463387	0.478	4.20128307396537	0.506	0.03	Astrocytes	MSTRG.14382
0.738	1.58715598714915	0.476	4.30381670625056	0.515	0.049	Astrocytes	MSTRG.2528
0.735	1.07756492355593	0.47	2.1353596303387	0.627	0.174	Astrocytes	MSTRG.17809
0.735	2.06143840743624	0.47	4.11374122105945	0.515	0.047	Astrocytes	MSTRG.6607
0.732	1.24088746136378	0.464	3.91971230879032	0.5	0.039	Astrocytes	MSTRG.11145
0.73	1.4282329142789	0.46	3.72355826059414	0.515	0.072	Astrocytes	MSTRG.15489
0.73	0.973984670017743	0.46	1.92849208274564	0.672	0.304	Astrocytes	MSTRG.9747
0.729	1.31934849021846	0.458	4.34384451767913	0.485	0.033	Astrocytes	MSTRG.11856
0.729	1.10868817206673	0.458	2.82375583879012	0.548	0.118	Astrocytes	MSTRG.11567
0.727	0.77915991956417	0.454	1.27504564918144	0.828	0.61	Astrocytes	MSTRG.7782
0.726	0.631162362545557	0.452	0.966870444873555	0.931	0.673	Astrocytes	MSTRG.19704
0.726	1.42427550440465	0.452	2.98807114825401	0.569	0.154	Astrocytes	MSTRG.14682
0.726	1.31485586562353	0.452	4.70191662253591	0.47	0.021	Astrocytes	MSTRG.12690
0.724	1.39429109234311	0.448	4.91654459135299	0.467	0.021	Astrocytes	MSTRG.9047
0.723	1.30489941460673	0.446	2.69208212788595	0.581	0.183	Astrocytes	MSTRG.14051
0.722	1.40937397812063	0.444	3.10164426144558	0.533	0.118	Astrocytes	MSTRG.627
0.72	1.1070953150515	0.44	2.25840372757741	0.617	0.245	Astrocytes	MSTRG.141
0.719	1.1217724961377	0.438	2.79217077488924	0.536	0.125	Astrocytes	MSTRG.10233
0.719	1.40516749291025	0.438	4.95348682509304	0.455	0.018	Astrocytes	MSTRG.8871
0.718	1.19658276822432	0.436	3.61871437982282	0.482	0.06	Astrocytes	MSTRG.7501
0.718	1.20269129669919	0.436	3.33153386455657	0.485	0.053	Astrocytes	MSTRG.2747
0.717	0.998506372961402	0.434	2.32964902447697	0.536	0.105	Astrocytes	MSTRG.14102
0.717	1.04598979209962	0.434	2.10789786006674	0.62	0.246	Astrocytes	MSTRG.1794
0.716	1.4596751225709	0.432	5.23005361516193	0.443	0.01	Astrocytes	MSTRG.5930
0.716	0.672937370990218	0.432	1.13886484844119	0.744	0.352	Astrocytes	MSTRG.49
0.714	1.1561011654913	0.428	2.67260030137281	0.536	0.136	Astrocytes	MSTRG.5000
0.714	1.15963756556684	0.428	2.5990139078755	0.53	0.113	Astrocytes	MSTRG.1257
0.713	0.833633041353522	0.426	1.61357543592039	0.521	0.107	Astrocytes	MSTRG.14312
0.712	2.31516530885781	0.424	4.05594691298115	0.47	0.056	Astrocytes	MSTRG.9505
0.712	1.16826943723746	0.424	1.96538568300588	0.672	0.288	Astrocytes	MSTRG.9291
0.708	1.86663536969618	0.416	3.88412854932982	0.47	0.063	Astrocytes	MSTRG.14275
0.707	1.28884407936276	0.414	4.90627962030943	0.434	0.025	Astrocytes	MSTRG.18075
0.705	1.22391792219311	0.41	2.84881853490199	0.515	0.124	Astrocytes	MSTRG.15118
0.704	0.719781962356329	0.408	1.07910910368139	0.937	0.813	Astrocytes	MSTRG.13389
0.704	0.914690741081273	0.408	1.96536985124123	0.554	0.167	Astrocytes	MSTRG.1769
0.703	0.848517656394436	0.406	1.27724259486594	0.919	0.815	Astrocytes	MSTRG.17924
0.703	1.77487416531437	0.406	3.81505258228986	0.443	0.037	Astrocytes	MSTRG.8368
0.702	0.65416811101808	0.404	1.14616423891169	0.786	0.523	Astrocytes	MSTRG.5671
0.702	1.18330039716691	0.404	2.3572478544239	0.551	0.192	Astrocytes	MSTRG.5145
0.701	2.37476760767508	0.402	5.92816422739223	0.41	0.009	Astrocytes	MSTRG.17442
0.984	2.28212188784497	0.968	4.47694740325468	1	0.065	Choroid plexus epithelial cells	MSTRG.6192
0.983	2.52022396437625	0.966	3.67635129215747	1	0.827	Choroid plexus epithelial cells	MSTRG.13682
0.965	2.31900023548197	0.93	3.42840819070453	1	0.281	Choroid plexus epithelial cells	MSTRG.7939
0.964	2.67960748083719	0.928	5.80768499937522	0.95	0.044	Choroid plexus epithelial cells	MSTRG.3765
0.962	3.7103764241053	0.924	5.6327406959014	0.95	0.208	Choroid plexus epithelial cells	MSTRG.12994
0.953	2.83496169091427	0.906	4.54716134060045	0.95	0.372	Choroid plexus epithelial cells	MSTRG.386
0.948	2.67856569345933	0.896	7.47918888492004	0.9	0.018	Choroid plexus epithelial cells	MSTRG.19938
0.947	1.82699398511533	0.894	2.8883575824815	1	0.225	Choroid plexus epithelial cells	MSTRG.6352
0.945	2.35363932568416	0.89	3.82665424187106	0.95	0.283	Choroid plexus epithelial cells	MSTRG.9157
0.945	2.99589567738352	0.89	6.70617655071904	0.9	0.042	Choroid plexus epithelial cells	MSTRG.2171
0.943	3.22886121185868	0.886	4.94972452829525	0.925	0.341	Choroid plexus epithelial cells	MSTRG.13769
0.942	1.50301878390632	0.884	2.49409647265802	1	0.131	Choroid plexus epithelial cells	MSTRG.14359
0.941	2.54480592545148	0.882	4.39446599896208	0.925	0.22	Choroid plexus epithelial cells	MSTRG.4531
0.938	1.89930474508615	0.876	3.16221593066372	0.95	0.354	Choroid plexus epithelial cells	MSTRG.3319
0.936	2.67345752025257	0.872	8.30309447547972	0.875	0.005	Choroid plexus epithelial cells	MSTRG.584
0.934	1.78114986415438	0.868	4.40580425022438	0.9	0.047	Choroid plexus epithelial cells	MSTRG.9929
0.933	1.83405419489995	0.866	3.86418775016432	0.925	0.102	Choroid plexus epithelial cells	MSTRG.8275
0.926	2.73965626480186	0.852	6.01560850939773	0.875	0.061	Choroid plexus epithelial cells	MSTRG.5492
0.92	2.3047603744225	0.84	6.15881590686929	0.85	0.029	Choroid plexus epithelial cells	MSTRG.16122
0.917	1.61530755223391	0.834	3.63224490165665	0.9	0.113	Choroid plexus epithelial cells	MSTRG.1065
0.916	3.03339742374596	0.832	5.45876226508813	0.85	0.029	Choroid plexus epithelial cells	MSTRG.10621
0.915	1.85996683995219	0.83	5.30368545651595	0.85	0.032	Choroid plexus epithelial cells	MSTRG.5159
0.911	1.6730011179278	0.822	3.14699952922027	0.925	0.227	Choroid plexus epithelial cells	MSTRG.19890
0.911	2.0333032614093	0.822	4.51704709207835	0.85	0.039	Choroid plexus epithelial cells	MSTRG.16610
0.91	1.36328452093793	0.82	2.04584013991389	1	0.301	Choroid plexus epithelial cells	MSTRG.12787
0.909	5.67197106141283	0.818	8.84529602181684	0.825	0.019	Choroid plexus epithelial cells	MSTRG.9597
0.909	1.45357080499952	0.818	2.29992633053581	0.975	0.586	Choroid plexus epithelial cells	MSTRG.5675
0.908	1.61080430952241	0.816	2.98425692242673	0.9	0.212	Choroid plexus epithelial cells	MSTRG.10720
0.907	2.34723063040703	0.814	4.76974361003499	0.85	0.103	Choroid plexus epithelial cells	MSTRG.12497
0.903	1.47128662151028	0.806	2.63522827025518	0.925	0.372	Choroid plexus epithelial cells	MSTRG.7056
0.902	1.59012889530499	0.804	3.49892926074045	0.875	0.149	Choroid plexus epithelial cells	MSTRG.8235
0.9	1.18260535590129	0.8	1.80214545498073	1	0.745	Choroid plexus epithelial cells	MSTRG.21007
0.899	2.61466563632977	0.798	9.25589978561444	0.8	0.002	Choroid plexus epithelial cells	MSTRG.15310
0.895	1.29070634339493	0.79	2.29744426516325	0.95	0.316	Choroid plexus epithelial cells	MSTRG.18326
