p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.58984469571448e-110	11.2281187990218	0.167	0	4.45038912511577e-106	Ast_224	MSTRG.11385
4.56018209158079e-93	6.94182560937301	0.75	0.013	7.83621690617244e-89	Ast_224	MSTRG.23470
4.77401228360437e-80	6.34919725054345	1	0.03	8.20366270814576e-76	Ast_224	MSTRG.5737
4.66422816087724e-56	9.85424980554821	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.10151
4.66422816087724e-56	9.8087404444075	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.18778
4.66422816087724e-56	9.7583810005298	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.5272
4.66422816087724e-56	9.69329055467511	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.23449
4.66422816087724e-56	9.64617539152329	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.11356
4.66422816087724e-56	9.64617539152329	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.17509
4.66422816087724e-56	9.64617539152329	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.20406
4.66422816087724e-56	9.44583142567199	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.16169
4.66422816087724e-56	9.44583142567199	0.083	0	8.01500967165144e-52	Ast_224	MSTRG.6155
1.00247118589801e-45	5.57058267617981	0.5	0.012	1.72264648584714e-41	Ast_224	MSTRG.8408
9.41342754090532e-45	7.55153695752798	0.167	0.001	1.61760338862917e-40	Ast_224	MSTRG.3457
3.14165276597385e-40	6.18888793881177	0.333	0.006	5.39861611304946e-36	Ast_224	MSTRG.9403
2.20988599224647e-38	5.51852978721258	0.833	0.046	3.79746808907633e-34	Ast_224	MSTRG.5953
2.35486522877263e-37	5.18629644449188	0.167	0.001	4.04660040912289e-33	Ast_224	MSTRG.15940
1.18109719045657e-35	4.90409882013598	0.583	0.023	2.02959741208057e-31	Ast_224	MSTRG.7979
2.5819653634368e-35	5.21618205400494	0.833	0.048	4.4368492805298e-31	Ast_224	MSTRG.13894
1.32722889281933e-32	5.00621316319643	0.417	0.012	2.28071012942073e-28	Ast_224	MSTRG.19793
3.55078648464815e-30	3.86527575063822	0.333	0.008	6.10167149521939e-26	Ast_224	MSTRG.5735
8.64036987070672e-30	4.73583343185288	0.833	0.06	1.48476115858224e-25	Ast_224	MSTRG.10585
1.24354409860245e-29	6.76839073835104	0.917	0.076	2.13690617903845e-25	Ast_224	MSTRG.8364
1.47113466701819e-29	6.05559641555696	0.25	0.005	2.52799781180406e-25	Ast_224	MSTRG.165
3.01044694156032e-29	6.26952150407469	1	0.099	5.17315202437726e-25	Ast_224	MSTRG.8137
1.06052553600693e-28	9.12471384713085	0.083	0	1.82240708107431e-24	Ast_224	MSTRG.4595
1.06052553600693e-28	8.38924913079029	0.083	0	1.82240708107431e-24	Ast_224	MSTRG.16638
1.06052553600693e-28	8.10252859836966	0.083	0	1.82240708107431e-24	Ast_224	MSTRG.16941
1.15306637521089e-28	7.90275372311008	0.083	0	1.98142925916239e-24	Ast_224	MSTRG.17757
1.15306637521089e-28	7.78176839977701	0.083	0	1.98142925916239e-24	Ast_224	MSTRG.19403
1.15306637521089e-28	7.40770458630655	0.083	0	1.98142925916239e-24	Ast_224	MSTRG.13341
1.15306637521089e-28	7.334113381985	0.083	0	1.98142925916239e-24	Ast_224	MSTRG.15548
1.15306637521089e-28	7.24761711549066	0.083	0	1.98142925916239e-24	Ast_224	MSTRG.6813
3.55320437774419e-28	5.71143656636719	1	0.105	6.10582640271561e-24	Ast_224	MSTRG.2210
