p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	6.29035872022197	0.666	0.019	0	Astrocytes	MSTRG.20425
3.4670504308153e-306	6.38917160346165	0.602	0.015	5.95777946031301e-302	Astrocytes	MSTRG.12777
1.02860864616622e-290	5.03959923295656	0.687	0.036	1.76756109757203e-286	Astrocytes	MSTRG.4047
1.17709437130702e-285	5.07370149672803	0.675	0.035	2.02271896765398e-281	Astrocytes	MSTRG.17441
5.34164045781519e-278	2.7857078678498	0.822	0.071	9.17907496270963e-274	Astrocytes	MSTRG.12744
4.65671741587624e-274	4.58284924409738	0.575	0.018	8.00210320744173e-270	Astrocytes	MSTRG.7660
2.24744697272825e-271	5.52902315744248	0.636	0.033	3.86201287793622e-267	Astrocytes	MSTRG.6897
1.88756701968428e-265	4.15567222570206	0.873	0.119	3.24359516662546e-261	Astrocytes	MSTRG.13997
1.88306154117055e-262	5.18555457939594	0.639	0.036	3.23585295234747e-258	Astrocytes	MSTRG.5534
1.41676867715484e-256	5.38481331776395	0.548	0.019	2.43457529482288e-252	Astrocytes	MSTRG.15032
2.14049548268158e-254	5.72188846890254	0.527	0.016	3.67822743744003e-250	Astrocytes	MSTRG.3752
9.44845115967598e-252	5.7883713607287	0.636	0.041	1.62362184727872e-247	Astrocytes	MSTRG.11549
7.37623588203606e-245	4.43142811278433	0.765	0.086	1.26753237396908e-240	Astrocytes	MSTRG.12684
5.57226090177707e-241	3.76790431441965	0.702	0.06	9.57537313361372e-237	Astrocytes	MSTRG.7669
2.04991294004188e-234	3.86490799266292	0.75	0.081	3.52257039616797e-230	Astrocytes	MSTRG.2306
2.27659335269198e-231	5.3014992252373	0.53	0.023	3.9120980172659e-227	Astrocytes	MSTRG.8364
3.72855051488055e-220	5.23005361516193	0.443	0.01	6.40714120477073e-216	Astrocytes	MSTRG.5930
6.43786547477667e-218	4.22825680498416	0.611	0.046	1.10628280318562e-213	Astrocytes	MSTRG.2210
1.10096534831182e-215	4.57078038002833	0.816	0.141	1.89189885453904e-211	Astrocytes	MSTRG.12405
6.30706622201856e-213	4.48526979425422	0.593	0.045	1.08380625959167e-208	Astrocytes	MSTRG.18289
8.57543621036572e-211	4.3595955154393	0.681	0.076	1.47360295838925e-206	Astrocytes	MSTRG.15159
7.01621974877684e-208	5.31280087519819	0.684	0.085	1.20566720162981e-203	Astrocytes	MSTRG.3829
2.8192631573776e-206	5.92816422739223	0.41	0.009	4.84462180963767e-202	Astrocytes	MSTRG.17442
1.76202699903103e-203	4.51694770682866	0.584	0.048	3.02786719513492e-199	Astrocytes	MSTRG.20699
