myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
0.952	3.67812168054217	0.904	6.18649985004263	0.925	0.122	Astrocytes	LOC110088229
0.952	2.58077518772773	0.904	4.35824561215123	0.949	0.19	Astrocytes	SLC1A3
0.943	2.01311468106248	0.886	3.12760206409091	0.981	0.52	Astrocytes	GPM6B
0.936	2.51527293670988	0.872	4.71261231071603	0.91	0.117	Astrocytes	LOC110087437
0.931	2.30046651608727	0.862	3.38791644322397	0.994	0.751	Astrocytes	LOC110089602
0.906	2.96772101242443	0.812	5.88617950408313	0.84	0.052	Astrocytes	KCNJ16
0.9	2.33556276866893	0.8	5.13816037080836	0.834	0.058	Astrocytes	GJA1
0.899	2.06100972844344	0.798	4.0872190443739	0.851	0.121	Astrocytes	ID4
0.897	2.47630999384637	0.794	5.41163709908925	0.821	0.056	Astrocytes	RCN3
0.893	2.80841025828628	0.786	4.9909936626814	0.836	0.099	Astrocytes	CXCL14
0.888	2.00192279937136	0.776	3.72486402404007	0.861	0.205	Astrocytes	LOC110083899
0.88	1.96519945800536	0.76	3.26347211159096	0.9	0.356	Astrocytes	LOC110087987
0.878	2.3550050898166	0.756	5.05905988044918	0.797	0.083	Astrocytes	LOC110081459
0.868	2.25177486698208	0.736	4.26405794520902	0.804	0.117	Astrocytes	LOC110091322
0.856	1.79513268153388	0.712	3.83837501424568	0.78	0.113	Astrocytes	ACBD7
0.847	2.10938694081521	0.694	3.56567695546596	0.825	0.248	Astrocytes	SLC1A2
0.844	1.63209649306669	0.688	3.08332801225985	0.819	0.209	Astrocytes	PTPRZ1
0.84	1.86610878889397	0.68	4.65088003727954	0.721	0.07	Astrocytes	GPR37L1
0.835	1.35189638571311	0.67	2.26991567063991	0.885	0.348	Astrocytes	NDRG2
0.835	1.5421426541482	0.67	3.07758510746903	0.768	0.15	Astrocytes	GAPDH
0.834	1.76172432031952	0.668	2.94933586984143	0.829	0.318	Astrocytes	CLU
