myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	gene
1	3.85141663527991	1	6.05346638799893	1	0.307	Ast_301	PTN
0.978	3.28215842733208	0.956	6.12999926784921	0.964	0.101	Ast_301	ISYNA1
0.977	2.3565929989465	0.954	3.65505266175364	1	0.393	Ast_301	CLU
0.973	2.45225243947742	0.946	4.83521347869882	0.964	0.109	Ast_301	IGFBP7
0.971	2.53420424516122	0.942	3.76791862443906	1	0.731	Ast_301	CKB
0.969	2.07187699493518	0.938	3.01846847355974	1	0.787	Ast_301	LOC110089602
0.963	2.21589167861137	0.926	3.27933339383634	1	0.618	Ast_301	CAMK2B
0.956	2.72766818350916	0.912	5.64453615682587	0.929	0.059	Ast_301	CA14
0.954	1.92402475629053	0.908	2.98586231658946	1	0.435	Ast_301	LOC110087987
0.949	1.84935478149284	0.898	2.92143809405768	1	0.168	Ast_301	KCNJ16
0.947	1.77077175628637	0.894	4.34459197246801	0.929	0.079	Ast_301	ENPP6
0.938	1.71054710072425	0.876	2.5530305619904	1	0.241	Ast_301	LOC110088229
0.93	1.50520975778881	0.86	2.51961862176982	1	0.28	Ast_301	LOC110090242
0.928	1.74635596977308	0.856	4.48863593634212	0.893	0.067	Ast_301	LOC110075581
0.922	1.39330508547611	0.844	3.17035446998861	0.929	0.124	Ast_301	LOC110086873
0.922	1.55095064155792	0.844	2.8947529911853	0.964	0.195	Ast_301	GPRC5B
0.92	1.43361635894038	0.84	2.46523625395914	0.964	0.188	Ast_301	LOC110081459
0.917	1.55015785312677	0.834	2.50488200508341	1	0.234	Ast_301	LOC110087437
0.915	1.55685427482719	0.83	3.72416544903762	0.893	0.106	Ast_301	FSTL5
0.91	1.97985474461818	0.82	9.52947121973657	0.821	0.002	Ast_301	DRAXIN
0.909	1.38008892185123	0.818	2.0862291526537	1	0.588	Ast_301	GPM6B
0.904	1.38056388168905	0.808	2.82523029899324	0.964	0.21	Ast_301	SDC2
0.898	1.046732850047	0.796	2.00775063636281	1	0.342	Ast_301	TSPAN3
0.896	1.29530246623437	0.792	2.05616074231427	1	0.592	Ast_301	CPE
0.894	1.54627022954695	0.788	2.62315722610783	0.929	0.169	Ast_301	RCN3
0.889	1.2754442192468	0.778	2.07356629373899	0.929	0.196	Ast_301	FABP7
0.888	1.28684033493068	0.776	2.82894913129092	0.893	0.173	Ast_301	SEPT5
0.887	1.32302672789768	0.774	3.97740720884576	0.821	0.051	Ast_301	HOPX
0.879	1.49421562391037	0.758	3.60100718304578	0.821	0.114	Ast_301	BSG
0.878	1.33094631433045	0.756	2.4425603316104	0.893	0.312	Ast_301	FEZ1
0.878	1.09137683264418	0.756	1.73475887323072	1	0.424	Ast_301	SERPINE2
0.875	1.01722986854177	0.75	1.83178491598601	0.964	0.442	Ast_301	LAPTM4A
0.874	1.4818494411342	0.748	2.42808747349662	0.929	0.279	Ast_301	MSMO1
0.874	0.818291057030684	0.748	1.60227424326638	0.964	0.203	Ast_301	RARRES1
0.872	1.29122798321136	0.744	3.1439665497893	0.821	0.076	Ast_301	SPARC
0.866	1.33055115793937	0.732	2.3702328967238	0.893	0.24	Ast_301	GAPDH
0.864	1.12781718853032	0.728	2.03509420935071	0.893	0.206	Ast_301	S100A1
0.862	0.951075013900532	0.724	1.90036475133542	0.964	0.255	Ast_301	TTYH1
0.861	1.12105428608542	0.722	2.08021014392173	0.893	0.211	Ast_301	ACBD7
0.861	0.892630173647934	0.722	1.41308367317893	1	0.302	Ast_301	SLC1A3
0.858	0.959299271278576	0.716	1.85430115602288	0.929	0.246	Ast_301	TPPP3
0.858	0.982735260882044	0.716	1.7382578428485	0.929	0.229	Ast_301	ID4
0.854	1.22842824074796	0.708	2.28084207986329	0.893	0.24	Ast_301	LUZP2
0.843	1.17287876639453	0.686	2.41842103458085	0.821	0.171	Ast_301	KCNJ10
0.839	0.982351083123369	0.678	2.19025980887119	0.821	0.128	Ast_301	MLC1
0.838	1.22492724227182	0.676	3.18184035840357	0.75	0.08	Ast_301	ASL
0.836	0.723019294576259	0.672	1.15322161492717	1	0.703	Ast_301	LOC110085176
0.835	1.20133577571882	0.67	2.81800962933693	0.75	0.085	Ast_301	VIM
0.831	0.953426042397817	0.662	1.981827319675	0.786	0.106	Ast_301	LOC110084293
0.828	1.06568502907326	0.656	2.37520085540061	0.786	0.145	Ast_301	NRN1
0.816	0.977069792062809	0.632	2.94131554750884	0.714	0.083	Ast_301	METRNL
0.816	0.953649623779514	0.632	2.12324499121587	0.786	0.174	Ast_301	NXPH1
0.812	0.687993706657732	0.624	1.29717722924387	0.929	0.441	Ast_301	PRDX2
0.809	0.834842620550318	0.618	1.94783543114189	0.786	0.197	Ast_301	DCLK1
0.802	1.19482388365063	0.604	3.28569190382281	0.679	0.086	Ast_301	PCYOX1
0.801	0.659657867864502	0.602	1.23322286914027	0.893	0.234	Ast_301	SLC4A4
0.797	1.02102961250417	0.594	3.67477452320267	0.643	0.048	Ast_301	PDLIM4
0.797	0.618741706161872	0.594	1.03213683779854	0.929	0.427	Ast_301	NDRG2
0.79	0.79414054929498	0.58	1.55015126297946	0.786	0.207	Ast_301	S100A6
0.79	0.833889672901355	0.58	1.75995281116491	0.786	0.203	Ast_301	GLUD1
0.787	0.616879311193706	0.574	1.16779713405864	0.893	0.358	Ast_301	PHYHIPL
0.786	0.486939849576925	0.572	0.876405124750403	0.893	0.302	Ast_301	LOC110083899
0.786	0.635697254784544	0.572	1.34882828150201	0.857	0.292	Ast_301	TMBIM6
0.784	1.00518241961754	0.568	7.28829740859256	0.571	0.003	Ast_301	KAZALD1
0.782	0.883937191325319	0.564	1.92850272304662	0.714	0.149	Ast_301	TIMP1
0.781	0.673240561934761	0.562	1.42469790696111	0.75	0.166	Ast_301	GPR37L1
0.774	0.64286731828588	0.548	1.25723509295415	0.929	0.341	Ast_301	LAMP1
0.773	0.832980310328997	0.546	2.29462606275415	0.643	0.089	Ast_301	BCAN
0.769	0.876052990044588	0.538	1.96513003839786	0.714	0.224	Ast_301	TMEM59
0.768	0.665048868766027	0.536	1.28277905944033	0.857	0.41	Ast_301	TMEM50A
0.767	0.739094166960978	0.534	1.54021135481263	0.786	0.32	Ast_301	NDUFB5
0.766	1.00715209564169	0.532	3.13901714126655	0.607	0.082	Ast_301	SARAF
