p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	9.52947121973657	0.821	0.002	0	Ast_301	DRAXIN
7.98242324525132e-229	7.28829740859256	0.571	0.003	1.50795957526043e-224	Ast_301	KAZALD1
1.66371819830104e-145	7.94729822861372	0.357	0.002	3.1429300484105e-141	Ast_301	THBS4
1.19510037731684e-89	6.58924599129839	0.321	0.004	2.25766412278925e-85	Ast_301	CNPY1
2.08136809404015e-82	5.64453615682587	0.929	0.059	3.93191246645125e-78	Ast_301	CA14
1.11679004052942e-67	3.97740720884576	0.821	0.051	2.10972806556412e-63	Ast_301	HOPX
6.3730368741564e-67	5.83220174446057	0.25	0.003	1.20393039589689e-62	Ast_301	OGN
9.81244936675543e-66	4.48863593634212	0.893	0.067	1.85366980987377e-61	Ast_301	LOC110075581
2.04348412311335e-62	4.34459197246801	0.929	0.079	3.86034585697344e-58	Ast_301	ENPP6
6.48639435708089e-60	4.43782431951936	0.393	0.012	1.22534475799615e-55	Ast_301	LOC110079849
1.4394327422656e-58	4.83112202987005	0.429	0.015	2.71923239341394e-54	Ast_301	TNC
1.5617660664497e-58	6.12999926784921	0.964	0.101	2.95033227613013e-54	Ast_301	ISYNA1
9.28065514126537e-54	4.83521347869882	0.964	0.109	1.75320856273644e-49	Ast_301	IGFBP7
1.01284605575362e-45	3.1439665497893	0.821	0.076	1.91336748392417e-41	Ast_301	SPARC
5.51403802432091e-44	3.67477452320267	0.643	0.048	1.04165692317446e-39	Ast_301	PDLIM4
5.21922127956938e-43	3.72416544903762	0.893	0.106	9.85963091923451e-39	Ast_301	FSTL5
6.71019537273935e-42	5.2853838288627	0.214	0.005	1.26762300786419e-37	Ast_301	PDGFRL
3.29302619470176e-39	3.17035446998861	0.929	0.124	6.22085578441109e-35	Ast_301	LOC110086873
1.43001581869309e-36	3.18184035840357	0.75	0.08	2.70144288309311e-32	Ast_301	ASL
5.14675181238599e-35	2.92143809405768	1	0.168	9.72272884877837e-31	Ast_301	KCNJ16
1.42158902637607e-34	2.81800962933693	0.75	0.085	2.68552382972703e-30	Ast_301	VIM
2.60728783096935e-34	3.60100718304578	0.821	0.114	4.92542744148419e-30	Ast_301	BSG
4.22452131360454e-34	3.48866196266529	0.571	0.049	7.98054321353033e-30	Ast_301	SLC27A1
1.01816943267621e-32	3.8809458242351	0.464	0.034	1.92342387526862e-28	Ast_301	CXCR4
2.35936599039147e-32	7.40925651139456	0.071	0	4.45707829244853e-28	Ast_301	LOC110070761
1.53401972595984e-31	2.94131554750884	0.714	0.083	2.89791666431073e-27	Ast_301	METRNL
1.4887850870462e-28	6.05346638799893	1	0.307	2.81246390793897e-24	Ast_301	PTN
1.86619998524956e-28	2.46523625395914	0.964	0.188	3.52543839213494e-24	Ast_301	LOC110081459
2.53041228086055e-28	1.981827319675	0.786	0.106	4.78020183977366e-24	Ast_301	LOC110084293
3.40295154739667e-28	3.28569190382281	0.679	0.086	6.42851576818705e-24	Ast_301	PCYOX1
5.34018026304874e-28	2.8947529911853	0.964	0.195	1.00881345349254e-23	Ast_301	GPRC5B
2.31311246693661e-27	2.62315722610783	0.929	0.169	4.36970076128996e-23	Ast_301	RCN3
7.92867861480227e-27	3.09350310485597	0.5	0.047	1.4978066771223e-22	Ast_301	PBXIP1
3.94037982461825e-26	2.82894913129092	0.893	0.173	7.44377152668634e-22	Ast_301	SEPT5
5.14610241475235e-26	2.5530305619904	1	0.241	9.72150207170866e-22	Ast_301	LOC110088229
1.71212639062863e-25	2.19025980887119	0.821	0.128	3.23437796453654e-21	Ast_301	MLC1
7.11243143565179e-25	9.81979906227079	0.036	0	1.34360942250898e-20	Ast_301	LOC110070689
7.11243143565179e-25	9.74937079088126	0.036	0	1.34360942250898e-20	Ast_301	SYT8
7.11243143565179e-25	8.80221555329874	0.036	0	1.34360942250898e-20	Ast_301	LOC110070688
1.42299142305768e-24	2.82523029899324	0.964	0.21	2.68817309729826e-20	Ast_301	SDC2
3.29415276288126e-24	2.50488200508341	1	0.234	6.22298398435898e-20	Ast_301	LOC110087437
3.75532875590827e-24	4.30908824433474	0.179	0.006	7.09419155278631e-20	Ast_301	SLCO1A2
5.26819783585246e-24	2.07356629373899	0.929	0.196	9.95215253170888e-20	Ast_301	FABP7
2.63275024958555e-23	3.13901714126655	0.607	0.082	4.97352849649206e-19	Ast_301	SARAF
