p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	6.18649985004263	0.925	0.122	0	Astrocytes	LOC110088229
0	5.88617950408313	0.84	0.052	0	Astrocytes	KCNJ16
0	5.41163709908925	0.821	0.056	0	Astrocytes	RCN3
0	5.13816037080836	0.834	0.058	0	Astrocytes	GJA1
0	5.05905988044918	0.797	0.083	0	Astrocytes	LOC110081459
0	4.9909936626814	0.836	0.099	0	Astrocytes	CXCL14
0	4.97393554844302	0.684	0.033	0	Astrocytes	MLC1
0	4.71261231071603	0.91	0.117	0	Astrocytes	LOC110087437
0	4.35824561215123	0.949	0.19	0	Astrocytes	SLC1A3
3.93523718675138e-299	4.0872190443739	0.851	0.121	7.43405656949203e-295	Astrocytes	ID4
3.8064485301931e-295	4.92154721744042	0.682	0.045	7.19076191838779e-291	Astrocytes	LFNG
1.38690767591893e-278	4.65088003727954	0.721	0.07	2.62000729057844e-274	Astrocytes	GPR37L1
6.01303162067167e-278	4.74015361211489	0.631	0.036	1.13592180346108e-273	Astrocytes	FGFR3
8.32548978050049e-264	4.26405794520902	0.804	0.117	1.57276827443435e-259	Astrocytes	LOC110091322
1.65128782655239e-259	4.42359646089337	0.667	0.059	3.11944783314011e-255	Astrocytes	TIMP1
2.42018201862879e-253	3.83837501424568	0.78	0.113	4.57196585139165e-249	Astrocytes	ACBD7
7.5940293605119e-235	3.72486402404007	0.861	0.205	1.4345880864943e-230	Astrocytes	LOC110083899
3.1961556458747e-231	5.53521165308268	0.539	0.033	6.03785763062189e-227	Astrocytes	LOC110084293
6.08104306496818e-219	3.12760206409091	0.981	0.52	1.14876984540314e-214	Astrocytes	GPM6B
1.41773151718164e-204	3.07758510746903	0.768	0.15	2.67823660910784e-200	Astrocytes	GAPDH
1.75428909293473e-203	5.18869515508119	0.437	0.017	3.314027525463e-199	Astrocytes	RFTN2
8.01975691689619e-196	4.71035346245933	0.441	0.021	1.51501227917086e-191	Astrocytes	ASL
1.49939899007905e-195	3.38791644322397	0.994	0.751	2.83251463215834e-191	Astrocytes	LOC110089602
2.41118295912334e-195	4.22788617599543	0.48	0.03	4.55496572807991e-191	Astrocytes	SOX9
6.0472493559857e-195	3.20678319515451	0.699	0.117	1.14238587583926e-190	Astrocytes	GLUD1
5.71240601561008e-193	4.32648173794839	0.672	0.116	1.0791306204089e-188	Astrocytes	FABP7
2.40353943127624e-186	3.08332801225985	0.819	0.209	4.54052633962394e-182	Astrocytes	PTPRZ1
6.04720567967503e-185	2.69623461088031	0.699	0.122	1.14237762494741e-180	Astrocytes	S100A1
1.52637648454525e-182	3.26347211159096	0.9	0.356	2.88347781695443e-178	Astrocytes	LOC110087987
2.42666711835604e-177	3.56567695546596	0.825	0.248	4.5842168532864e-173	Astrocytes	SLC1A2
6.55594376901211e-177	3.82410362840183	0.761	0.197	1.23848333740408e-172	Astrocytes	MSMO1
3.06178576060439e-171	4.95770308559096	0.373	0.015	5.78401948035775e-167	Astrocytes	AQP4
5.0125529820694e-171	4.40598934205772	0.437	0.031	9.46921383842731e-167	Astrocytes	BCAN
3.64121957749511e-167	3.50452581465405	0.606	0.097	6.87862790384602e-163	Astrocytes	KCNJ10
2.57969419662561e-149	2.94933586984143	0.829	0.318	4.87330030684543e-145	Astrocytes	CLU
4.16738517154802e-145	3.48393095225825	0.486	0.062	7.87260732757137e-141	Astrocytes	ACSL6
4.56853619830356e-145	4.88702951489372	0.348	0.019	8.63042173221526e-141	Astrocytes	HSD11B1
1.35960401706172e-143	2.26991567063991	0.885	0.348	2.56842794863129e-139	Astrocytes	NDRG2
2.37822032195899e-141	2.81884654920228	0.693	0.174	4.49269601021273e-137	Astrocytes	PPM1E
5.24558914587447e-136	4.29188415115882	0.36	0.026	9.90944245547147e-132	Astrocytes	WLS
9.47407928625515e-136	3.9813758964102	0.362	0.027	1.78974831796646e-131	Astrocytes	NRARP
9.82964196278994e-136	4.19511321954187	0.35	0.024	1.85691766319065e-131	Astrocytes	LOC110075581
1.19266169097089e-132	2.32186381534291	0.682	0.158	2.25305720041311e-128	Astrocytes	SLC4A4
7.02656978940969e-131	5.0194344658107	0.33	0.021	1.32738929891739e-126	Astrocytes	AQP1
1.21687790849848e-130	3.85998642009394	0.386	0.037	2.29880405694448e-126	Astrocytes	PCYOX1
7.93481867588779e-130	5.24487587171155	0.382	0.038	1.49896659606196e-125	Astrocytes	RPE65
8.09945874066069e-127	3.300593426026	0.751	0.233	1.53006875069821e-122	Astrocytes	PTN
1.77205769861758e-126	3.50054918330285	0.412	0.047	3.34759419845846e-122	Astrocytes	ITPR2
3.76128973080768e-125	4.75343529254551	0.294	0.015	7.1054524304688e-121	Astrocytes	HOPX
7.09416456561735e-125	4.74859328402293	0.273	0.01	1.34015862809077e-120	Astrocytes	PBXIP1
1.44652319515003e-124	3.36927845462627	0.401	0.045	2.73262696795793e-120	Astrocytes	PLPP3
3.63442450666872e-124	3.79178933526607	0.358	0.032	6.86579133554788e-120	Astrocytes	SPARC
4.89880901571375e-120	4.00603016618997	0.309	0.02	9.25434011158484e-116	Astrocytes	PLXNB1
1.7518530075202e-119	2.11504078741509	0.614	0.138	3.30942551650641e-115	Astrocytes	S100A6
2.49722465480141e-117	3.12862905619434	0.426	0.058	4.71750709538535e-113	Astrocytes	TRIL
5.67844667549445e-117	3.71446452460203	0.872	0.575	1.07271536146766e-112	Astrocytes	CAMK2B
3.12895748414614e-113	1.85689739766171	0.87	0.347	5.91091358330048e-109	Astrocytes	SERPINE2
2.37481650616773e-112	4.80468836199285	0.247	0.009	4.48626586180146e-108	Astrocytes	S1PR1
4.07879891645419e-111	5.28707736044278	0.235	0.007	7.7052590330736e-107	Astrocytes	GPR156
8.30113840233879e-110	4.56110568765928	0.256	0.012	1.56816805558582e-105	Astrocytes	PCK1
1.09259833543829e-109	4.90799495218363	0.279	0.018	2.06402751547647e-105	Astrocytes	CSRP2
8.28756005942033e-109	3.19716963778234	0.437	0.072	1.56560297082509e-104	Astrocytes	SLC1A4
8.55254999474861e-107	2.13223828252594	0.591	0.139	1.61566221950796e-102	Astrocytes	RARRES1
3.49583526082333e-106	4.01720078148872	0.343	0.038	6.60398239122135e-102	Astrocytes	GFAP
8.14073857198981e-106	1.24036107493968	0.925	0.426	1.53786692363459e-101	Astrocytes	QKI
4.95775314785162e-104	2.30420370432233	0.584	0.149	9.3656914716065e-100	Astrocytes	SDC2
5.58281099969293e-103	2.97553133127082	0.422	0.069	1.05464882595199e-98	Astrocytes	LOC110075192
9.83315350027824e-103	2.07009065375918	0.829	0.404	1.85758102773756e-98	Astrocytes	ATP1B2
1.13879838534928e-101	2.32638365727193	0.93	0.698	2.15130402976332e-97	Astrocytes	CKB
5.3194767936759e-101	2.78966261510678	0.309	0.029	1.00490236109331e-96	Astrocytes	FGFBP3
6.34141457822351e-101	4.15352283325692	0.26	0.017	1.1979566279722e-96	Astrocytes	ACOT12
