cluster	total	n_paralogs	n_paralog_pairs	paralogs%	families_divided_by_paralogs%
GABAergic amacrine cell	1706	518	430	0.303634232121923	0.83011583011583
H1 horizontal cell	260	96	92	0.369230769230769	0.958333333333333
H2 horizontal cell	210	82	78	0.39047619047619	0.951219512195122
Mueller cell	1671	521	444	0.31178934769599	0.852207293666027
S cone cell	97	34	34	0.350515463917526	1
amacrine cell	64	19	18	0.296875	0.947368421052632
astrocyte	240	92	74	0.383333333333333	0.804347826086957
glycinergic amacrine cell	324	110	103	0.339506172839506	0.936363636363636
microglial cell	221	83	60	0.375565610859729	0.72289156626506
midget ganglion cell of retina	3801	1050	809	0.276243093922652	0.77047619047619
parasol ganglion cell of retina	2663	801	678	0.300788584303417	0.846441947565543
retinal bipolar neuron	502	140	126	0.278884462151394	0.9
retinal cone cell	170	54	54	0.317647058823529	1
retinal ganglion cell	1906	572	487	0.300104931794334	0.851398601398601
retinal pigment epithelial cell	258	89	84	0.344961240310078	0.943820224719101
retinal rod cell	717	195	181	0.271966527196653	0.928205128205128
rod bipolar cell	905	252	227	0.278453038674033	0.900793650793651
starburst amacrine cell	103	33	33	0.320388349514563	1
