cluster	total	n_ohnologs	n_ohnolog_pairs	ohnologs%	families_divided_by_ohnologs%
GABAergic amacrine cell	1706	674	540	0.395076201641266	0.801186943620178
H1 horizontal cell	260	119	110	0.457692307692308	0.92436974789916
H2 horizontal cell	210	93	86	0.442857142857143	0.924731182795699
Mueller cell	1671	659	540	0.394374625972472	0.819423368740516
S cone cell	97	33	32	0.34020618556701	0.96969696969697
amacrine cell	64	31	28	0.484375	0.903225806451613
astrocyte	240	93	86	0.3875	0.924731182795699
glycinergic amacrine cell	324	155	133	0.478395061728395	0.858064516129032
microglial cell	221	41	39	0.18552036199095	0.951219512195122
midget ganglion cell of retina	3801	1043	797	0.274401473296501	0.764141898370086
parasol ganglion cell of retina	2663	796	665	0.298911002628614	0.835427135678392
retinal bipolar neuron	502	249	217	0.49601593625498	0.8714859437751
retinal cone cell	170	70	69	0.411764705882353	0.985714285714286
retinal ganglion cell	1906	551	480	0.289087093389297	0.871143375680581
retinal pigment epithelial cell	258	94	85	0.364341085271318	0.904255319148936
retinal rod cell	717	270	246	0.376569037656904	0.911111111111111
rod bipolar cell	905	332	296	0.366850828729282	0.891566265060241
starburst amacrine cell	103	53	49	0.514563106796116	0.924528301886792
