cluster	total	n_paralogs	n_paralog_pairs	paralogs%	families_divided_by_paralogs%
GABAergic amacrine cell	1706	1192	945	0.698710433763189	0.792785234899329
H1 horizontal cell	260	216	203	0.830769230769231	0.939814814814815
H2 horizontal cell	210	176	163	0.838095238095238	0.926136363636364
Mueller cell	1671	1191	973	0.712746858168761	0.81696053736356
S cone cell	97	65	65	0.670103092783505	1
amacrine cell	64	49	45	0.765625	0.918367346938776
astrocyte	240	184	161	0.766666666666667	0.875
glycinergic amacrine cell	324	265	233	0.817901234567901	0.879245283018868
microglial cell	221	122	98	0.552036199095023	0.80327868852459
midget ganglion cell of retina	3801	2069	1561	0.544330439358064	0.754470758820686
parasol ganglion cell of retina	2663	1568	1308	0.588809613218175	0.834183673469388
retinal bipolar neuron	502	390	338	0.776892430278884	0.866666666666667
retinal cone cell	170	124	121	0.729411764705882	0.975806451612903
retinal ganglion cell	1906	1101	938	0.577649527806925	0.851952770208901
retinal pigment epithelial cell	258	179	165	0.693798449612403	0.921787709497207
retinal rod cell	717	460	423	0.641562064156206	0.919565217391304
rod bipolar cell	905	586	525	0.647513812154696	0.895904436860068
starburst amacrine cell	103	87	82	0.844660194174757	0.942528735632184
