p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	species	gene_name	TF	type	family	orthogroup
0	8.1837231422386	0.348	0.002	0	Astrocytes	ENSG00000172201	Hsap	ID4	TRUE	Others		OG0000815
1.23412523444164e-296	7.10052351052354	0.247	0.003	2.42875846138115e-292	Astrocytes	ENSG00000125398	Hsap	SOX9	TRUE	WGD	ENSG00000100146,ENSG00000005513,ENSG00000125398	OG0000843
0	6.13562336360145	0.331	0.014	0	Astrocytes	ENSG00000115738	Hsap	ID2	TRUE	WGD	ENSG00000117318,ENSG00000125968,ENSG00000115738	OG0000815
7.09692030582784e-247	3.09145201436804	0.298	0.047	1.39667391618692e-242	Astrocytes	ENSG00000175745	Hsap	NR2F1	TRUE	WGD	ENSG00000175745,ENSG00000160113,ENSG00000185551	OG0000810
7.07706893967511e-78	2.09985895907051	0.17	0.054	1.39276716732806e-73	Astrocytes	ENSG00000184486	Hsap	POU3F2	TRUE	WGD	ENSG00000184486,ENSG00000198914,ENSG00000185668	OG0000114
2.23832796985477e-67	0.826552871410799	0.496	0.353	4.40502944467419e-63	Astrocytes	ENSG00000143190	Hsap	POU2F1	TRUE	SSD	ENSG00000028277,ENSG00000064835,ENSG00000137709,ENSG00000143190,ENSG00000196767,ENSG00000204531,ENSG00000212993	OG0000114
3.98129387543785e-97	6.58364759568265	0.424	0.01	7.47965680378509e-93	Astrocytes	Sox9	Mmus	ENSMUSG00000000567	TRUE	WGD	Sox10,Sox8,Sox9	OG0000843
5.51938475116271e-51	6.53509924090659	0.259	0.007	1.03692681320094e-46	Astrocytes	Id4	Mmus	ENSMUSG00000021379	TRUE	Others		OG0000815
4.58626052033638e-20	3.88533737783457	0.134	0.017	8.61620763955597e-16	Astrocytes	Id1	Mmus	ENSMUSG00000042745	TRUE	WGD	Id1,Id3,Id2	OG0000815
2.47120974926307e-15	2.21779380391001	0.192	0.079	4.64266175594052e-11	Astrocytes	Nr2f1	Mmus	ENSMUSG00000069171	TRUE	WGD	Nr2f2,Nr2f1,Nr2f6	OG0000810
1.77502133756595e-12	1.45665643013689	0.214	0.112	3.33473258688514e-08	Astrocytes	Pou3f3	Mmus	ENSMUSG00000045515	TRUE	WGD	Pou3f1,Pou3f2,Pou3f3	OG0000114
1.62029299736284e-34	1.77147650219921	0.471	0.269	3.04404445414556e-30	Astrocytes	Id2	Mmus	ENSMUSG00000020644	TRUE	WGD	Id1,Id3,Id2	OG0000815
0	5.80555550205125	0.49	0.012	0	Astrocytes	SOX9	Pvit	SOX9	TRUE	WGD	SOX9,SOX10,SOX8	OG0000843
0	5.31562622570391	0.858	0.073	0	Astrocytes	ID4	Pvit	ID4	TRUE	WGD	ID4,ID3	OG0000815
1.89063534203601e-155	1.99209583897592	0.32	0.108	3.57159922464022e-151	Astrocytes	NR2F2	Pvit	NR2F2	TRUE	WGD	NR2F2,NR2F6	OG0000810
3.64029622236142e-38	1.33646419570993	0.12	0.048	6.87688359366296e-34	Astrocytes	POU3F3	Pvit	POU3F3	TRUE	WGD	LOC110070984,POU3F3	OG0000114
1.02296404288506e-168	6.43129827417873	0.148	0.002	2.01319323639779e-164	Oligodendrocyte precursor cells	ENSG00000100146	Hsap	SOX10	TRUE	WGD	ENSG00000100146,ENSG00000005513,ENSG00000125398	OG0000843
0	5.81583476235504	0.374	0.008	0	Oligodendrocyte precursor cells	ENSG00000205927	Hsap	OLIG2	TRUE	WGD	ENSG00000177468,ENSG00000205927	OG0001989
0	6.43868959016285	0.779	0.022	0	Oligodendrocyte precursor cells	ENSG00000184221	Hsap	OLIG1	TRUE	Others		OG0013365
3.95185628078396e-242	3.67098595578227	0.247	0.02	7.77725316058284e-238	Oligodendrocyte precursor cells	ENSG00000005513	Hsap	SOX8	TRUE	WGD	ENSG00000100146,ENSG00000005513,ENSG00000125398	OG0000843
1.44419019564276e-162	2.283528307498	0.255	0.058	2.84216630502495e-158	Oligodendrocyte precursor cells	ENSG00000244405	Hsap	ETV5	TRUE	SSD	ENSG00000006468,ENSG00000175832,ENSG00000244405	OG0000883
8.73663557460138e-167	1.63132238451198	0.381	0.144	1.71936988108155e-162	Oligodendrocyte precursor cells	ENSG00000006468	Hsap	ETV1	TRUE	SSD	ENSG00000006468,ENSG00000175832,ENSG00000244405	OG0000883
4.11849390962631e-21	0.73841932813655	0.114	0.06	8.10519601414459e-17	Oligodendrocyte precursor cells	ENSG00000143842	Hsap	SOX13	TRUE	WGD	ENSG00000134532,ENSG00000143842,ENSG00000110693	OG0001046
0	2.33577761365213	0.989	0.748	0	Oligodendrocyte precursor cells	ENSG00000110693	Hsap	SOX6	TRUE	WGD	ENSG00000134532,ENSG00000143842,ENSG00000110693	OG0001046
0	5.67358980782433	0.343	0.004	0	Oligodendrocyte precursor cells	Sox10	Mmus	ENSMUSG00000033006	TRUE	WGD	Sox10,Sox8,Sox9	OG0000843
0	3.23948203664669	0.724	0.094	0	Oligodendrocyte precursor cells	Olig2	Mmus	ENSMUSG00000039830	TRUE	WGD	Olig2,Olig3	OG0001989
0	3.98066796819657	0.986	0.223	0	Oligodendrocyte precursor cells	Olig1	Mmus	ENSMUSG00000046160	TRUE	Others		OG0013365
1.55432612446847e-38	1.11767592754514	0.266	0.093	2.92011249003892e-34	Oligodendrocyte precursor cells	Sox6	Mmus	ENSMUSG00000051910	TRUE	WGD	Sox6,Sox13,Sox5	OG0001046
4.97525203548073e-14	0.924027704452883	0.101	0.037	9.34700599905764e-10	Oligodendrocyte precursor cells	Etv1	Mmus	ENSMUSG00000004151	TRUE	SSD	Etv1,Etv4,Etv5	OG0000883
7.62572054665063e-14	0.670327420413888	0.183	0.088	1.43264411909925e-09	Oligodendrocyte precursor cells	Etv4	Mmus	ENSMUSG00000017724	TRUE	SSD	Etv1,Etv4,Etv5	OG0000883
2.87098362175615e-21	0.672374476416658	0.302	0.149	5.39371693019328e-17	Oligodendrocyte precursor cells	Sox8	Mmus	ENSMUSG00000024176	TRUE	WGD	Sox10,Sox8,Sox9	OG0000843
5.86535889915931e-289	4.95319800772173	0.256	0.009	1.10802494964019e-284	Oligodendrocyte precursor cells	SOX10	Pvit	SOX10	TRUE	WGD	SOX9,SOX10,SOX8	OG0000843
0	5.22364975573818	0.641	0.03	0	Oligodendrocyte precursor cells	OLIG2	Pvit	OLIG2	TRUE	WGD	OLIG3,OLIG2	OG0001989
0	4.457167224185	0.792	0.064	0	Oligodendrocyte precursor cells	SOX8	Pvit	SOX8	TRUE	WGD	SOX9,SOX10,SOX8	OG0000843
0	4.65117057100377	0.823	0.086	0	Oligodendrocyte precursor cells	OLIG1	Pvit	OLIG1	TRUE	Others		OG0013365
8.86709381589628e-194	3.13251635442145	0.225	0.028	1.67508269276097e-189	Oligodendrocyte precursor cells	SOX6	Pvit	SOX6	TRUE	WGD	SOX13,SOX5,SOX6	OG0001046
6.05999101453418e-41	1.51015978225408	0.105	0.036	1.14479290255565e-36	Oligodendrocyte precursor cells	ETV5	Pvit	ETV5	TRUE	WGD	ETV5,ETV1	OG0000883
1.09187221981515e-59	1.58790663476298	0.153	0.054	2.06265581045281e-55	Oligodendrocyte precursor cells	ETV1	Pvit	ETV1	TRUE	WGD	ETV5,ETV1	OG0000883
2.7162099707109e-72	1.31094334394991	0.24	0.105	5.13119225566997e-68	Oligodendrocyte precursor cells	SOX5	Pvit	SOX5	TRUE	WGD	SOX13,SOX5,SOX6	OG0001046
