p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	species	gene_name	TF	type	family	orthogroup
0	10.0621749165019	0.626	0.001	0	Astrocytes	ENSG00000124440	Hsap	HIF3A	TRUE	WGD	ENSG00000124440,ENSG00000100644,ENSG00000116016	OG0001189
0	8.93684458225754	0.348	0.001	0	Astrocytes	ENSG00000172201	Hsap	ID4	TRUE	Others		OG0000815
0	8.86752704896605	0.331	0.002	0	Astrocytes	ENSG00000115738	Hsap	ID2	TRUE	WGD	ENSG00000117318,ENSG00000125968,ENSG00000115738	OG0000815
0	7.47329528755268	0.298	0.002	0	Astrocytes	ENSG00000175745	Hsap	NR2F1	TRUE	WGD	ENSG00000175745,ENSG00000160113,ENSG00000185551	OG0000810
2.5501817450053e-261	4.67180042554779	0.247	0.015	5.01875767417043e-257	Astrocytes	ENSG00000125398	Hsap	SOX9	TRUE	WGD	ENSG00000100146,ENSG00000005513,ENSG00000125398	OG0000843
2.05651331070808e-232	2.7371774467881	0.308	0.057	4.0472181954735e-228	Astrocytes	ENSG00000100644	Hsap	HIF1A	TRUE	WGD	ENSG00000124440,ENSG00000100644,ENSG00000116016	OG0001189
0	2.32728590130467	0.856	0.306	0	Astrocytes	ENSG00000147862	Hsap	NFIB	TRUE	WGD	ENSG00000147862,ENSG00000008441,ENSG00000141905,ENSG00000162599	OG0000557
6.12517080001322e-149	1.82229548139029	0.379	0.159	1.2054336134426e-144	Astrocytes	ENSG00000181449	Hsap	SOX2	TRUE	WGD	ENSG00000134595,ENSG00000182968,ENSG00000181449	OG0000314
3.80889303614209e-248	1.72632276426011	0.567	0.28	7.49590149512763e-244	Astrocytes	ENSG00000134138	Hsap	MEIS2	TRUE	SSD	ENSG00000105419,ENSG00000134138,ENSG00000143995	OG0000849
5.91782542773702e-29	0.958033379117437	0.17	0.095	1.16462804417865e-24	Astrocytes	ENSG00000182944	Hsap	EWSR1	TRUE	Others		OG0001740
2.69065229105524e-278	1.10351256921718	0.761	0.426	5.29520370879671e-274	Astrocytes	ENSG00000185630	Hsap	PBX1	TRUE	WGD	ENSG00000204304,ENSG00000167081,ENSG00000185630,ENSG00000105717	OG0000672
0	1.83133425059826	0.969	0.694	0	Astrocytes	ENSG00000162599	Hsap	NFIA	TRUE	WGD	ENSG00000147862,ENSG00000008441,ENSG00000141905,ENSG00000162599	OG0000557
6.34700344122824e-158	11.522532367112	0.134	0	1.19241153650355e-153	Astrocytes	Id1	Mmus	ENSMUSG00000042745	TRUE	WGD	Id1,Id3,Id2	OG0000815
0	11.5173358507996	0.259	0	0	Astrocytes	Id4	Mmus	ENSMUSG00000021379	TRUE	Others		OG0000815
3.09690005553276e-118	8.89777582341017	0.103	0	5.8181461343294e-114	Astrocytes	Sox1	Mmus	ENSMUSG00000096014	TRUE	WGD	Sox3,Sox1,Sox2	OG0000314
0	10.6361728484649	0.471	0.001	0	Astrocytes	Id2	Mmus	ENSMUSG00000020644	TRUE	WGD	Id1,Id3,Id2	OG0000815
0	8.59083719980412	0.424	0.001	0	Astrocytes	Sox9	Mmus	ENSMUSG00000000567	TRUE	WGD	Sox10,Sox8,Sox9	OG0000843
3.79009497336663e-225	7.6511006710032	0.192	0.002	7.12045142646389e-221	Astrocytes	Nr2f1	Mmus	ENSMUSG00000069171	TRUE	WGD	Nr2f2,Nr2f1,Nr2f6	OG0000810
2.35764514552678e-136	6.81342501179067	0.122	0.002	4.42930793490116e-132	Astrocytes	Meis2	Mmus	ENSMUSG00000027210	TRUE	SSD	Meis1,Meis2,Meis3	OG0000849
0	6.58021431781275	0.297	0.007	0	Astrocytes	Pbx1	Mmus	ENSMUSG00000052534	TRUE	WGD	Pbx3,Pbx2,Pbx1,Pbx4	OG0000672
9.74584575973132e-210	4.75472104586367	0.204	0.013	1.83095204288072e-205	Astrocytes	Epas1	Mmus	ENSMUSG00000024140	TRUE	WGD	Hif3a,Epas1,Hif1a	OG0001189
1.12836791872264e-232	3.39644846172503	0.265	0.035	2.11986480890422e-228	Astrocytes	Sox2	Mmus	ENSMUSG00000074637	TRUE	WGD	Sox3,Sox1,Sox2	OG0000314
5.70916944310389e-69	3.3686190348661	0.101	0.019	1.07258166327593e-64	Astrocytes	Hif1a	Mmus	ENSMUSG00000021109	TRUE	WGD	Hif3a,Epas1,Hif1a	OG0001189
8.05031156496708e-166	2.92210897185654	0.234	0.047	1.51241203371036e-161	Astrocytes	Nfia	Mmus	ENSMUSG00000028565	TRUE	WGD	Nfia,Nfib,Nfic,Nfix	OG0000557
5.19168221981326e-206	2.95980723489808	0.291	0.065	9.75361338636317e-202	Astrocytes	Nfib	Mmus	ENSMUSG00000008575	TRUE	WGD	Nfia,Nfib,Nfic,Nfix	OG0000557
2.20867248495678e-54	1.75158164065962	0.135	0.048	4.14943299748831e-50	Astrocytes	Ewsr1	Mmus	ENSMUSG00000009079	TRUE	Others		OG0001740
1.43181670547996e-40	1.85755409204943	0.124	0.051	2.6899540445852e-36	Astrocytes	Nfic	Mmus	ENSMUSG00000055053	TRUE	WGD	Nfia,Nfib,Nfic,Nfix	OG0000557
1.09530333411393e-58	1.70883413630484	0.189	0.084	2.05774637379984e-54	Astrocytes	Nfix	Mmus	ENSMUSG00000001911	TRUE	WGD	Nfia,Nfib,Nfic,Nfix	OG0000557
0	3.46167388180604	0.49	0.052	0	Astrocytes	SOX9	Pvit	SOX9	TRUE	WGD	SOX9,SOX10,SOX8	OG0000843
3.13057136379918e-184	3.19937668864316	0.216	0.027	5.91396236335302e-180	Astrocytes	SOX1	Pvit	SOX1	TRUE	SSD	SOX1,SOX14,SOX2,SOX21	OG0000314
0	4.07606907987983	0.858	0.131	0	Astrocytes	ID4	Pvit	ID4	TRUE	WGD	ID4,ID3	OG0000815
2.07554012603577e-79	2.73198688799728	0.112	0.019	3.92090285209417e-75	Astrocytes	MEIS2	Pvit	MEIS2	TRUE	Others		OG0000849
1.55661179055812e-239	2.79669509178611	0.32	0.065	2.94059533354334e-235	Astrocytes	NR2F2	Pvit	NR2F2	TRUE	WGD	NR2F2,NR2F6	OG0000810
4.02158652316572e-58	1.48522215462003	0.167	0.065	7.59717910091236e-54	Astrocytes	HIF1A	Pvit	HIF1A	TRUE	WGD	HIF1A,HIF3A,EPAS1	OG0001189
1.03192812305516e-47	1.15384972385425	0.171	0.075	1.9494154172635e-43	Astrocytes	SOX2	Pvit	SOX2	TRUE	SSD	SOX1,SOX14,SOX2,SOX21	OG0000314
1.56595689134675e-59	0.852063787138085	0.4	0.257	2.95824916344314e-55	Astrocytes	FUS	Pvit	FUS	TRUE	WGD	FUS,EWSR1,LOC110085131	OG0001740
8.32739087308353e-22	0.67078248274663	0.206	0.134	1.57312740983421e-17	Astrocytes	PBX1	Pvit	PBX1	TRUE	WGD	PBX3,PBX1	OG0000672
1.78936505374674e-36	0.695268916641195	0.339	0.23	3.38028952303296e-32	Astrocytes	NFIA	Pvit	NFIA	TRUE	WGD	NFIB,NFIC,NFIX,NFIA	OG0000557
4.87818099719464e-85	0.685797208872419	0.7	0.558	9.21537172180039e-81	Astrocytes	NFIX	Pvit	NFIX	TRUE	WGD	NFIB,NFIC,NFIX,NFIA	OG0000557
0	6.84903295020195	0.543	0.008	0	Oligodendrocytes	ENSG00000148826	Hsap	NKX6-2	TRUE	SSD	ENSG00000148826,ENSG00000163623,ENSG00000165066	OG0001688
2.74070777550759e-131	6.29386723545117	0.118	0.002	5.39371290219894e-127	Oligodendrocytes	ENSG00000100146	Hsap	SOX10	TRUE	WGD	ENSG00000100146,ENSG00000005513,ENSG00000125398	OG0000843
0	5.41355971959447	0.784	0.046	0	Oligodendrocytes	ENSG00000146592	Hsap	CREB5	TRUE	WGD	ENSG00000146592,ENSG00000170653,ENSG00000115966	OG0000608
0	4.35451597868894	0.323	0.022	0	Oligodendrocytes	ENSG00000184221	Hsap	OLIG1	TRUE	Others		OG0013365
4.91042584050793e-74	2.47177902578696	0.11	0.02	9.6637180541196e-70	Oligodendrocytes	ENSG00000005513	Hsap	SOX8	TRUE	WGD	ENSG00000100146,ENSG00000005513,ENSG00000125398	OG0000843
0	2.71033649481208	0.44	0.096	0	Oligodendrocytes	ENSG00000170802	Hsap	FOXN2	TRUE	WGD	ENSG00000053254,ENSG00000170802	OG0001658
0	2.83142639883885	0.564	0.131	0	Oligodendrocytes	ENSG00000149557	Hsap	FEZ1	TRUE	SSD	ENSG00000149557,ENSG00000171055	OG0002070
