Dup1	Dup2
bf_00006061	bf_00017667
bf_00006061	bf_00018857
bf_00006061	bf_00024044
bf_00017667	bf_00018857
bf_00017667	bf_00024044
bf_00018857	bf_00024044
bf_00000048	bf_00000193
bf_00000048	bf_00002082
bf_00000048	bf_00007151
bf_00000048	bf_00008345
bf_00000048	bf_00011167
bf_00000048	bf_00012648
bf_00000048	bf_00013718
bf_00000048	bf_00016071
bf_00000048	bf_00016546
bf_00000048	bf_00017684
bf_00000048	bf_00021151
bf_00000048	bf_00021469
bf_00000048	bf_00021506
bf_00000048	bf_00021822
bf_00000048	bf_00022577
bf_00000048	bf_00022580
bf_00000048	bf_00023278
bf_00000048	bf_00023495
bf_00000048	bf_00023619
bf_00000048	bf_00024254
bf_00000048	bf_00024838
bf_00000048	bf_00024847
bf_00000048	bf_00024891
bf_00000193	bf_00002082
bf_00000193	bf_00007151
bf_00000193	bf_00008345
bf_00000193	bf_00011167
bf_00000193	bf_00012648
bf_00000193	bf_00013718
bf_00000193	bf_00016071
bf_00000193	bf_00016546
bf_00000193	bf_00017684
bf_00000193	bf_00021151
bf_00000193	bf_00021469
bf_00000193	bf_00021506
bf_00000193	bf_00021822
bf_00000193	bf_00022577
bf_00000193	bf_00022580
bf_00000193	bf_00023278
bf_00000193	bf_00023495
bf_00000193	bf_00023619
bf_00000193	bf_00024254
bf_00000193	bf_00024838
bf_00000193	bf_00024847
bf_00000193	bf_00024891
bf_00002082	bf_00007151
bf_00002082	bf_00008345
bf_00002082	bf_00011167
bf_00002082	bf_00012648
bf_00002082	bf_00013718
bf_00002082	bf_00016071
bf_00002082	bf_00016546
bf_00002082	bf_00017684
bf_00002082	bf_00021151
bf_00002082	bf_00021469
bf_00002082	bf_00021506
bf_00002082	bf_00021822
bf_00002082	bf_00022577
bf_00002082	bf_00022580
bf_00002082	bf_00023278
bf_00002082	bf_00023495
bf_00002082	bf_00023619
bf_00002082	bf_00024254
bf_00002082	bf_00024838
bf_00002082	bf_00024847
bf_00002082	bf_00024891
bf_00007151	bf_00008345
bf_00007151	bf_00011167
bf_00007151	bf_00012648
bf_00007151	bf_00013718
bf_00007151	bf_00016071
bf_00007151	bf_00016546
bf_00007151	bf_00017684
bf_00007151	bf_00021151
bf_00007151	bf_00021469
bf_00007151	bf_00021506
bf_00007151	bf_00021822
bf_00007151	bf_00022577
bf_00007151	bf_00022580
bf_00007151	bf_00023278
bf_00007151	bf_00023495
bf_00007151	bf_00023619
bf_00007151	bf_00024254
bf_00007151	bf_00024838
bf_00007151	bf_00024847
bf_00007151	bf_00024891
bf_00008345	bf_00011167
bf_00008345	bf_00012648
bf_00008345	bf_00013718
bf_00008345	bf_00016071
bf_00008345	bf_00016546
bf_00008345	bf_00017684
bf_00008345	bf_00021151
bf_00008345	bf_00021469
bf_00008345	bf_00021506
bf_00008345	bf_00021822
bf_00008345	bf_00022577
bf_00008345	bf_00022580
bf_00008345	bf_00023278
bf_00008345	bf_00023495
bf_00008345	bf_00023619
bf_00008345	bf_00024254
bf_00008345	bf_00024838
bf_00008345	bf_00024847
bf_00008345	bf_00024891
bf_00011167	bf_00012648
bf_00011167	bf_00013718
bf_00011167	bf_00016071
bf_00011167	bf_00016546
bf_00011167	bf_00017684
bf_00011167	bf_00021151
bf_00011167	bf_00021469
bf_00011167	bf_00021506
bf_00011167	bf_00021822
bf_00011167	bf_00022577
bf_00011167	bf_00022580
bf_00011167	bf_00023278
bf_00011167	bf_00023495
bf_00011167	bf_00023619
bf_00011167	bf_00024254
bf_00011167	bf_00024838
bf_00011167	bf_00024847
bf_00011167	bf_00024891
bf_00012648	bf_00013718
bf_00012648	bf_00016071
bf_00012648	bf_00016546
bf_00012648	bf_00017684
bf_00012648	bf_00021151
bf_00012648	bf_00021469
bf_00012648	bf_00021506
bf_00012648	bf_00021822
bf_00012648	bf_00022577
bf_00012648	bf_00022580
bf_00012648	bf_00023278
bf_00012648	bf_00023495
bf_00012648	bf_00023619
bf_00012648	bf_00024254
bf_00012648	bf_00024838
bf_00012648	bf_00024847
bf_00012648	bf_00024891
bf_00013718	bf_00016071
bf_00013718	bf_00016546
bf_00013718	bf_00017684
bf_00013718	bf_00021151
bf_00013718	bf_00021469
bf_00013718	bf_00021506
bf_00013718	bf_00021822
bf_00013718	bf_00022577
bf_00013718	bf_00022580
bf_00013718	bf_00023278
bf_00013718	bf_00023495
bf_00013718	bf_00023619
bf_00013718	bf_00024254
bf_00013718	bf_00024838
bf_00013718	bf_00024847
bf_00013718	bf_00024891
bf_00016071	bf_00016546
bf_00016071	bf_00017684
bf_00016071	bf_00021151
bf_00016071	bf_00021469
bf_00016071	bf_00021506
bf_00016071	bf_00021822
bf_00016071	bf_00022577
bf_00016071	bf_00022580
bf_00016071	bf_00023278
bf_00016071	bf_00023495
bf_00016071	bf_00023619
bf_00016071	bf_00024254
bf_00016071	bf_00024838
