Ohno1	Ohno2	Symbol1	Symbol2
VIL1	AVIL	VIL1	AVIL
HCN1	HCN3	HCN1	HCN3
P2RX4	P2RX5	P2RX4	P2RX5
ADRA2B	ADRA2A	ADRA2B	ADRA2A
FSTL3	LOC110072309	FSTL3	LOC110072309
CUNH15orf59	PRR16	CUNH15orf59	PRR16
EN2	EN1	EN2	EN1
PRKAG3	PRKAG1	PRKAG3	PRKAG1
ASXL3	ASXL1	ASXL3	ASXL1
GLCCI1	FAM117B	GLCCI1	FAM117B
TIAM1	TIAM2	TIAM1	TIAM2
KCNJ2	KCNJ12	KCNJ2	KCNJ12
MIP	AQP2	MIP	AQP2
UBE2D1	UBE2D3	UBE2D1	UBE2D3
LOC110088903	EPHB4	LOC110088903	EPHB4
TFAP2E	TFAP2A	TFAP2E	TFAP2A
VEGFD	VEGFC	VEGFD	VEGFC
NEUROG3	NEUROG1	NEUROG3	NEUROG1
LDLR	LRP8	LDLR	LRP8
CCAR1	CCAR2	CCAR1	CCAR2
PDLIM3	PDLIM2	PDLIM3	PDLIM2
NRG1	NRG2	NRG1	NRG2
KIF1C	KIF1B	KIF1C	KIF1B
ARHGAP27	LOC110070841	ARHGAP27	LOC110070841
ITGA10	ITGA1	ITGA10	ITGA1
GOLPH3L	GOLPH3	GOLPH3L	GOLPH3
MAP1A	MAP1B	MAP1A	MAP1B
HOXD8	HOXC8	HOXD8	HOXC8
SCRN3	SCRN1	SCRN3	SCRN1
CACNG8	CACNG3	CACNG8	CACNG3
CKAP2	CKAP2L	CKAP2	CKAP2L
TPST1	TPST2	TPST1	TPST2
ITGA6	ITGA7	ITGA6	ITGA7
LOC110072475	ANP32E	LOC110072475	ANP32E
LOC110085110	LOC110074831	LOC110085110	LOC110074831
NDST2	LOC110083896	NDST2	LOC110083896
FAM117B	FAM117A	FAM117B	FAM117A
LOC110091117	NHLH1	LOC110091117	NHLH1
IGF2BP3	IGF2BP2	IGF2BP3	IGF2BP2
SLC1A3	SLC1A7	SLC1A3	SLC1A7
DOK5	DOK4	DOK5	DOK4
ZFYVE16	ZFYVE9	ZFYVE16	ZFYVE9
LOC110085110	LOC110074822	LOC110085110	LOC110074822
PHYHIP	PHYHIPL	PHYHIP	PHYHIPL
DEDD2	DEDD	DEDD2	DEDD
DVL1	DVL3	DVL1	DVL3
OCSTAMP	DCSTAMP	OCSTAMP	DCSTAMP
YWHAZ	SFN	YWHAZ	SFN
BMP2K	AAK1	BMP2K	AAK1
MAFK	MAFG	MAFK	MAFG
FAM107A	FAM107B	FAM107A	FAM107B
EPHA8	EPHA3	EPHA8	EPHA3
TFAP2B	TFAP2E	TFAP2B	TFAP2E
PHKA1	PHKA2	PHKA1	PHKA2
NIPA2	NIPAL1	NIPA2	NIPAL1
PAPD7	PAPD5	PAPD7	PAPD5
FAM169B	FAM169A	FAM169B	FAM169A
IPCEF1	CNKSR2	IPCEF1	CNKSR2
CTNND1	ARVCF	CTNND1	ARVCF
LOC110077225	TMOD1	LOC110077225	TMOD1
NR4A2	NR4A3	NR4A2	NR4A3
LOC110073558	LOC110079849	LOC110073558	LOC110079849
DNMT3B	DNMT3A	DNMT3B	DNMT3A
LOC110084065	HYAL3	LOC110084065	HYAL3
DNAH9	DNAH11	DNAH9	DNAH11
ATP2B2	ATP2B4	ATP2B2	ATP2B4
LOC110085660	LOC110078305	LOC110085660	LOC110078305
SLC7A5	SLC7A8	SLC7A5	SLC7A8
RNF157	MGRN1	RNF157	MGRN1
LOC110078499	LMTK2	LOC110078499	LMTK2
PPFIA2	PPFIA1	PPFIA2	PPFIA1
ST3GAL5	ST3GAL2	ST3GAL5	ST3GAL2
HOXD13	HOXB13	HOXD13	HOXB13
SKI	SKIL	SKI	SKIL
LOC110086457	SSC4D	LOC110086457	SSC4D
PAX7	PAX3	PAX7	PAX3
TBX15	TBX18	TBX15	TBX18
COLGALT2	CERCAM	COLGALT2	CERCAM
RAB11FIP1	RAB11FIP2	RAB11FIP1	RAB11FIP2
AP2A1	AP2A2	AP2A1	AP2A2
OCSTAMP	DCST2	OCSTAMP	DCST2
KCNG1	KCNG4	KCNG1	KCNG4
HOXA4	HOXB4	HOXA4	HOXB4
NGF	BDNF	NGF	BDNF
NCOA1	NCOA3	NCOA1	NCOA3
FNDC3A	FNDC3B	FNDC3A	FNDC3B
CORO1B	CORO6	CORO1B	CORO6
HES1	HES4	HES1	HES4
NECTIN3	NECTIN2	NECTIN3	NECTIN2
SOX7	SOX18	SOX7	SOX18
ORMDL3	ORMDL1	ORMDL3	ORMDL1
SYN1	SYN3	SYN1	SYN3
VAMP3	VAMP1	VAMP3	VAMP1
LOC110072432	SYK	LOC110072432	SYK
JAKMIP2	JAKMIP1	JAKMIP2	JAKMIP1
ACSL1	ACSL6	ACSL1	ACSL6
ABCB11	ABCB5	ABCB11	ABCB5
PKDCC	LOC110090554	PKDCC	LOC110090554
HOXB9	HOXA9	HOXB9	HOXA9
NELL2	NELL1	NELL2	NELL1
MBOAT2	MBOAT1	MBOAT2	MBOAT1
CNPY1	CNPY2	CNPY1	CNPY2
ENO2	ENO1	ENO2	ENO1
DVL1	DIXDC1	DVL1	DIXDC1
PEX11B	PEX11A	PEX11B	PEX11A
ABCD2	ABCD1	ABCD2	ABCD1
PPP1R3D	PPP1R3E	PPP1R3D	PPP1R3E
PFKFB1	PFKFB3	PFKFB1	PFKFB3
LOC110087561	CAPN12	LOC110087561	CAPN12
HOXA4	HOXC4	HOXA4	HOXC4
RHOA	RHOC	RHOA	RHOC
HIF1A	EPAS1	HIF1A	EPAS1
HSF1	HSF4	HSF1	HSF4
EPS8L1	EPS8L2	EPS8L1	EPS8L2
ARHGEF3	NET1	ARHGEF3	NET1
SLC44A2	SLC44A5	SLC44A2	SLC44A5
LOC110070122	CFD	LOC110070122	CFD
PNPLA7	PNPLA6	PNPLA7	PNPLA6
WASL	WAS	WASL	WAS
CHD5	CHD4	CHD5	CHD4
LOC110077226	TMOD1	LOC110077226	TMOD1
MYO10	LOC110078205	MYO10	LOC110078205
NPR2	NPR1	NPR2	NPR1
CTSD	REN	CTSD	REN
SPNS1	SPNS2	SPNS1	SPNS2
JOSD1	JOSD2	JOSD1	JOSD2
SIPA1L1	SIPA1	SIPA1L1	SIPA1
SSTR3	SSTR5	SSTR3	SSTR5
ACTN3	ACTN4	ACTN3	ACTN4
RFFL	RNF34	RFFL	RNF34
GPAT4	GPAT3	GPAT4	GPAT3
CEBPB	CEBPA	CEBPB	CEBPA
BARHL2	BARHL1	BARHL2	BARHL1
RIOX2	RIOX1	RIOX2	RIOX1
SH2B3	SH2B2	SH2B3	SH2B2
LOC110072475	ANP32A	LOC110072475	ANP32A
MYCN	MYCL	MYCN	MYCL
UBE2D2	UBE2D1	UBE2D2	UBE2D1
MET	MST1R	MET	MST1R
ANKRD12	ANKRD11	ANKRD12	ANKRD11
HDAC5	HDAC4	HDAC5	HDAC4
ENAH	VASP	ENAH	VASP
ARHGEF26	NGEF	ARHGEF26	NGEF
SLC23A2	SLC23A1	SLC23A2	SLC23A1
FAM219A	FAM219B	FAM219A	FAM219B
DTX1	DTX2	DTX1	DTX2
SPOCK3	SPOCK1	SPOCK3	SPOCK1
