Ohno1	Ohno2	Symbol1	Symbol2
Ssbp2	Ssbp4	ENSMUSG00000003992	ENSMUSG00000070003
Pla2g7	Pafah2	ENSMUSG00000023913	ENSMUSG00000037366
Slc7a8	Slc7a6	ENSMUSG00000022180	ENSMUSG00000031904
Tjp1	Tjp3	ENSMUSG00000030516	ENSMUSG00000034917
Sox14	Sox21	ENSMUSG00000053747	ENSMUSG00000061517
Cyp4v3	Cyp4a12a	ENSMUSG00000079057	ENSMUSG00000066071
Fgfr1op2	Sike1	ENSMUSG00000040242	ENSMUSG00000027854
Tpst1	Tpst2	ENSMUSG00000034118	ENSMUSG00000029344
Paxbp1	Gcfc2	ENSMUSG00000022974	ENSMUSG00000035125
Mogat2	Dgat2l6	ENSMUSG00000052396	ENSMUSG00000067597
Mast2	Mast3	ENSMUSG00000003810	ENSMUSG00000031833
Cdkn1b	Cdkn1c	ENSMUSG00000003031	ENSMUSG00000037664
Adam10	Adam34	ENSMUSG00000054693	ENSMUSG00000079058
Irf4	Irf8	ENSMUSG00000021356	ENSMUSG00000041515
Nr2f6	Nr2f2	ENSMUSG00000002393	ENSMUSG00000030551
Sema4a	Sema4g	ENSMUSG00000028064	ENSMUSG00000025207
Sypl2	Sypl1	ENSMUSG00000027887	ENSMUSG00000020570
Ehbp1l1	Ehbp1	ENSMUSG00000024937	ENSMUSG00000042302
Fgf1	Fgf2	ENSMUSG00000036585	ENSMUSG00000037225
Cited1	Cited4	ENSMUSG00000051159	ENSMUSG00000070803
Grpel2	Grpel1	ENSMUSG00000024580	ENSMUSG00000029198
Antxr2	Antxr1	ENSMUSG00000029338	ENSMUSG00000033420
H2ac19	H2ac6	ENSMUSG00000063954	ENSMUSG00000069270
Chd6	Chd7	ENSMUSG00000057133	ENSMUSG00000041235
Htra3	Htra1	ENSMUSG00000029096	ENSMUSG00000006205
Tshr	Lhcgr	ENSMUSG00000020963	ENSMUSG00000024107
Xylt1	Xylt2	ENSMUSG00000030657	ENSMUSG00000020868
Camsap1	Camsap2	ENSMUSG00000026933	ENSMUSG00000041570
Slc5a7	Gm5134	ENSMUSG00000023945	ENSMUSG00000033255
Klhl40	Klhl41	ENSMUSG00000074001	ENSMUSG00000075307
Adam39	Adam30	ENSMUSG00000054033	ENSMUSG00000043468
Mageb11	Magea2	ENSMUSG00000091497	ENSMUSG00000055746
Tmem59	Tmem59l	ENSMUSG00000028618	ENSMUSG00000035964
Slc27a5	Slc27a6	ENSMUSG00000030382	ENSMUSG00000024600
Adam7	Adam6b	ENSMUSG00000022056	ENSMUSG00000051804
Atp6v0e	Atp6v0e2	ENSMUSG00000015575	ENSMUSG00000039347
Itpr3	Itpr1	ENSMUSG00000042644	ENSMUSG00000030102
Rrbp1	Ktn1	ENSMUSG00000027422	ENSMUSG00000021843
Arhgef11	Arhgef12	ENSMUSG00000041977	ENSMUSG00000059495
Slit3	Slit1	ENSMUSG00000056427	ENSMUSG00000025020
C4a	Hc	ENSMUSG00000015451	ENSMUSG00000026874
Sult2a5	Sult5a1	ENSMUSG00000078799	ENSMUSG00000000739
Jade3	Jade2	ENSMUSG00000037315	ENSMUSG00000020387
Klc3	Klc1	ENSMUSG00000040714	ENSMUSG00000021288
Slc22a26	Slc22a13b	ENSMUSG00000053303	ENSMUSG00000092212
Fam98b	Fam98a	ENSMUSG00000027349	ENSMUSG00000002017
Aldoart2	Aldoc	ENSMUSG00000063129	ENSMUSG00000017390
Zhx1	Zhx3	ENSMUSG00000022361	ENSMUSG00000035877
Upf3a	Upf3b	ENSMUSG00000038398	ENSMUSG00000036572
Spopl	Spopfm3	ENSMUSG00000026771	ENSMUSG00000090268
Col27a1	Col24a1	ENSMUSG00000045672	ENSMUSG00000028197
Adam1a	Adam10	ENSMUSG00000072647	ENSMUSG00000054693
