Ohno1	Ohno2	Symbol1	Symbol2
ENSG00000076356	ENSG00000221866	PLXNA2	PLXNA4
ENSG00000166128	ENSG00000084733	RAB8B	RAB10
ENSG00000147588	ENSG00000166426	PMP2	CRABP1
ENSG00000100884	ENSG00000140848	CPNE6	CPNE2
ENSG00000188322	ENSG00000231274	SBK1	SBK3
ENSG00000147262	ENSG00000146360	GPR119	GPR6
ENSG00000154928	ENSG00000146904	EPHB1	EPHA1
ENSG00000123600	ENSG00000087995	METTL8	METTL2A
ENSG00000162687	ENSG00000107147	KCNT2	KCNT1
ENSG00000126778	ENSG00000170577	SIX1	SIX2
ENSG00000080298	ENSG00000196460	RFX3	RFX8
ENSG00000100302	ENSG00000108551	RASD2	RASD1
ENSG00000196935	ENSG00000196220	SRGAP1	SRGAP3
ENSG00000080709	ENSG00000105642	KCNN2	KCNN1
ENSG00000137962	ENSG00000180448	ARHGAP29	ARHGAP45
ENSG00000164484	ENSG00000253304	TMEM200A	TMEM200B
ENSG00000188816	ENSG00000215612	HMX2	HMX1
ENSG00000184489	ENSG00000112245	PTP4A3	PTP4A1
ENSG00000169744	ENSG00000198728	LDB2	LDB1
ENSG00000090659	ENSG00000166527	CD209	CLEC4D
ENSG00000173612	ENSG00000173662	GPRC6A	TAS1R1
ENSG00000183783	ENSG00000178695	KCTD8	KCTD12
ENSG00000104938	ENSG00000116031	CLEC4M	CD207
ENSG00000176695	ENSG00000197403	OR4F17	OR6N1
ENSG00000036828	ENSG00000173612	CASR	GPRC6A
ENSG00000173171	ENSG00000177034	MTX1	MTX3
ENSG00000087510	ENSG00000008196	TFAP2C	TFAP2B
ENSG00000113262	ENSG00000124493	GRM6	GRM4
ENSG00000035499	ENSG00000121690	DEPDC1B	DEPDC7
ENSG00000169057	ENSG00000129071	MECP2	MBD4
ENSG00000142279	ENSG00000144791	WTIP	LIMD1
ENSG00000124507	ENSG00000165912	PACSIN1	PACSIN3
ENSG00000153560	ENSG00000115112	UBP1	TFCP2L1
ENSG00000129244	ENSG00000186009	ATP1B2	ATP4B
ENSG00000129991	ENSG00000130598	TNNI3	TNNI2
ENSG00000154319	ENSG00000215595	FAM167A	C20orf202
ENSG00000230178	ENSG00000254466	OR4F3	OR4D10
ENSG00000149654	ENSG00000179776	CDH22	CDH5
ENSG00000171612	ENSG00000114120	SLC25A33	SLC25A36
ENSG00000092820	ENSG00000136541	EZR	ERMN
ENSG00000131482	ENSG00000152254	G6PC1	G6PC2
